dataset,phase,trial_id,profile_id,seed,horizon,test_mse,test_mae,checkpoint_sha256,test_tuned,test_informed
ETTh1,H4J,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,96,0.351976402970048,0.39123289011502366,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,True
ETTh1,H4J,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,192,0.3781118196471161,0.4064746981892506,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,True
ETTh1,H4J,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,336,0.39353640120983735,0.41980139259626054,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,True
ETTh1,H4J,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,720,0.45045415910275827,0.46662598434351565,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,True
ETTh2,H2,ETTh2__h2_lr5e4,h2_lr5e4,2021,96,0.2405494467507989,0.3144207512151374,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,True
ETTh2,H2,ETTh2__h2_lr5e4,h2_lr5e4,2021,192,0.28245514440266534,0.34509201304952075,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,True
ETTh2,H2,ETTh2__h2_lr5e4,h2_lr5e4,2021,336,0.3122683312867567,0.3711865635745016,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,True
ETTh2,H2,ETTh2__h2_lr5e4,h2_lr5e4,2021,720,0.39405488596768706,0.42976343582293,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,True
ETTm1,H2,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,96,0.2659839500967137,0.32657150986453487,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,True
ETTm1,H2,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,192,0.3050110151558611,0.35059004880365885,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,True
ETTm1,H2,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,336,0.34448984367496216,0.3727244693263644,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,True
ETTm1,H2,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,720,0.4073109251765397,0.4056298297188275,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,True
ETTm2,H4M,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,96,0.1608811102009066,0.24576577725389895,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8,True,True
ETTm2,H4M,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,192,0.2184282369628787,0.28477006837910346,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8,True,True
ETTm2,H4M,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,336,0.271552440553906,0.3203940888540244,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8,True,True
ETTm2,H4M,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,720,0.3440692155815435,0.3718412308467188,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,96,0.1410607618772622,0.18159428257633217,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,192,0.18213667199495437,0.22313626947867732,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,336,0.23218611821442647,0.26377962898612267,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,720,0.30416474674338456,0.3147720183854933,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,96,0.11683624645800295,0.21495666344707656,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1,True,True
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,192,0.136800277881022,0.23298019228555047,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1,True,True
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,336,0.1562018226091565,0.2509450912429564,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1,True,True
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,720,0.19666098558669823,0.28365932758789697,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,96,0.1715133846977597,0.1973041698281769,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,192,0.18678586578246154,0.2087816075478677,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,336,0.19663841182892042,0.21583663495407304,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,720,0.20700046588501658,0.22124526147340637,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,2021,96,0.09836130629220965,0.21621975316643105,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,2021,192,0.20626730824320605,0.31759870435976684,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,2021,336,0.3804623336287274,0.44352822689009147,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,2021,720,0.9102533173058753,0.722978127172281,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,True
