dataset,trial_id,profile_id,seed,horizon,val_mse,val_mae,test_mse,test_mae,checkpoint_sha256,validation_complete,test_complete
Solar,Solar__h3b_lr2e4,h3b_lr2e4,2021,96,0.11193012384076913,0.160558026128759,,,6511449a7b372574bbbd5b6f70b01beb5467f9fce8ef3e1aced807ce191cde61,True,False
Solar,Solar__h3b_lr2e4,h3b_lr2e4,2021,192,0.12110947646821539,0.16785466515769562,,,6511449a7b372574bbbd5b6f70b01beb5467f9fce8ef3e1aced807ce191cde61,True,False
Solar,Solar__h3b_lr2e4,h3b_lr2e4,2021,336,0.13683084349724509,0.1779425907436581,,,6511449a7b372574bbbd5b6f70b01beb5467f9fce8ef3e1aced807ce191cde61,True,False
Solar,Solar__h3b_lr2e4,h3b_lr2e4,2021,720,0.16103681402487888,0.1915345553101765,,,6511449a7b372574bbbd5b6f70b01beb5467f9fce8ef3e1aced807ce191cde61,True,False
Solar,Solar__h3b_lr4e4,h3b_lr4e4,2021,96,0.11087948432153401,0.1573529418480272,,,582049fa6b13ff532452db1b7fb4f1f19225353d31f920d8b74d00baa73416a2,True,False
Solar,Solar__h3b_lr4e4,h3b_lr4e4,2021,192,0.12022409998947599,0.16514222166733816,,,582049fa6b13ff532452db1b7fb4f1f19225353d31f920d8b74d00baa73416a2,True,False
Solar,Solar__h3b_lr4e4,h3b_lr4e4,2021,336,0.13601106835163332,0.1757189464156649,,,582049fa6b13ff532452db1b7fb4f1f19225353d31f920d8b74d00baa73416a2,True,False
Solar,Solar__h3b_lr4e4,h3b_lr4e4,2021,720,0.15989983775006195,0.18931812020536098,,,582049fa6b13ff532452db1b7fb4f1f19225353d31f920d8b74d00baa73416a2,True,False
Solar,Solar__h3b_lr3e4_dropout4,h3b_lr3e4_dropout4,2021,96,0.11151487041691628,0.15887818524303535,,,08c7f6353f4ac0aded3fdb0f87538ffaafa9ca7e8d292411a61aa716b50d4514,True,False
Solar,Solar__h3b_lr3e4_dropout4,h3b_lr3e4_dropout4,2021,192,0.12035761596537971,0.1666835698997602,,,08c7f6353f4ac0aded3fdb0f87538ffaafa9ca7e8d292411a61aa716b50d4514,True,False
Solar,Solar__h3b_lr3e4_dropout4,h3b_lr3e4_dropout4,2021,336,0.13619356949181696,0.17682518253457688,,,08c7f6353f4ac0aded3fdb0f87538ffaafa9ca7e8d292411a61aa716b50d4514,True,False
Solar,Solar__h3b_lr3e4_dropout4,h3b_lr3e4_dropout4,2021,720,0.16086241855777594,0.19048265799259145,,,08c7f6353f4ac0aded3fdb0f87538ffaafa9ca7e8d292411a61aa716b50d4514,True,False
Solar,Solar__h3b_lr3e4_rank64,h3b_lr3e4_rank64,2021,96,0.11282858741469681,0.16560405927399793,,,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,False
Solar,Solar__h3b_lr3e4_rank64,h3b_lr3e4_rank64,2021,192,0.12210240995045751,0.17199214066689214,,,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,False
Solar,Solar__h3b_lr3e4_rank64,h3b_lr3e4_rank64,2021,336,0.13792868133723027,0.1818620382497708,,,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,False
Solar,Solar__h3b_lr3e4_rank64,h3b_lr3e4_rank64,2021,720,0.16243744416990213,0.19468777337008053,,,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,False
