dataset,trial_id,profile_id,validation_mean_mse_4h,test_mean_mse_4h,test_mean_mae_4h,trainable_parameters,complete
ETTm2,ETTm2__h4j_budget45,h4j_budget45,0.18276451890937068,,,4644685,True
ETTm2,ETTm2__h4j_lr5e5,h4j_lr5e5,0.18255923632225152,,,4644685,True
ETTm2,ETTm2__h4j_lr2e4,h4j_lr2e4,0.1819190760611996,,,4644685,True
ETTm2,ETTm2__h4j_lr3e4,h4j_lr3e4,0.18234288687489758,,,4644685,True
ETTm2,ETTm2__h4j_dropout2,h4j_dropout2,0.18246089552888567,,,4644685,True
ETTm2,ETTm2__h4j_rank64,h4j_rank64,0.18325522039598408,,,3293125,True
ETTm2,ETTm2__h4j_rank128,h4j_rank128,0.18249356282712328,,,5352645,True
ETTm2,ETTm2__h4j_seq512,h4j_seq512_patch16,0.18155690395404467,,,6111565,True
ETTm2,ETTm2__h4j_effective_batch16,h4j_effective_batch16,0.18382063351007039,,,4644685,True
Weather,Weather__h4j_current_budget45,h4j_current_budget45,0.48529009486286206,,,2570133,True
Weather,Weather__h4j_current_lr5e5,h4j_current_lr5e5,0.48438900402702745,,,2570133,True
Weather,Weather__h4j_current_lr2e4,h4j_current_lr2e4,0.4840860847428086,,,2570133,True
Weather,Weather__h4j_current_patch24,h4j_current_patch24,0.48909900858240674,,,4927509,True
Weather,Weather__h4j_current_patch48,h4j_current_patch48,0.48791303759799265,,,9645141,True
Weather,Weather__h4j_current_capacity128,h4j_current_capacity128,0.4853219068121342,,,4966485,True
Weather,Weather__h4j_table5_dropout3,h4j_table5_dropout3,0.48824183848272595,,,19181781,True
Weather,Weather__h4j_table5_lr5e5,h4j_table5_lr5e5,0.48604146961043293,,,19181781,True
Weather,Weather__h4j_timealign_dropout3,h4j_timealign_dropout3,0.48853639728807297,,,19115989,True
Solar,Solar__h4j_dropout4_lr2e4,h4j_dropout4_lr2e4,0.13327559853869533,,,1487685,True
Solar,Solar__h4j_dropout4_budget60,h4j_dropout4_budget60,0.13220278539862076,,,1487685,True
Solar,Solar__h4j_dropout4_rank64,h4j_dropout4_rank64,0.13235455103969712,,,1066565,True
Solar,Solar__h4j_dropout4_rank96,h4j_dropout4_rank96,0.1327586010656281,,,1277125,True
Solar,Solar__h4j_dropout5_lr2e4,h4j_dropout5_lr2e4,0.1341391357942369,,,1487685,True
Solar,Solar__h4j_patch4_lr2e4,h4j_patch4_lr2e4,0.12765376390017327,,,3893061,True
Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,0.1268700007209739,,,3893061,True
Solar,Solar__h4j_patch4_lr3e4_dropout4,h4j_patch4_lr3e4_dropout4,0.12747809814774508,,,3893061,True
Solar,Solar__h4j_patch4_lr3e4_rank64,h4j_patch4_lr3e4_rank64,0.1281076896907175,,,2488901,True
Solar,Solar__h4j_patch4_lr2e4_dropout4,h4j_patch4_lr2e4_dropout4,0.12823593025280547,,,3893061,True
ECL,ECL__h4j_exact_budget60,h4j_exact_budget60,0.1306277031100185,,,5706565,True
ECL,ECL__h4j_exact_lr3e4,h4j_exact_lr3e4,0.13187914096116501,,,5706565,True
ECL,ECL__h4j_intermediate_budget45,h4j_intermediate_budget45,0.13248721111823605,,,1853509,True
ECL,ECL__h4j_intermediate_lr3e4,h4j_intermediate_lr3e4,0.13364512135975973,,,1853509,True
ETTh1,ETTh1__h4j_lr3e4,h4j_lr3e4,1.134268320863697,,,2420425,True
ETTh1,ETTh1__h4j_dropout2,h4j_dropout2,1.150027817000066,,,2420425,True
ETTh2,ETTh2__h4j_lr3e4,h4j_lr3e4,0.4198100223064622,,,2570133,True
ETTh2,ETTh2__h4j_seq512,h4j_seq512_patch16,0.41316565556289064,,,3354773,True
ETTm1,ETTm1__h4j_budget45,h4j_budget45,0.601880800000961,,,791381,True
ETTm1,ETTm1__h4j_dropout8,h4j_dropout8,0.6004176930159918,,,791381,True
Exchange,Exchange__h4j_seq192,h4j_seq192,0.5687321022669263,,,5312261,True
Exchange,Exchange__h4j_seq512,h4j_seq512_patch16,0.9349816986837328,,,3618053,True
