dataset,trial_id,profile_id,validation_mean_mse_4h,test_mean_mse_4h,test_mean_mae_4h,trainable_parameters,complete
ETTm2,ETTm2__h4l_patch1,h4l_patch1,0.17865943059316902,,,516549,True
ETTm2,ETTm2__h4l_patch4,h4l_patch4,0.17995654546613216,,,1227717,True
ETTm2,ETTm2__h4l_patch8,h4l_patch8,0.1829931748574526,,,2256581,True
ETTm2,ETTm2__h4l_patch48,h4l_patch48,0.18367060468391708,,,12650821,True
ETTm2,ETTm2__h4l_patch72,h4l_patch72,0.18457926478807904,,,18892485,True
ETTm2,ETTm2__h4l_patch120,h4l_patch120,0.18688556823726107,,,31376581,True
ETTm2,ETTm2__h4l_seq96_patch12,h4l_seq96_patch12,0.1908300003015837,,,3286469,True
ETTm2,ETTm2__h4l_seq192_patch12,h4l_seq192_patch12,0.18580119166588355,,,3287493,True
ETTm2,ETTm2__h4l_timealign_long_wd1e3,h4l_timealign_long_wd1e3,0.18393700364367327,,,3293125,True
ETTm2,ETTm2__h4l_d32_ff64_r32,h4l_d32_ff64_r32,0.1829777137751022,,,595877,True
ETTm2,ETTm2__h4l_d64_ff64_r32,h4l_d64_ff64_r32,0.1842424851579828,,,1140741,True
ETTm2,ETTm2__h4l_ff256,h4l_ff256,0.18294738547124398,,,3358917,True
ETTm2,ETTm2__h4l_d256_ff256_r128,h4l_d256_ff256_r128,0.18154986838854958,,,10645317,True
ETTm2,ETTm2__h4l_d256_ff512_r128,h4l_d256_ff512_r128,0.18247713252143483,,,10907973,True
ETTm2,ETTm2__h4l_rank8,h4l_rank8,0.19243127814954192,,,1491045,True
ETTm2,ETTm2__h4l_rank16,h4l_rank16,0.1847365571136516,,,1748485,True
ETTm2,ETTm2__h4l_timealign_short_rank128_wd0,h4l_timealign_short_rank128_wd0,0.18248005291231767,,,5352645,True
ETTm2,ETTm2__h4l_rank256,h4l_rank256,0.18594085102848198,,,9471685,True
ETTm2,ETTm2__h4l_lr1e5,h4l_lr1e5,0.18289611014830398,,,3293125,True
ETTm2,ETTm2__h4l_lr5e4,h4l_lr5e4,0.1836692703140822,,,3293125,True
ETTm2,ETTm2__h4l_wd0,h4l_wd0,0.18354791804505066,,,3293125,True
ETTm2,ETTm2__h4l_wd1e3,h4l_wd1e3,0.18353170338932182,,,3293125,True
ETTm2,ETTm2__h4l_wd5e2,h4l_wd5e2,0.18331771082386175,,,3293125,True
ETTm2,ETTm2__h4l_wide_interaction,h4l_wide_interaction,0.18787685529966858,,,36983621,True
Weather,Weather__h4l_patch1,h4l_patch1,0.4888913151196441,,,449685,True
Weather,Weather__h4l_patch4,h4l_patch4,0.48554404478793634,,,1004949,True
Weather,Weather__h4l_patch8,h4l_patch8,0.4857812111977384,,,1785621,True
Weather,Weather__h4l_patch48,h4l_patch48,0.4883758955760785,,,9645141,True
Weather,Weather__h4l_patch72,h4l_patch72,0.48915730963261533,,,14363413,True
Weather,Weather__h4l_patch120,h4l_patch120,0.4907432714584357,,,23800341,True
Weather,Weather__h4l_seq192_patch12,h4l_seq192_patch12,0.5132956052988042,,,2567317,True
Weather,Weather__h4l_timealign_short_r64_wd1e3,h4l_timealign_short_r64_wd1e3,0.488064085739103,,,12716101,True
Weather,Weather__h4l_seq512_patch16,h4l_seq512_patch16,0.497909304595715,,,3354773,True
Weather,Weather__h4l_d32_ff64_r32,h4l_d32_ff64_r32,0.4889051718447017,,,1129445,True
Weather,Weather__h4l_d128_ff256_r64,h4l_d128_ff256_r64,0.4878969409229559,,,6476229,True
Weather,Weather__h4l_d256_ff256_r128,h4l_d256_ff256_r128,0.4889843760056436,,,20812101,True
Weather,Weather__h4l_d256_ff512_r256,h4l_d256_ff512_r256,0.48856825495955525,,,36990277,True
Weather,Weather__h4l_rank16,h4l_rank16,0.48911299190062674,,,1709509,True
Weather,Weather__h4l_rank32,h4l_rank32,0.4874692480076134,,,2224389,True
Weather,Weather__h4l_rank64,h4l_rank64,0.4884783034885509,,,3254149,True
Weather,Weather__h4l_timealign_long_r192_lr5e5,h4l_timealign_long_r192_lr5e5,0.4876230063325252,,,28565829,True
Weather,Weather__h4l_rank256,h4l_rank256,0.4867002315093054,,,9432709,True
Weather,Weather__h4l_lr1e5,h4l_lr1e5,0.4895548659552347,,,4927509,True
Weather,Weather__h4l_lr5e4,h4l_lr5e4,0.48648046644936715,,,4927509,True
Weather,Weather__h4l_wd0,h4l_wd0,0.4877772159212904,,,4927509,True
Weather,Weather__h4l_wd1e3,h4l_wd1e3,0.48777499433665994,,,4927509,True
Weather,Weather__h4l_wd5e2,h4l_wd5e2,0.48782441326775516,,,4927509,True
Weather,Weather__h4l_wide_interaction,h4l_wide_interaction,0.5109427722721612,,,6472901,True
