phase,dataset,trial_id,profile_id,seed,best_epoch,validation_mean_mse_4h,trainable_parameters,checkpoint_sha256_before_test,artifact_dir,test_artifact_dir,source_ledger
H4M,ETTm2,ETTm2__h4m_p2_lr1e5,h4m_p2_lr1e5,2021,37,0.17995057878475304,730565,01d88fa350b473da2b24022c14e7bda37117f5edbfe28ac179fc8dd6bab1a843,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p2_lr1e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p2_lr1e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p2_lr2e5,h4m_p2_lr2e5,2021,14,0.1797849698433845,730565,65d065811855d45a0c40f9c3ba52bc42656c10aba5fd6dad5decb4322e021424,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p2_lr2e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p2_lr2e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p2_lr5e5,h4m_p2_lr5e5,2021,13,0.1795501982188037,730565,95b9819f86f582eaef17bd6355f2db2d7ec95982b59f8ceae7e6f890e8f6ebe2,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p2_lr5e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p2_lr5e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p4_lr1e5,h4m_p4_lr1e5,2021,18,0.1809535624266284,1227717,8ebed79101ca811391def04c4a512e1696e27020d7cb321d02da97764d63a241,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p4_lr1e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p4_lr1e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p4_lr1e5_r48,h4m_p4_lr1e5_r48,2021,12,0.18174176842490736,1040517,cfe1d6936ffdc3b7d51b387e1187281682cb2d59e89751ab8cf090c7adb4e63a,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p4_lr1e5_r48/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p4_lr1e5_r48/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p4_lr1e5_r80,h4m_p4_lr1e5_r80,2021,16,0.18106825132267584,1414917,920266a2317843c2d3566cf6e0f717c4083a0c3f7cc60db20f8de225f9244f35,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p4_lr1e5_r80/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p4_lr1e5_r80/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p4_lr2e5,h4m_p4_lr2e5,2021,18,0.18120370414228149,1227717,39270c99362b5ba42df4a38cceee89aa940c769c7863703f8b553b2ebbd45150,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p4_lr2e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p4_lr2e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p4_lr5e5,h4m_p4_lr5e5,2021,18,0.1797335455041667,1227717,b14035760cf4022b3cadfe2b9aa9f299930cd7d29f07a08b67bb726be982e086,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p4_lr5e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p4_lr5e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p6_lr1e5,h4m_p6_lr1e5,2021,16,0.18131287200533458,1740229,9756c2af265fc76ad8f98d951b52ca7c111bcab334f35f4f888e0aff86736cb9,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p6_lr1e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p6_lr1e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_p6_lr2e5,h4m_p6_lr2e5,2021,6,0.18094812890206136,1740229,87d9e2bd668636ec2cb1847171e2a32f60489939f4c0bfc36eb9fe29c5224c33,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p6_lr2e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p6_lr2e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
