dataset,trial_id,profile_id,seed,horizon,val_mse,val_mae,test_mse,test_mae,checkpoint_sha256,validation_complete,test_complete
Weather,Weather__h4n_seq448_p14_lr2e5,h4n_seq448_p14_lr2e5,2021,96,0.400466394610703,0.2481992325435082,,,5239d6e47170180010a5272be8fd958b90c128ca6a2b56a891c0d7a4c1943ef9,True,False
Weather,Weather__h4n_seq448_p14_lr2e5,h4n_seq448_p14_lr2e5,2021,192,0.45860973885282874,0.2934658629819751,,,5239d6e47170180010a5272be8fd958b90c128ca6a2b56a891c0d7a4c1943ef9,True,False
Weather,Weather__h4n_seq448_p14_lr2e5,h4n_seq448_p14_lr2e5,2021,336,0.5301502897803273,0.3463940248780307,,,5239d6e47170180010a5272be8fd958b90c128ca6a2b56a891c0d7a4c1943ef9,True,False
Weather,Weather__h4n_seq448_p14_lr2e5,h4n_seq448_p14_lr2e5,2021,720,0.6174431759864092,0.40299208805792863,,,5239d6e47170180010a5272be8fd958b90c128ca6a2b56a891c0d7a4c1943ef9,True,False
Weather,Weather__h4n_seq448_p14_lr4e5,h4n_seq448_p14_lr4e5,2021,96,0.4003489568519096,0.24912308754088977,,,24c22c89340e18374e9f37fb828340ea4ae97bfb541e87723bf0413f0c17f9cc,True,False
Weather,Weather__h4n_seq448_p14_lr4e5,h4n_seq448_p14_lr4e5,2021,192,0.4579831121955067,0.2937277096401279,,,24c22c89340e18374e9f37fb828340ea4ae97bfb541e87723bf0413f0c17f9cc,True,False
Weather,Weather__h4n_seq448_p14_lr4e5,h4n_seq448_p14_lr4e5,2021,336,0.529453754558095,0.3467257778781156,,,24c22c89340e18374e9f37fb828340ea4ae97bfb541e87723bf0413f0c17f9cc,True,False
Weather,Weather__h4n_seq448_p14_lr4e5,h4n_seq448_p14_lr4e5,2021,720,0.6183237987880905,0.40451051134409177,,,24c22c89340e18374e9f37fb828340ea4ae97bfb541e87723bf0413f0c17f9cc,True,False
Weather,Weather__h4n_seq480_p15_lr2e5,h4n_seq480_p15_lr2e5,2021,96,0.3984145095261435,0.2507516269106418,,,4e0b315586b2b2010bc51094533212cc924422a21f295ed4dbaf5202b8ea9dd3,True,False
Weather,Weather__h4n_seq480_p15_lr2e5,h4n_seq480_p15_lr2e5,2021,192,0.4572411475237459,0.29605639768609154,,,4e0b315586b2b2010bc51094533212cc924422a21f295ed4dbaf5202b8ea9dd3,True,False
Weather,Weather__h4n_seq480_p15_lr2e5,h4n_seq480_p15_lr2e5,2021,336,0.5286368525897464,0.3477228615388629,,,4e0b315586b2b2010bc51094533212cc924422a21f295ed4dbaf5202b8ea9dd3,True,False
Weather,Weather__h4n_seq480_p15_lr2e5,h4n_seq480_p15_lr2e5,2021,720,0.6147732435208227,0.4023488290504449,,,4e0b315586b2b2010bc51094533212cc924422a21f295ed4dbaf5202b8ea9dd3,True,False
