phase,dataset,trial_id,profile_id,seed,best_epoch,validation_mean_mse_4h,trainable_parameters,checkpoint_sha256_before_test,artifact_dir,test_artifact_dir,source_ledger
H4N,Weather,Weather__h4n_seq448_p14_lr2e5,h4n_seq448_p14_lr2e5,2021,86,0.501667399807567,2961557,5239d6e47170180010a5272be8fd958b90c128ca6a2b56a891c0d7a4c1943ef9,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq448_p14_lr2e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq448_p14_lr2e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq448_p14_lr4e5,h4n_seq448_p14_lr4e5,2021,24,0.5015274055984005,2961557,24c22c89340e18374e9f37fb828340ea4ae97bfb541e87723bf0413f0c17f9cc,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq448_p14_lr4e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq448_p14_lr4e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq480_p15_lr2e5,h4n_seq480_p15_lr2e5,2021,46,0.49976643829011463,3158165,4e0b315586b2b2010bc51094533212cc924422a21f295ed4dbaf5202b8ea9dd3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq480_p15_lr2e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq480_p15_lr2e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq480_p15_lr4e5,h4n_seq480_p15_lr4e5,2021,25,0.4985744832270217,3158165,6d269728098a08f264cfb6305bbda10cb29926dc553e7a66efd11e66c46e3ec1,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq480_p15_lr4e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq480_p15_lr4e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq512_p16_lr15e6,h4n_seq512_p16_lr15e6,2021,71,0.49840395915791363,3354773,1a039e94b9cc1adff377c06dc392a7fbfcc8caeac243867edf186ecb9963ca83,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq512_p16_lr15e6/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq512_p16_lr15e6/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq512_p16_lr1e4,h4n_seq512_p16_lr1e4,2021,9,0.49840174107812346,3354773,c833ac5658aa57cd7898c63877cd4e41296189fa6ddd9fda5e30d042ef68efb0,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq512_p16_lr1e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq512_p16_lr1e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq512_p16_lr25e6,h4n_seq512_p16_lr25e6,2021,49,0.4979357325791618,3354773,4e7d85eddce07ba9223b2faffb9eb8a471a30ac54a94cb7fdde71d7d8242c979,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq512_p16_lr25e6/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq512_p16_lr25e6/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq512_p16_lr2e4,h4n_seq512_p16_lr2e4,2021,3,0.497363431131955,3354773,d3f8222616f09d22bf2c80d6c40bd98d13507a1a9bd17e824d9c17057fdce22a,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq512_p16_lr2e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq512_p16_lr2e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq512_p16_lr2e5_d128_ff256_r128,h4n_seq512_p16_lr2e5_d128_ff256_r128,2021,26,0.49771666796009484,7110597,71ddcc28dc53470d7c62003e8560f6b63ebf007ba80c0ccd25bf129e72709cac,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq512_p16_lr2e5_d128_ff256_r128/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq512_p16_lr2e5_d128_ff256_r128/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
H4N,Weather,Weather__h4n_seq512_p16_lr2e5_d32_ff64_r64,h4n_seq512_p16_lr2e5_d32_ff64_r64,2021,59,0.501045878655425,1147557,65439f309898d862edb9e9ccb4e806422266b7cbb6723fc4d472d7ee8c84a456,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/trials/Weather/Weather__h4n_seq512_p16_lr2e5_d32_ff64_r64/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4n/test_audit/Weather/Weather__h4n_seq512_p16_lr2e5_d32_ff64_r64/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4n_artifact_audit/trial_ledger.jsonl
