phase,dataset,trial_id,profile_id,seed,best_epoch,validation_mean_mse_4h,trainable_parameters,checkpoint_sha256_before_test,artifact_dir,test_artifact_dir,source_ledger
H5B,ETTh1,ETTh1__h5b_budget120_anchor,h5b_budget120_anchor,2021,2,1.134125037858307,2420425,421a01d8508a10f99c82fb4d613f62fd73b4f39e7a9836e1989f3c0b13085f0a,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_budget120_anchor/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_budget120_anchor/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_d48_ff48,h5b_d48_ff48,2021,1,1.162655138038838,3552057,a53d2d2559795aad6bf4498a78816fee622f91ed212c69f317e876467f49c545,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_d48_ff48/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_d48_ff48/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_dropout02,h5b_dropout02,2021,2,1.133499583478884,2420425,b91a5403ac9fc0815d3f63adc3abeeac8d2a58ce329e161b0873a234cbb7ff87,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_dropout02/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_dropout02/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_dropout05,h5b_dropout05,2021,2,1.1337054886642681,2420425,bc788a128c799e15a72dffab8edcb9b90ca71839f7c42280d90b6e080aaddc51,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_dropout05/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_dropout05/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_dropout08,h5b_dropout08,2021,2,1.1338925760597849,2420425,8d7a9a4880603571fef2f6f86461eb8c1a24117a2a632385ea82c50c9bebb20b,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_dropout08/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_dropout08/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_dropout12,h5b_dropout12,2021,2,1.1354566274794735,2420425,28b1fe46118ec50c2ca08cda8504e64b0e686965467bb3a55c68b0b9c97013c9,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_dropout12/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_dropout12/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_dropout15,h5b_dropout15,2021,2,1.1357619041885574,2420425,7066624eddb058321e2db943394dba0c370d6a502dc63dc878f055c1deb0336f,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_dropout15/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_dropout15/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr3p2e4,h5b_lr3p2e4,2021,2,1.134120907167357,2420425,fc5ea55d622507be193eaf300bff5c03ab9ceb0eb7728cd1e6874164cdccbf6f,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p2e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p2e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr3p3e4,h5b_lr3p3e4,2021,2,1.1341591111615315,2420425,cadbd0513af2c0d91d2e38c0ae72f32253da633e5a454203f33f261eede9ed3a,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p3e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p3e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr3p4e4,h5b_lr3p4e4,2021,2,1.1343767310862267,2420425,4822eda8934c7af8469d7b97c1a40636839015e49c6392b4e7db8e7bb3e68975,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p4e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p4e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr3p6e4,h5b_lr3p6e4,2021,2,1.1345617960268144,2420425,d9f1c889127bc92e7ec6f70fa59ad6b2b7d7bdd7401be628347da0c733112212,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p6e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p6e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr3p7e4,h5b_lr3p7e4,2021,2,1.1348535173980978,2420425,2892bd9a1e729514b5f00b41237e0ba4cdebb643ed0fb0b866f0b7a2b210b8f3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p7e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p7e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
