dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,validation_mean_mse_4h,trainable_parameters,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
ECL,H1,ECL__h1_conservative,h1_conservative_anchor,0.1681572409553303,0.2665575028647913,True,0,0,0,1.0881427095231295,0.15024525676216444,839621,1.0881427095231295,1.1165362763451194,1.0872368153085172,1.1006197575393826,False,False
ECL,H1,ECL__h1_timealign,h1_timealign_source_prior,0.15119075315822594,0.24550925931300457,True,3,1,4,0.9905924779302127,0.1329943805526007,5706565,0.9905924779302127,1.0038816026598747,1.0013850758484184,1.0019509787991758,True,False
ECL,H2,ECL__h2_dropout3,h2_dropout3,0.15139412714262557,0.2460923213026749,True,3,1,4,0.9928685757856149,0.13168569385219137,5706565,0.9928685757856149,1.005231972289853,1.0037632736254967,1.004253175237037,True,False
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,0.1516248331337199,0.24563531864087007,True,3,2,5,0.9920405217867889,0.13308425998418696,1853509,0.9920405217867889,1.0067638219251323,1.0018992476150932,1.0034156264638465,True,False
ECL,H2,ECL__h2_lookback336,h2_lookback336,0.1536725462160986,0.2451827612057383,True,2,2,4,0.9968694554762784,0.1355710560752962,5509957,0.9968694554762784,1.0203602982174,1.0000533528298077,1.0082999304985891,True,False
ECL,H3A,ECL__h3a_budget45,h3a_budget45,0.1506688540584791,0.2451696807094894,True,3,1,4,0.9886636161755377,0.13061393059957366,5706565,0.9886636161755377,1.0004162789298428,1.0,1.0,True,True
ECL,H4J,ECL__h4j_exact_budget60,h4j_exact_budget60,0.15060615988741344,0.24544335420241709,True,3,1,4,0.9891772353973206,0.1306277031100185,5706565,0.9891772353973206,1.0,1.0011162615709075,1.0005195085703364,True,True
ECL,H4J,ECL__h4j_exact_lr3e4,h4j_exact_lr3e4,0.15115838482914568,0.24559963678935637,True,3,1,4,0.9908723995557934,0.13187914096116501,5706565,0.9908723995557934,1.0036666823066538,1.001753708201694,1.0022341101099685,True,False
ECL,H4J,ECL__h4j_intermediate_budget45,h4j_intermediate_budget45,0.15119608203937834,0.24535688136366746,True,3,1,4,0.9903341640621831,0.13248721111823605,1853509,0.9903341640621831,1.0039169855496342,1.000763555483844,1.0016897030084992,True,False
ECL,H4J,ECL__h4j_intermediate_lr3e4,h4j_intermediate_lr3e4,0.15177075425410572,0.2459785491530566,True,3,1,4,0.9931812515681258,0.13364512135975973,1853509,0.9931812515681258,1.0077327140374794,1.0032992188969958,1.004569436276075,True,False
ETTh1,H1,ETTh1__h1_current,h1_conservative_anchor,0.4109108912616274,0.4347261575611111,True,2,0,2,1.0232020751815094,1.1219832591209855,4702249,1.0232020751815094,1.0441939646675575,1.03425728182761,1.0381054973096093,False,False
ETTh1,H1,ETTh1__h1_timealign,h1_timealign_source_prior,0.3955753267365972,0.42032690047191884,True,3,2,5,0.9872728793528817,1.1434824927994567,2420425,0.9872728793528817,1.0052237055132176,1.0,1.0016529757517387,True,True
