dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,validation_mean_mse_4h,trainable_parameters,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
ECL,H1,ECL__h1_timealign,h1_timealign_source_prior,0.15119075315822594,0.24550925931300457,True,3,1,4,0.9905924779302127,0.1329943805526007,5706565,0.9905924779302127,1.0038816026598747,1.0013850758484184,1.0019509787991758,True,False
ECL,H2,ECL__h2_dropout3,h2_dropout3,0.15139412714262557,0.2460923213026749,True,3,1,4,0.9928685757856149,0.13168569385219137,5706565,0.9928685757856149,1.005231972289853,1.0037632736254967,1.004253175237037,True,False
ECL,H2,ECL__h2_intermediate_capacity,h2_intermediate_capacity,0.1516248331337199,0.24563531864087007,True,3,2,5,0.9920405217867889,0.13308425998418696,1853509,0.9920405217867889,1.0067638219251323,1.0018992476150932,1.0034156264638465,True,False
ECL,H2,ECL__h2_lookback336,h2_lookback336,0.1536725462160986,0.2451827612057383,True,2,2,4,0.9968694554762784,0.1355710560752962,5509957,0.9968694554762784,1.0203602982174,1.0000533528298077,1.0082999304985891,True,False
ECL,H3A,ECL__h3a_budget45,h3a_budget45,0.1506688540584791,0.2451696807094894,True,3,1,4,0.9886636161755377,0.13061393059957366,5706565,0.9886636161755377,1.0004162789298428,1.0,1.0,True,True
ECL,H4J,ECL__h4j_exact_budget60,h4j_exact_budget60,0.15060615988741344,0.24544335420241709,True,3,1,4,0.9891772353973206,0.1306277031100185,5706565,0.9891772353973206,1.0,1.0011162615709075,1.0005195085703364,True,True
ECL,H4J,ECL__h4j_exact_lr3e4,h4j_exact_lr3e4,0.15115838482914568,0.24559963678935637,True,3,1,4,0.9908723995557934,0.13187914096116501,5706565,0.9908723995557934,1.0036666823066538,1.001753708201694,1.0022341101099685,True,False
ECL,H4J,ECL__h4j_intermediate_budget45,h4j_intermediate_budget45,0.15119608203937834,0.24535688136366746,True,3,1,4,0.9903341640621831,0.13248721111823605,1853509,0.9903341640621831,1.0039169855496342,1.000763555483844,1.0016897030084992,True,False
ECL,H4J,ECL__h4j_intermediate_lr3e4,h4j_intermediate_lr3e4,0.15177075425410572,0.2459785491530566,True,3,1,4,0.9931812515681258,0.13364512135975973,1853509,0.9931812515681258,1.0077327140374794,1.0032992188969958,1.004569436276075,True,False
ECL,H4K,ECL__h4k_exact_budget60_dropout4,h4k_exact_budget60_dropout4,0.15158607026959542,0.2465120208801403,True,3,1,4,0.9945880500375188,0.1313538058435023,5706565,0.9945880500375188,1.0065064429165083,1.0054751475254458,1.0059923656186507,True,False
ETTh1,H1,ETTh1__h1_timealign,h1_timealign_source_prior,0.3955753267365972,0.42032690047191884,True,3,2,5,0.9872728793528817,1.1434824927994567,2420425,0.9872728793528817,1.0052237055132176,1.0,1.0016529757517387,True,True
ETTh1,H4J,ETTh1__h4j_dropout2,h4j_dropout2,0.39562831028685985,0.42039884772573766,True,3,2,5,0.9873359484246336,1.150027817000066,2420425,0.9873359484246336,1.0053583456616961,1.0001711697579623,1.001716963454348,True,False
ETTh1,H4J,ETTh1__h4j_lr3e4,h4j_lr3e4,0.39351969573243994,0.4210337413110126,True,3,2,5,0.9856436343254861,1.134268320863697,2420425,0.9856436343254861,1.0,1.0016816454961608,1.0,True,True
ETTh2,H2,ETTh2__h2_lr5e4,h2_lr5e4,0.307331952101977,0.36511569091552243,True,3,3,6,0.9329927731755686,0.4197374176019655,2570133,0.9329927731755686,1.0,1.0,1.0,True,True
ETTh2,H4J,ETTh2__h4j_lr3e4,h4j_lr3e4,0.3122821763407124,0.36622465796347853,True,3,3,6,0.9418623275774074,0.4198100223064622,2570133,0.9418623275774074,1.016107092688797,1.0030373031769064,1.0095065628125393,True,False
ETTh2,H4J,ETTh2__h4j_seq512,h4j_seq512_patch16,0.30849743324382956,0.36736007488618294,True,3,3,6,0.937021582068045,0.41316565556289064,3354773,0.937021582068045,1.0037922550319982,1.0061470488026214,1.0043181565906065,True,False
ETTm1,H1,ETTm1__h1_timealign,h1_timealign_source_prior,0.33141246692088844,0.36459941164906207,True,3,2,5,0.9858993633946226,0.6006724132247092,1408725,0.9858993633946226,1.0021576525429379,1.0019799089563957,1.0022863548811152,True,False
ETTm1,H2,ETTm1__h2_dropout5,h2_dropout5,0.332777228031535,0.3671285027152308,True,3,1,4,0.9913895240302467,0.5998322994638112,1408725,0.9913895240302467,1.0062845515809693,1.0089302724382252,1.0078677694711853,True,False
ETTm1,H2,ETTm1__h2_table5_capacity,h2_table5_capacity,0.33069893352601915,0.3638789644283464,True,3,3,6,0.9836503895252207,0.6012380249348805,791381,0.9836503895252207,1.0,1.0,1.0,True,True
ETTm1,H4J,ETTm1__h4j_budget45,h4j_budget45,0.3329733676425377,0.36485849781525237,True,3,2,5,0.9884237653231225,0.601880800000961,791381,0.9884237653231225,1.006877657851109,1.0026919208931047,1.004852715811159,True,False
ETTm1,H4J,ETTm1__h4j_dropout8,h4j_dropout8,0.3324274330504095,0.3653590094185887,True,3,2,5,0.9885557086286368,0.6004176930159918,791381,0.9885557086286368,1.0052268070717996,1.0040674101416316,1.0049868521942882,True,False
ETTm1,H4K,ETTm1__h4k_lr8e5,h4k_lr8e5,0.33096900572983806,0.3640168901169156,True,3,3,6,0.9842274978669134,0.600780475863518,791381,0.9842274978669134,1.0008166709246362,1.0003790427643597,1.0005867006690978,True,False
ETTm1,H4K,ETTm1__h4k_rank96,h4k_rank96,0.331931666705956,0.36476751584438816,True,3,3,6,0.9867481660046095,0.6012045277728393,710981,0.9867481660046095,1.0037276599800098,1.0024418872836953,1.0031492657476444,True,False
ETTm2,H4J,ETTm2__h4j_rank64,h4j_rank64,0.24899421974275104,0.3066694657343279,True,0,0,0,1.0236579150885372,0.18325522039598408,3293125,1.0236579150885372,1.0080659098397902,1.0034281331848576,1.0041142872866158,True,False
ETTm2,H4K,ETTm2__h4k_rank64_dropout2,h4k_rank64_dropout2,0.2486787722339675,0.3063260522880612,True,0,0,0,1.0222482156757409,0.1835539107444689,3293125,1.0222482156757409,1.0067888043701245,1.0023044780714512,1.0027315017873741,True,False
ETTm2,H4K,ETTm2__h4k_rank64_dropout4,h4k_rank64_dropout4,0.24870384212531518,0.3068552947493263,True,0,0,0,1.0234995693944904,0.1836546620920888,3293125,1.0234995693944904,1.0068903011151378,1.0040361691403281,1.0039589647209626,True,False
ETTm2,H4K,ETTm2__h4k_rank64_lr5e5,h4k_rank64_lr5e5,0.2509871296360108,0.30715627342520524,True,0,0,0,1.027005325310463,0.18322697292240928,3293125,1.027005325310463,1.0161343080815373,1.0050209769044218,1.0073977889131862,True,False
ETTm2,H4L,ETTm2__h4l_d64_ff64_r32,h4l_d64_ff64_r32,0.2487527112898269,0.30848080813966067,True,0,0,0,1.0267739136529983,0.1842424851579828,1140741,1.0267739136529983,1.007088150442072,1.0093548788554427,1.0071707953559832,True,False
ETTm2,H4L,ETTm2__h4l_lr1e5,h4l_lr1e5,0.24700192448956357,0.30704568081018196,True,0,0,0,1.019463549169023,0.18289611014830398,3293125,1.019463549169023,1.0,1.0046591158336722,1.0,True,True
ETTm2,H4L,ETTm2__h4l_patch4,h4l_patch4,0.24963255728259903,0.3056217536585965,True,0,1,1,1.0229799891067435,0.17995654546613216,1227717,1.0229799891067435,1.010650252213507,1.0,1.003449304235141,True,True
ETTm2,H4L,ETTm2__h4l_timealign_long_wd1e3,h4l_timealign_long_wd1e3,0.2501555241067308,0.30800153097812066,True,0,0,0,1.0285607323042019,0.18393700364367327,3293125,1.0285607323042019,1.012767510308611,1.0077866751663973,1.0089235001512258,True,False
ETTm2,H4L,ETTm2__h4l_wd0,h4l_wd0,0.24868246527045973,0.30625421186872337,True,0,0,0,1.0220819447943605,0.18354791804505066,3293125,1.0220819447943605,1.0068037558183769,1.0020694148978457,1.0025684053416837,True,False
ETTm2,H4L,ETTm2__h4l_wd1e3,h4l_wd1e3,0.24862138264073275,0.3062144758521169,True,0,1,1,1.0218806701631264,0.18353170338932182,3293125,1.0218806701631264,1.0065564596491134,1.0019393979205502,1.0023709734360524,True,True
ETTm2,H4L,ETTm2__h4l_wd5e2,h4l_wd5e2,0.24870243649969326,0.3062957045982083,True,0,0,0,1.0221638387535281,0.18331771082386175,3293125,1.0221638387535281,1.0068846103674853,1.002205179871995,1.002648735785312,True,False
ETTm2,H4M,ETTm2__h4m_p4_lr2e5,h4m_p4_lr2e5,0.24822743139449435,0.3063387379496394,True,0,0,0,1.0207969766422291,0.18120370414228149,1227717,1.0207969766422291,1.0049615277592,1.0023459857894927,1.0013079697398628,True,True
ETTm2,H4M,ETTm2__h4m_p4_lr5e5,h4m_p4_lr5e5,0.2506472457528227,0.3077093368447487,True,0,1,1,1.0291692561892392,0.1797335455041667,1227717,1.0291692561892392,1.0147582706927984,1.0068306105869813,1.0095204061274456,True,False
ETTm2,H4M,ETTm2__h4m_p6_lr1e5,h4m_p6_lr1e5,0.24997789725163228,0.3091292904851552,True,0,0,0,1.0290507471291086,0.18131287200533458,1740229,1.0290507471291086,1.0120483788465156,1.0114767250189818,1.0094041596366052,True,False
