dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,mean_mse_target_ratio,mean_mae_target_ratio,primary_joint_score,mse_lead_cells,mae_lead_cells,combined_lead_cells,validation_mean_mse_4h,trainable_parameters,near_tie_eligible,selected
Weather,H1,Weather__h1_current,h1_conservative_anchor,0.21721319627192756,0.24865119770257765,1.007308068865507,1.017815502131601,1.012561785498554,0,0,0,0.4842246044312589,2570133,False,False
Weather,H1,Weather__h1_timealign,h1_timealign_source_prior,0.21657432174247032,0.2490305498664157,1.0058849496805675,1.0206063755664778,1.0132456626235227,1,1,2,0.48978661656340894,19115989,False,False
Weather,H2,Weather__h2_capacity128,h2_capacity128,0.22120058878669624,0.2512015227331132,1.024214948416335,1.0276485287110433,1.0259317385636892,0,0,0,0.4825102906910673,5032277,False,False
Weather,H2,Weather__h2_lookback336,h2_lookback336,0.21930068627222082,0.24987436875921187,1.0176048740201076,1.0240178537915323,1.0208113639058198,0,0,0,0.5056219329819127,2568085,False,False
Weather,H2,Weather__h2_table5_ff,h2_table5_ff,0.21682983429176472,0.24958759434291838,1.0074050159790136,1.0234450497864493,1.0154250328827314,1,1,2,0.4892320744886381,19181781,False,False
Weather,H4J,Weather__h4j_current_budget45,h4j_current_budget45,0.22031505140941848,0.2508330562082258,1.0214527609179818,1.026950815666899,1.0242017882924404,0,0,0,0.48529009486286206,2570133,False,False
Weather,H4J,Weather__h4j_current_capacity128,h4j_current_capacity128,0.21713645054186692,0.24953269523765778,1.0080818165032113,1.0223514954480428,1.015216655975627,1,0,1,0.4853219068121342,4966485,False,False
Weather,H4J,Weather__h4j_current_lr2e4,h4j_current_lr2e4,0.21939883634545315,0.25036731231248516,1.0174188654928527,1.025221129749254,1.0213199976210534,0,0,0,0.4840860847428086,2570133,False,False
Weather,H4J,Weather__h4j_current_lr5e5,h4j_current_lr5e5,0.21845557430131363,0.24910947859181565,1.0127123467686094,1.0194884573878373,1.0161004020782234,0,0,0,0.48438900402702745,2570133,False,False
Weather,H4J,Weather__h4j_current_patch24,h4j_current_patch24,0.21650824661008258,0.24917884821806058,1.0058925488817847,1.0215764115786738,1.0137344802302293,1,1,2,0.48909900858240674,4927509,False,False
Weather,H4J,Weather__h4j_current_patch48,h4j_current_patch48,0.21885074928386822,0.24961527625667018,1.0164961232075431,1.0225798609376462,1.0195379920725947,0,0,0,0.48791303759799265,9645141,False,False
Weather,H4J,Weather__h4j_table5_dropout3,h4j_table5_dropout3,0.21655968841035864,0.2488773258733455,1.0061509069357704,1.0202709865761537,1.013210946755962,1,1,2,0.48824183848272595,19181781,False,False
Weather,H4J,Weather__h4j_table5_lr5e5,h4j_table5_lr5e5,0.21989542152855535,0.25007855286811154,1.0192166436181218,1.0238879334845339,1.021552288551328,0,0,0,0.48604146961043293,19181781,False,False
Weather,H4J,Weather__h4j_timealign_dropout3,h4j_timealign_dropout3,0.21658125939386774,0.24857747178227163,1.005867612789598,1.0186483980590548,1.0122580054243264,1,1,2,0.48853639728807297,19115989,False,False
