epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h192_l1
1,1052,1.3338624626511404,0.30998594502249144,0.30998594502249144,0.07946884819437455,0.9444076705568191,0.07946884819437455,0.9444076705568191,full,off,1,32,192,0.15945665169662485,0.0001,16.64566969871521,0,3,0.0,1,0,0,0.30998594502249144
2,1052,1.227031073756091,0.2923190472045552,0.2923190472045552,0.017740664436187978,0.9169713625889767,0.017740664436187978,0.9169713625889767,full,off,1,32,192,0.15482424915535375,9.755282581475769e-05,15.574167490005493,0,3,0.0,2,0,0,0.2923190472045552
3,1052,1.2038702365336762,0.2879941216439802,0.2879941216439802,0.009263581061601186,0.906612534373432,0.009263581061601186,0.906612534373432,full,off,1,32,192,0.15724009977808842,9.045084971874738e-05,15.72516393661499,0,3,0.0,2,1,0,0.2879941216439802
4,1052,1.192305621312145,0.28543296755210074,0.28543296755210074,0.007084456806694345,0.8997881988155525,0.007084456806694345,0.8997881988155525,full,off,1,32,192,0.1561769630643539,7.938926261462366e-05,15.508935451507568,0,3,0.0,2,2,0,0.28543296755210074
5,1052,1.18499276381935,0.28347547726259487,0.28347547726259487,0.005907180120180513,0.8956101055720913,0.005907180120180513,0.8956101055720913,full,off,1,32,192,0.15542975583230145,6.545084971874738e-05,15.156112670898438,0,3,0.0,2,3,0,0.28347547726259487
6,1052,1.180188656079905,0.2821123917434832,0.2821123917434832,0.005188611098795336,0.8928876559430655,0.005188611098795336,0.8928876559430655,full,off,1,32,192,0.15733124543718682,5e-05,15.524930477142334,0,3,0.0,2,4,0,0.2821123917434832
7,1052,1.1768728119565506,0.28107056745501524,0.28107056745501524,0.0047019349469558935,0.8911003090242923,0.0047019349469558935,0.8911003090242923,full,off,1,32,192,0.15713845408754423,3.4549150281252636e-05,15.374204874038696,0,3,0.0,2,5,0,0.28107056745501524
8,1052,1.1747071823466413,0.28033764177345505,0.28033764177345505,0.004368959663359682,0.8900005798149472,0.004368959663359682,0.8900005798149472,full,off,1,32,192,0.15536555291813178,2.061073738537635e-05,15.534199237823486,0,3,0.0,2,6,0,0.28033764177345505
9,1052,1.1734231148382557,0.27987978685321463,0.27987978685321463,0.004162257718951034,0.8893810713472475,0.004162257718951034,0.8893810713472475,full,off,1,32,192,0.15589263274644813,9.549150281252633e-06,15.492313861846924,0,3,0.0,2,7,0,0.27987978685321463
10,1052,1.17284677271154,0.2796562137825861,0.2796562137825861,0.00405343576885951,0.8891371225109572,0.00405343576885951,0.8891371225109572,full,off,1,32,192,0.15619517162364596,2.4471741852423237e-06,16.180879831314087,0,3,0.0,2,8,0,0.2796562137825861
