epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h336_l1
1,1120,0.47804822043648787,0.3766970741429499,0.3766970741429499,0.05247790886870851,0.4887323777058295,0.05247790886870851,0.04887323777058295,full,off,1,32,336,0.5075048601166123,0.0001,31.73460364341736,0,3,0.0,1,0,0,0.3766970741429499
2,1120,0.416739007857229,0.35795291579727617,0.35795291579727617,0.010454787590840299,0.483313041765775,0.010454787590840299,0.0483313041765775,full,off,1,32,336,0.5035214578910243,9.755282581475769e-05,32.07098317146301,0,3,0.0,2,0,0,0.35795291579727617
3,1120,0.4085889972746372,0.3535112057413374,0.3535112057413374,0.007334207898903904,0.47743583377450705,0.007334207898903904,0.04774358337745071,full,off,1,32,336,0.5001335561807666,9.045084971874738e-05,32.30526566505432,0,3,0.0,3,0,0,0.3535112057413374
4,1120,0.4037660553785307,0.35091765384588924,0.35091765384588924,0.005604202223392868,0.47244199298854384,0.005604202223392868,0.047244199298854386,full,off,1,32,336,0.5024751589323083,7.938926261462366e-05,32.41694450378418,0,3,0.0,3,1,0,0.35091765384588924
5,1120,0.4000612554273435,0.34883806106767484,0.34883806106767484,0.0043734693621185474,0.4684972534488354,0.0043734693621185474,0.04684972534488355,full,off,1,32,336,0.5048558365642315,6.545084971874738e-05,32.352288484573364,0,3,0.0,3,2,0,0.34883806106767484
6,1120,0.3970796932333282,0.34721810977373807,0.34721810977373807,0.0033381893129054725,0.4652339491993189,0.0033381893129054725,0.04652339491993189,full,off,1,32,336,0.503292021607714,5e-05,32.53020882606506,0,3,0.0,3,3,0,0.34721810977373807
7,1120,0.39479519562529664,0.34601820779166054,0.34601820779166054,0.0025165668561904957,0.46260420153183596,0.0025165668561904957,0.0462604201531836,full,off,1,32,336,0.503610067357797,3.4549150281252636e-05,32.65446949005127,0,3,0.0,3,4,0,0.34601820779166054
8,1120,0.3929944273616586,0.345067955846233,0.345067955846233,0.0018612323061721068,0.46065239304942746,0.0018612323061721068,0.046065239304942746,full,off,1,32,336,0.5031156931294217,2.061073738537635e-05,32.57490158081055,0,3,0.0,3,5,0,0.345067955846233
9,1120,0.3918388038075396,0.3444432285215173,0.3444432285215173,0.0014418915532587561,0.45953683645597526,0.0014418915532587561,0.04595368364559753,full,off,1,32,336,0.5035218464299327,9.549150281252633e-06,32.55027627944946,0,3,0.0,3,6,0,0.3444432285215173
10,1120,0.39117643141320774,0.34404856557292596,0.34404856557292596,0.001222703998272274,0.45905162119971854,0.001222703998272274,0.04590516211997186,full,off,1,32,336,0.5042943213401097,2.4471741852423237e-06,32.36838388442993,0,3,0.0,3,7,0,0.34404856557292596
