baseline,dataset,horizon,repeat_count,mse,mae,source_role
AMD,ETTh1,96,1,0.3708362579345703,0.39870402216911316,local_official_native_reproduction
AMD,ETTh1,192,1,0.4033381938934326,0.4204096496105194,local_official_native_reproduction
AMD,ETTh1,336,1,0.4227767884731293,0.4315965175628662,local_official_native_reproduction
AMD,ETTh1,720,1,0.4515272080898285,0.46108269691467285,local_official_native_reproduction
AMD,ETTh2,96,1,0.27889958024024963,0.34325075149536133,local_official_native_reproduction
AMD,ETTh2,192,1,0.3630034923553467,0.39710813760757446,local_official_native_reproduction
AMD,ETTh2,336,1,0.3807739317417145,0.4189172685146332,local_official_native_reproduction
AMD,ETTh2,720,1,0.44193533062934875,0.4665042757987976,local_official_native_reproduction
AMD,ETTm1,96,1,0.28867924213409424,0.34349048137664795,local_official_native_reproduction
AMD,ETTm1,192,1,0.32891783118247986,0.3659360110759735,local_official_native_reproduction
AMD,ETTm1,336,1,0.3650975823402405,0.3861110508441925,local_official_native_reproduction
AMD,ETTm1,720,1,0.42269816994667053,0.41704830527305603,local_official_native_reproduction
AMD,ETTm2,96,1,0.1675199270248413,0.25797927379608154,local_official_native_reproduction
AMD,ETTm2,192,1,0.2214583158493042,0.29470470547676086,local_official_native_reproduction
AMD,ETTm2,336,1,0.2704958915710449,0.3273681700229645,local_official_native_reproduction
AMD,ETTm2,720,1,0.3553587794303894,0.3814344108104706,local_official_native_reproduction
AMD,Weather,96,1,0.1484117954969406,0.2029203176498413,local_official_native_reproduction
AMD,Weather,192,1,0.19259639084339142,0.24345692992210388,local_official_native_reproduction
AMD,Weather,336,1,0.24244390428066254,0.2811304032802582,local_official_native_reproduction
AMD,Weather,720,1,0.31507608294487,0.3323940336704254,local_official_native_reproduction
AMD,ECL,96,1,0.13076861202716827,0.22767512500286102,local_official_native_reproduction
AMD,ECL,192,1,0.15080778300762177,0.24434037506580353,local_official_native_reproduction
AMD,ECL,336,1,0.1666347235441208,0.2622339427471161,local_official_native_reproduction
AMD,ECL,720,1,0.2002936750650406,0.29212602972984314,local_official_native_reproduction
AMD,Solar,96,1,0.18835881352424622,0.23512186110019684,local_official_native_reproduction
AMD,Solar,192,1,0.2034941017627716,0.24603170156478882,local_official_native_reproduction
AMD,Solar,336,1,0.21279163658618927,0.2523577809333801,local_official_native_reproduction
AMD,Solar,720,1,0.21470476686954498,0.25669339299201965,local_official_native_reproduction
SimpleTM,ETTh1,96,3,0.36720109979311627,0.39333250125249225,local_official_native_reproduction
SimpleTM,ETTh1,192,3,0.428675244251887,0.42704078555107117,local_official_native_reproduction
SimpleTM,ETTh1,336,3,0.4468363622824351,0.4453867971897125,local_official_native_reproduction
SimpleTM,ETTh1,720,3,0.4697480897108714,0.4654572208722432,local_official_native_reproduction
SimpleTM,ETTh2,96,3,0.28459646304448444,0.3416052560011546,local_official_native_reproduction
SimpleTM,ETTh2,192,3,0.35688628753026325,0.38661274313926697,local_official_native_reproduction
SimpleTM,ETTh2,336,3,0.3687395552794139,0.4020097454388936,local_official_native_reproduction
SimpleTM,ETTh2,720,3,0.4144321878751119,0.43642499049504596,local_official_native_reproduction
SimpleTM,ETTm1,96,3,0.32546422878901166,0.3629484176635742,local_official_native_reproduction
SimpleTM,ETTm1,192,3,0.36059682567914325,0.3805159827073415,local_official_native_reproduction
SimpleTM,ETTm1,336,3,0.39141501983006793,0.4044116934140523,local_official_native_reproduction
SimpleTM,ETTm1,720,3,0.4542526602745056,0.43794772028923035,local_official_native_reproduction
SimpleTM,ETTm2,96,3,0.17496037979920706,0.2583611110846202,local_official_native_reproduction
SimpleTM,ETTm2,192,3,0.24023511509100595,0.3005947371323903,local_official_native_reproduction
SimpleTM,ETTm2,336,3,0.3048152029514313,0.3422146538893382,local_official_native_reproduction
SimpleTM,ETTm2,720,3,0.40076593557993573,0.3991514941056569,local_official_native_reproduction
SimpleTM,Weather,96,3,0.1574239432811737,0.20363392432530722,local_official_native_reproduction
SimpleTM,Weather,192,3,0.2049044817686081,0.2479306012392044,local_official_native_reproduction
SimpleTM,Weather,336,3,0.26390540599823,0.2906342049439748,local_official_native_reproduction
SimpleTM,Weather,720,3,0.3457577129205068,0.34370551506678265,local_official_native_reproduction
SimpleTM,ECL,96,3,0.14332573115825653,0.23710963129997253,local_official_native_reproduction
SimpleTM,ECL,192,3,0.15083545943101248,0.24759031335512796,local_official_native_reproduction
SimpleTM,ECL,336,3,0.17627409100532532,0.2694389323393504,local_official_native_reproduction
SimpleTM,ECL,720,3,0.20076404015223184,0.29349027077356976,local_official_native_reproduction
SimpleTM,Solar,96,3,0.1673004279534022,0.22758289674917856,local_official_native_reproduction
SimpleTM,Solar,192,2,0.18595463782548904,0.24923618137836456,local_official_native_reproduction
SimpleTM,Solar,336,2,0.19292858988046646,0.2578991502523422,local_official_native_reproduction
SimpleTM,Solar,720,3,0.1997868319352468,0.2543635368347168,local_official_native_reproduction
