baseline,dataset,horizon,repeat,seed_contract,mse,mae,checkpoint,checkpoint_sha256,test_role
SimpleTM,ETTm1,96,0,fix_seed_2025_advancing_rng_across_itr,0.32312992215156555,0.36132991313934326,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_96_32_32_1_db1_None_3_0.1_0.005_0.02_TST_256_2025_1_0/checkpoint.pth,969d72623dc47fbeff4ac4ef2e37c18165d8bb3186bc1e7c219e36b956465bba,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,96,1,fix_seed_2025_advancing_rng_across_itr,0.3305422365665436,0.36664560437202454,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_96_32_32_1_db1_None_3_0.1_0.005_0.02_TST_256_2025_1_1/checkpoint.pth,2a71ff3d1c3a92629b3c1f066634cb544509bc4b4c44c7ea01ea389630b56819,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,96,2,fix_seed_2025_advancing_rng_across_itr,0.3227205276489258,0.36086973547935486,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_96_32_32_1_db1_None_3_0.1_0.005_0.02_TST_256_2025_1_2/checkpoint.pth,362acb4e9d66c667b18bd5200afd474cd2295ac98a43a588dd5afeed7c9d8b80,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,192,0,fix_seed_2025_advancing_rng_across_itr,0.3604453206062317,0.38049501180648804,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_192_32_32_1_db1_None_3_0.1_0.005_0.02_TST_256_2025_1_0/checkpoint.pth,01e596faeacaf2846043a7db020de7de89783ebb58229dd55f8d012882a5b185,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,192,1,fix_seed_2025_advancing_rng_across_itr,0.36096417903900146,0.3805844187736511,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_192_32_32_1_db1_None_3_0.1_0.005_0.02_TST_256_2025_1_1/checkpoint.pth,d579400d83f6282bfeb68fa2888e87a237ac82f2cbdf9513e7a3623527061bc3,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,192,2,fix_seed_2025_advancing_rng_across_itr,0.36038097739219666,0.3804685175418854,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_192_32_32_1_db1_None_3_0.1_0.005_0.02_TST_256_2025_1_2/checkpoint.pth,b2c1b0e6e5ba5c2c7df29e4de02d46e36e7754e976e6f640d4299ec1066880f6,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,336,0,fix_seed_2025_advancing_rng_across_itr,0.39348602294921875,0.4051414728164673,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_336_32_32_1_db1_None_1_0.1_0.005_0.02_TST_256_2025_1_0/checkpoint.pth,ccf211d4b91f21bdb0275b5556a593837097968daf5c0bd5a32f7f3acc5e46e0,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,336,1,fix_seed_2025_advancing_rng_across_itr,0.38939833641052246,0.4031139016151428,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_336_32_32_1_db1_None_1_0.1_0.005_0.02_TST_256_2025_1_1/checkpoint.pth,a4fcf9d3ffdf5df4f31f4d75a3f0a3860692f355634db8749251277208c530f4,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,336,2,fix_seed_2025_advancing_rng_across_itr,0.39136070013046265,0.4049797058105469,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_336_32_32_1_db1_None_1_0.1_0.005_0.02_TST_256_2025_1_2/checkpoint.pth,9921fbfd1859b567ff2b1f23a3ed762f03d60484e6309aa73d2095112a98c8e0,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTm1,720,0,fix_seed_2025_advancing_rng_across_itr,0.4549468159675598,0.4386352300643921,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTm1/workspace/source/checkpoints/ETTm1_ETTm1_96_720_32_32_1_db1_None_3_0.1_0.005_0.02_TST_256_2025_1_0/checkpoint.pth,581f8e18d298b0885324a016e1ee7ebcdb9c13f65246af2dc16f046f72190840,official_test_once_after_validation_selected_checkpoint
