arm,dataset,mean_mse,mean_mae,cell_count
selected_bsca,ETTh1,0.4377243424850166,0.4378429831840439,4
selected_bsca,ETTh2,0.33484055254509604,0.3745145818916994,4
selected_bsca,ETTm1,0.38623423852762306,0.39086465175386076,4
selected_bsca,ETTm2,0.28667268882774627,0.3235868440362379,4
selected_bsca,Weather,0.25100348272841644,0.2728963765519351,4
v1_original,ETTh1,0.42452313025391575,0.42354353946716194,4
v1_original,ETTh2,0.3382090863394675,0.3780039871126211,4
v1_original,ETTm1,0.3865044256662918,0.3881856077503525,4
v1_original,ETTm2,0.2870087567034019,0.3241582573012758,4
v1_original,Weather,0.25171288117185564,0.27241612528405573,4
