dataset,arm,checkpoint_sha256,metrics_sha256,metrics_bytes,invariants_sha256,invariants_bytes,diagnostics_sha256,diagnostics_bytes,formal_invariant_pass
ETTm1,itransformer_original,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,2d13bb7073c9a4fa025dc9969356f69b1bc71767fe0269b1f030def2cfa62d3f,81274,d8b48a402c07c30b7cb08a20ea8b64b562addf11a5a75671c4b677ae07b6bbf5,1970,b448369c698402e5ee3801aa5461687876e3f2c889df6effacd5bd4152aef051,6714092,True
ETTm1,itransformer_iscf,b0a9f9cd4917a6e258c6978148543efca5adf451f7735b12150703c8ac76f412,ef61b5037f0e0a70058ea01a92de3b1634bf7aa82cdde96d232b93cd637ccb67,81203,793b0537bd1fc31e808d67baf998e68b5ed9d31ce8462b387adcc27f8d8e22ab,1976,dce0977c832175e3d74e74c63f50d53d1cc1f96dd1865739e4a43353299defa3,40505555,True
ETTm1,itransformer_iscf_bsca,5e4685ddd2ceaeaa98017f01be685d61fcf1b151d2e748ee32288ad9cd9a39bb,c24a6a0fa91344e47cbc0da55a2e7716e51c038bc40f62d58dd24ea78a727282,81209,3b46a68c66438e3db89bee23062d9bee146f662ba56f5534525c0165a14f3333,1976,acda48222891b8cdb76469e730376a0d59b4f7a6158c12c3b3da9a0510051512,39614149,True
ETTm2,itransformer_original,5348110340bc9afde9280cbf8389a2d2e1e6948ace2e704d0c52c5258e4e49ed,a3ff6da822ef7f2305a0008372d41c031b1934ba289b1812e191352cb573b50b,81327,c4305e98212a8457c92b769a0b507572b1bdf6612c52e200e8bf14832de2c45e,1970,34c7a1f5e8db4655849d8e06f15258a05b2713b8e50c3161a28c4cc4e2f5d9cd,6489263,True
ETTm2,itransformer_iscf,c27ac49c307e2d7237856abab8656d9c1d9fd1481942d204c52e9a5df4e06469,da4f2232f586c2f98e8778a6e2f3848cd054c19f208a65448b5c02cb41098be9,81276,f4afe0e0ee52fa7ae0fdee37702b0b4c8d0a5d0a268efb3fb61e1383496ff4f0,1976,167e1d1a673aca94df41a6ff151fc0413d4d48c030d9606205e7135a510e8d41,40508612,True
ETTm2,itransformer_iscf_bsca,943fc3d2bf5f6f3ba860fb15b2620b9ab6dc7422ae55ed9a673a3d0212c8555d,bedafb8962ffcf4e4a7d8b484204ad0ab61e2b6693a38a7d5dd560347813ff5e,81305,b80554cf78dbbbb5600c058fc719fe34d91a16b7372e48ed69779263890d6c90,1976,003416e48bdae48f0f4dede928edc7ce61ac1dd9c10b37569bf436e2b19d112c,39554988,True
ETTh1,itransformer_original,62fd68a2d51fc0ef8dc35203b9a6386c3399466dcf9db11f14327fd9ba9493bf,e7285892767752ff9ba4221767b990b1ab1d4f2dbfe9f12d95277c27afcce8e7,81253,2a823f8b929d3478fcec2ab8e2778246e1c683e64871deda8ef60cf1e653b37a,1970,51fac9d4f6b3d00ac98f97412515f3143a4d98c3da888fb42ef831d75aec3c79,1487545,True
ETTh1,itransformer_iscf,a1d6cdc7898e0039fa5ddc81965eadff49bf2a66a497d257e40799b8c1f822c4,7c5334556f674fd15998ff178d6b1af55248dce08af6cd221043b1d26de569f7,81206,25a97193af178ffb7f4a7c095a9989938dda5f0ebc94d9ae465b58990c1fd771,1976,1087a2a1840f929d85ab3d67aa8045c7d3fc3e0795c23f306a4fe1a68db0c8cc,9515334,True
ETTh1,itransformer_iscf_bsca,fa72a9db7e7f7703d5722a4be08df81a36170e1793edfb208b240af1851891f2,4bd67011b1543dd9ee321a5bc30ebfd751f3498a1e86815d0a129e37ef3d874e,81183,e4ee6213d0aaf6d26565c9318369eab9c539e7c196de4177110b98a1bf8ae842,1976,98c9d4aa498268b62ce0c2caf15b382fc08de23ec699875be6f34822180b0f15,9381972,True
ETTh2,itransformer_original,d76ab455325480f5e49810f6712d762ca2ff84af5b0c9682d3f3b6c0244f4d34,1cc660609660c70a185cdeb33a73575461585c7f41c41f95f15802edfc7d9cea,81254,8dcb334369d8b8915535c462f752af4e9bd2fad74bf673fb3684eb49452f5f75,1970,c30f4ba7342b7db4a123169ee3bca43ca73bbd7f54cf06582770ba43aa0a0859,1453061,True
