system,dataset,model_count,main_i_mse,main_i_mae,checkpoint_storage_bytes,checkpoint_storage_mib,peak_inference_memory_bytes,peak_inference_memory_mib,incremental_activation_peak_mib
ISCF-BSCA,ETTm1,1,0.329,0.36275,8351861,7.9649553298950195,19253248,18.361328125,1.21826171875
ISCF-BSCA,ETTm2,1,0.2475,0.304,12147253,11.58452320098877,25780736,24.58642578125,3.82470703125
ISCF-BSCA,ETTh1,1,0.39025,0.41525,9527093,9.08574390411377,25015296,23.8564453125,5.41552734375
ISCF-BSCA,ETTh2,1,0.30625,0.36424999999999996,12906869,12.30894947052002,29767168,28.38818359375,6.8994140625
ISCF-BSCA,Weather,1,0.2135,0.24475,18404725,17.55211353302002,39775744,37.93310546875,11.0947265625
ISCF-BSCA,ECL,1,0.151,0.24375000000000002,42584885,40.61211109161377,91015168,86.798828125,34.3271484375
ISCF-BSCA,Solar,1,0.1875,0.208,25825333,24.62895679473877,54308864,51.79296875,16.78955078125
TimeAlign,ETTm1,4,0.34075,0.36824999999999997,62497364,59.60213088989258,73739776,70.32373046875,0.10302734375
TimeAlign,ETTm2,4,0.2445,0.304,60383700,57.58638381958008,71841792,68.513671875,0.16015625
TimeAlign,ETTh1,4,0.41800000000000004,0.4305,18760148,17.891071319580078,28574720,27.2509765625,0.11669921875
TimeAlign,ETTh2,4,0.34650000000000003,0.3865,27006420,25.755329132080078,37193728,35.470703125,0.16015625
TimeAlign,Weather,4,0.21775,0.247,111346068,106.18788528442383,125254144,119.45166015625,2.54248046875
TimeAlign,ECL,4,0.15625,0.2455,320854740,305.9909248352051,348316672,332.1806640625,7.2890625
TimeAlign,Solar,4,0.196,0.21675,99631956,95.01643753051758,115893760,110.52490234375,1.966796875
QDF,ETTm1,4,0.35279493778944016,0.37971217930316925,21202836,20.220600128173828,31047168,29.60888671875,0.13525390625
QDF,ETTm2,4,0.2569936513900757,0.3149268627166748,21202836,20.220600128173828,31047168,29.60888671875,0.13525390625
QDF,ETTh1,4,0.4388669282197952,0.44216542690992355,21194644,20.212787628173828,31038976,29.60107421875,0.13525390625
QDF,ETTh2,4,0.35252801328897476,0.3935731500387192,21194644,20.212787628173828,31038976,29.60107421875,0.13525390625
QDF,Weather,4,0.23661354556679726,0.2714819610118866,21240468,20.256488800048828,31556608,30.0947265625,0.39306640625
QDF,ECL,4,0.16665516793727875,0.25994789227843285,22054868,21.033161163330078,42974208,40.9833984375,6.3857421875
QDF,Solar,4,0.20812367647886276,0.25817425176501274,21507732,20.511371612548828,35727872,34.07275390625,2.5234375
AMD,ETTm1,4,0.3513482064008713,0.3781464621424675,227372692,216.83949661254883,243399168,232.12353515625,0.13720703125
AMD,ETTm2,4,0.25370822846889496,0.31537164002656937,227366548,216.83363723754883,243397120,232.12158203125,0.13720703125
AMD,ETTh1,4,0.4121196120977402,0.4279482215642929,227372692,216.83949661254883,243399168,232.12353515625,0.13720703125
