dataset,region,scope,mean_probability,validation_series_rows
Weather,1-48,1,0.2036860927365172,95571
Weather,1-48,48,0.2036481764506628,95571
Weather,1-48,144,0.20187265418678133,95571
Weather,1-48,360,0.19552567319025,95571
Weather,1-48,720,0.19526742847078724,95571
Weather,49-96,1,0.20418935578620762,95571
Weather,49-96,48,0.2038992126634302,95571
Weather,49-96,144,0.2028070919949971,95571
Weather,49-96,360,0.1948468204391983,95571
Weather,49-96,720,0.19425754411273174,95571
Weather,97-144,1,0.204473871213564,95571
Weather,97-144,48,0.2038492219855732,95571
Weather,97-144,144,0.20411646311984938,95571
Weather,97-144,360,0.19426168703508143,95571
Weather,97-144,720,0.19329878157740155,95571
Weather,145-192,1,0.20409142739392658,95571
Weather,145-192,48,0.20318823710073516,95571
Weather,145-192,144,0.20512722439738787,95571
Weather,145-192,360,0.1943536956295167,95571
Weather,145-192,720,0.19323943995766546,95571
Weather,193-288,1,0.2032858519253168,95571
Weather,193-288,48,0.20201490757898088,95571
Weather,193-288,144,0.20537035998177885,95571
Weather,193-288,360,0.19514596922501692,95571
Weather,193-288,720,0.19418293604746392,95571
Weather,289-336,1,0.20346231068052897,95571
Weather,289-336,48,0.2018371471921911,95571
Weather,289-336,144,0.2045792052691959,95571
Weather,289-336,360,0.1955057974884935,95571
Weather,289-336,720,0.1946155633572154,95571
Weather,337-512,1,0.2037698519546588,95571
Weather,337-512,48,0.20243125826239186,95571
Weather,337-512,144,0.20251454081020662,95571
Weather,337-512,360,0.1962151535461026,95571
Weather,337-512,720,0.19506922513931013,95571
Weather,513-720,1,0.19858670126972586,95571
Weather,513-720,48,0.1985051440949209,95571
Weather,513-720,144,0.20165567842510104,95571
Weather,513-720,360,0.20006238521433292,95571
Weather,513-720,720,0.20119012733070393,95571
ETTm1,1-48,1,0.21035889804781863,75607
ETTm1,1-48,48,0.2085200498053251,75607
ETTm1,1-48,144,0.1997014181859524,75607
ETTm1,1-48,360,0.18947271601930313,75607
ETTm1,1-48,720,0.19194694323705946,75607
ETTm1,49-96,1,0.20872423646394292,75607
ETTm1,49-96,48,0.20701172628375922,75607
ETTm1,49-96,144,0.20034597986199226,75607
ETTm1,49-96,360,0.19089454475183285,75607
ETTm1,49-96,720,0.19302353784105422,75607
ETTm1,97-144,1,0.2061265794156063,75607
ETTm1,97-144,48,0.2045794688653471,75607
ETTm1,97-144,144,0.20118224033066068,75607
ETTm1,97-144,360,0.19323153552286534,75607
ETTm1,97-144,720,0.19488020094928316,75607
ETTm1,145-192,1,0.2035062690014745,75607
ETTm1,145-192,48,0.20204358873439862,75607
ETTm1,145-192,144,0.2017460134302291,75607
ETTm1,145-192,360,0.19572654402451758,75607
ETTm1,145-192,720,0.1969776100288126,75607
ETTm1,193-288,1,0.20127939675798784,75607
ETTm1,193-288,48,0.19996065569373583,75607
ETTm1,193-288,144,0.20170099895588361,75607
ETTm1,193-288,360,0.198044732722786,75607
ETTm1,193-288,720,0.19901424103895438,75607
ETTm1,289-336,1,0.20150605032695784,75607
ETTm1,289-336,48,0.20062770726831305,75607
ETTm1,289-336,144,0.2010682183823307,75607
ETTm1,289-336,360,0.19800492265153719,75607
ETTm1,289-336,720,0.19879312639086616,75607
ETTm1,337-512,1,0.20428512553355316,75607
ETTm1,337-512,48,0.20401114869197085,75607
ETTm1,337-512,144,0.19976785093569957,75607
ETTm1,337-512,360,0.19539697574116544,75607
ETTm1,337-512,720,0.19653892783962965,75607
ETTm1,513-720,1,0.19790820288167316,75607
ETTm1,513-720,48,0.197881174017391,75607
ETTm1,513-720,144,0.1983002066413284,75607
ETTm1,513-720,360,0.2004595780975371,75607
ETTm1,513-720,720,0.20545087567104459,75607
ETTh1,1-48,1,0.19805244286306048,15127
ETTh1,1-48,48,0.19674469225703115,15127
ETTh1,1-48,144,0.2002906580098821,15127
ETTh1,1-48,360,0.205037659546739,15127
ETTh1,1-48,720,0.19987457235097303,15127
ETTh1,49-96,1,0.19886710703739402,15127
ETTh1,49-96,48,0.19801310516281642,15127
ETTh1,49-96,144,0.20187183593406532,15127
ETTh1,49-96,360,0.20307262580901622,15127
ETTh1,49-96,720,0.19817535057018695,15127
ETTh1,97-144,1,0.20035288473398505,15127
ETTh1,97-144,48,0.20029046507594747,15127
ETTh1,97-144,144,0.2046639510693471,15127
ETTh1,97-144,360,0.199645354481882,15127
ETTh1,97-144,720,0.19504736947739063,15127
ETTh1,145-192,1,0.20221203680062724,15127
ETTh1,145-192,48,0.20306790633534788,15127
