reference_model,dataset,horizon,iscf_mse,reference_mse,iscf_mse_gain_pct,iscf_mse_better,iscf_mae,reference_mae,iscf_mae_gain_pct,iscf_mae_better,best_mse_model,best_mae_model
BestPublishedPerCell,ECL,96,0.11663950298585234,0.126,7.428965884244178,True,0.21472730680317825,0.216,0.5892098133434004,True,TimeAlign,TimeAlign
BestPublishedPerCell,ECL,192,0.13723967367501683,0.143,4.028200227260952,True,0.2335060312019973,0.233,-0.21718077338939826,False,TimeAlign,TimeAlign
BestPublishedPerCell,ECL,336,0.1557729557008436,0.158,1.409521708326839,True,0.25096009617021126,0.249,-0.7871872169523118,False,TimeAlign,TimeAlign
BestPublishedPerCell,ECL,720,0.1930232838722036,0.189,-2.1287216255045522,False,0.28148528866257083,0.278,-1.253700957759283,False,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh1,96,0.35291844758101404,0.362,2.508716137841423,True,0.39065923911104444,0.387,-0.9455398219753055,False,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh1,192,0.3794334112106912,0.404,6.080838809234861,True,0.40591062276327566,0.412,1.47800418367095,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh1,336,0.3961510935400803,0.424,6.568138316018788,True,0.418583873432822,0.43,2.654913155157674,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh1,720,0.45379835461460316,0.433,-4.803315153488029,False,0.46615386658053315,0.451,-3.3600591087656624,False,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh2,96,0.2405494467507989,0.266,9.567877161353804,True,0.3144207512151374,0.328,4.140014873433722,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh2,192,0.28245514440266534,0.33,14.407531999192328,True,0.34509201304952075,0.372,7.233329825397647,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh2,336,0.3122683312867567,0.36,13.258796864789806,True,0.3711865635745016,0.399,6.970786071553493,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTh2,720,0.39405488596768706,0.388,-1.5605376205378998,False,0.42976343582293,0.428,-0.4120177156378462,False,TimeAlign,TimeAlign
BestPublishedPerCell,ETTm1,96,0.2659839500967137,0.279,4.665250861392941,True,0.32657150986453487,0.33,1.0389364046864076,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTm1,192,0.3050110151558611,0.322,5.27608224973258,True,0.35059004880365885,0.356,1.5196492124553749,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTm1,336,0.34448984367496216,0.35,1.5743303785822338,True,0.3727244693263644,0.369,-1.0093412808575577,False,TimeAlign,PatchTST
BestPublishedPerCell,ETTm1,720,0.4073109251765397,0.407,-0.07639439227020756,False,0.4056298297188275,0.406,0.09117494610160903,True,TimeAlign,TimeAlign
BestPublishedPerCell,ETTm2,96,0.16482805302126763,0.155,-6.340679368559761,False,0.25273665076675506,0.241,-4.8699795712676615,False,TimeAlign,TimeAlign
BestPublishedPerCell,ETTm2,192,0.22002506020844229,0.21,-4.773838194496331,False,0.29008308674664257,0.28,-3.6011024095151942,False,TimeAlign,TimeAlign
BestPublishedPerCell,ETTm2,336,0.27199806035622454,0.263,-3.4213157248001993,False,0.3243258909319827,0.315,-2.960600295867529,False,TimeAlign,TimeAlign
BestPublishedPerCell,ETTm2,720,0.34654469330025783,0.343,-1.033438279958544,False,0.374409720985492,0.372,-0.6477744584655982,False,TimeAlign,TimeAlign
BestPublishedPerCell,Solar,96,0.167700193326123,0.172,2.4998876010912787,True,0.20640240926784012,0.2,-3.2012046339200544,False,TimeAlign,TimeAlign
BestPublishedPerCell,Solar,192,0.18903195982433438,0.189,-0.016909959965278627,False,0.2187165708035257,0.213,-2.683836057993284,False,PatchTST,TimeAlign
BestPublishedPerCell,Solar,336,0.2017798262231888,0.19,-6.199908538520417,False,0.22636423194391095,0.219,-3.362662988087191,False,TimeMixer,TimeAlign
BestPublishedPerCell,Solar,720,0.20891001186372837,0.202,-3.420797952340772,False,0.2305895664505895,0.224,-2.941770736870313,False,TimeAlign,TimeAlign
BestPublishedPerCell,Weather,96,0.14222577492130595,0.14,-1.5898392295042383,False,0.18478927998310826,0.179,-3.234234627434788,False,TimeAlign,TimeAlign
BestPublishedPerCell,Weather,192,0.18473849256232838,0.182,-1.5046662430375755,False,0.2270952313470781,0.22,-3.2251051577627705,False,TimeAlign,TimeAlign
BestPublishedPerCell,Weather,336,0.2342568922170196,0.232,-0.9727983694049911,False,0.266989207141845,0.262,-1.904277535055334,False,TimeAlign,TimeAlign
BestPublishedPerCell,Weather,720,0.30507612726922745,0.307,0.626668641945455,True,0.31724848099363157,0.317,-0.07838517149260608,False,TimeAlign,TimeAlign
