system,dataset,repeat,horizon,mse,mae,global_elementwise_mse,global_elementwise_mae,native_batch_mean_mse,native_batch_mean_mae,metric_semantics,origin_count,channel_count,checkpoint_sha256,prediction_prefix_sha256,target_prefix_sha256,prefix_identity,test_role,loader_horizon,loader_drop_last,input_only_inference,test_tuned,matrix_complete,source_metric_file,global_elementwise_float64_mse,global_elementwise_float64_mae
AMD,ECL,0,192,0.15150485932826996,0.2456037849187851,0.148612295938065,0.24431288941362259,0.15150485932826996,0.2456037849187851,official_unweighted_batch_mean,5069,321,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,3e5c7eb7e30f7637b49f7ed6449bcf3e3cc45395103843d70a4efaa0543016ce,328bd9fc46a3b1c20b5e095ead4fbbf25b0ac75580ba9f1cb8aa797f26dcc799,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ECL__r0__H192/prefix_metrics.csv,,
AMD,ECL,0,336,0.16618286073207855,0.2614060342311859,0.16406253692173364,0.26049075377248676,0.16618286073207855,0.2614060342311859,official_unweighted_batch_mean,4925,321,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,1badce830f0d691257e638d8c00f1e5d15841fca183341ee17a08ad527711cfe,fa71bab94523ce40a86c9998154de74ee39f256f9f7a0a0ef37a761217df4c8a,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ECL__r0__H336/prefix_metrics.csv,,
AMD,ECL,0,720,0.2002936750650406,0.29212602972984314,0.19847714238769854,0.29139836777072253,0.2002936750650406,0.29212602972984314,official_unweighted_batch_mean,4541,321,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,71bbeac81e4e888f4b756386cedb51c3c21438dc6014130a0501a1210dfd7bbb,7820e9acfd5b698218b02504f4db9a879bc96413bbbfac167283c364055dbec5,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ECL__r0__H720/prefix_metrics.csv,,
AMD,ECL,0,96,0.13213013112545013,0.23002633452415466,0.13188657302350515,0.22961115537323717,0.13213013112545013,0.23002633452415466,official_unweighted_batch_mean,5165,321,af65985faea71b7550bd06f742a8976fbe159d0371c6a65cfe8fcd484f68bea8,ee4c169cd902250d0cc63ed3b6e0376d38232212b4716903435b28642c93ebac,cece2e0a49941835c217dd26c6a0b8d5382ce54e8dffbe7330631bbfef2b26b0,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ECL__r0__H96/prefix_metrics.csv,,
AMD,ETTh1,0,192,0.4104018211364746,0.42385467886924744,0.4056250019295745,0.4199282272383182,0.4104018211364746,0.42385467886924744,official_unweighted_batch_mean,2689,7,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,f8afdeae183ff4983bbf481aeabeb2bb57e114bf6fa8acf705e20ad62484dc54,970800889c829e7d46541c683c2f0e8b6fdba08f1b143d3f7277c340c6851f1d,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh1__r0__H192/prefix_metrics.csv,,
AMD,ETTh1,0,336,0.4259102940559387,0.43256884813308716,0.4245220371296902,0.4318143890647994,0.4259102940559387,0.43256884813308716,official_unweighted_batch_mean,2545,7,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,3bf6b88b1d341bb4992b469d78611c76be913a1c98057c94c73c51ce0a98a7f1,6aadec30f9d0653693bfd88edafafb9ab8d712f13cb9367ea1c13b8e85f9058e,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh1__r0__H336/prefix_metrics.csv,,
AMD,ETTh1,0,720,0.4515272080898285,0.46108269691467285,0.45090886940068975,0.4605373816231361,0.4515272080898285,0.46108269691467285,official_unweighted_batch_mean,2161,7,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,9e222d23da4e7114ee3ed83b85cf088dc632ae711658d8acbe2b449be4ab084d,011f2f68df1d439f9f6ad3376fb2d39695c099b42ce31da16d01babc70073d62,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh1__r0__H720/prefix_metrics.csv,,
AMD,ETTh1,0,96,0.3777333199977875,0.40336301922798157,0.3769873364709492,0.4030144046539757,0.3777333199977875,0.40336301922798157,official_unweighted_batch_mean,2785,7,2ea37ac6627e648840380d0f39c3a75887e57ae1efe0452337ef6a4b70eceba3,449b2890ef1b62a971c42d3f627030047bbcecb45d1d6c4e54d294b937e1d898,85406b935124bf2745dc1b683d236d0d7b29747ad0e333196e9aad7030ca16b7,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh1__r0__H96/prefix_metrics.csv,,
AMD,ETTh2,0,192,0.37352919578552246,0.4045051038265228,0.34559447708584756,0.3909595079859107,0.37352919578552246,0.4045051038265228,official_unweighted_batch_mean,2689,7,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,0d50f62ef86da03bb1ebed5383483b5e7c2f8ee249378a9caf8fa69b9ec52928,a6c24e6881a0ffab7697f3c4189202306f29e735acf1cb9da8020524f34cd62a,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh2__r0__H192/prefix_metrics.csv,,
AMD,ETTh2,0,336,0.37890109419822693,0.42096009850502014,0.37562166017856746,0.4190719835387867,0.37890109419822693,0.42096009850502014,official_unweighted_batch_mean,2545,7,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,883795dded08fa480f234a2f0ed94709f00761daa896059272a383507a592902,c495b360c244e930c91beacee1185285d77edf65fc72ab5034c3b73650f2ea35,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh2__r0__H336/prefix_metrics.csv,,
AMD,ETTh2,0,720,0.44193533062934875,0.4665042757987976,0.4408647376291709,0.46578389938820314,0.44193533062934875,0.4665042757987976,official_unweighted_batch_mean,2161,7,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,55ef752116a8b546648e355bcddb3981ed485a02f8dc65cf233820a94343238d,54e79c2d71f454b925b06f24fc07424541665f1167519ad75267a2d907554822,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh2__r0__H720/prefix_metrics.csv,,
AMD,ETTh2,0,96,0.2846989333629608,0.3509899973869324,0.2840250514479497,0.3502428473773059,0.2846989333629608,0.3509899973869324,official_unweighted_batch_mean,2785,7,f28b3db1d695569650594035e807a94642c8435866866b449dc6ca890ded45ee,89dd62e38fe6250a668decad66ef269bd62205c33d2e7dfa4d9728ee94fc4c3a,f96ac8c63af7b3298a8a30bab921707e95145eca30fba9a72fff7a2aa0aa1eef,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTh2__r0__H96/prefix_metrics.csv,,
AMD,ETTm1,0,192,0.3325335383415222,0.3683796226978302,0.332913862657257,0.3688126268837165,0.3325335383415222,0.3683796226978302,official_unweighted_batch_mean,11329,7,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,1345f939dbfc3efb268a0401d7d449f05415af23291c3a2630815dd32969fbc4,fde46e5b466612e9fd1787fc529f31641d6a358bd07cbaab9f267e2fde9850cf,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm1__r0__H192/prefix_metrics.csv,,
AMD,ETTm1,0,336,0.36572909355163574,0.3867592513561249,0.3649494705977653,0.3867889161939058,0.36572909355163574,0.3867592513561249,official_unweighted_batch_mean,11185,7,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,8f3d1c6a57a4aae9fe209446745d8421c48e97b6a6d03fb03c57acb3ab25b45d,703f9efab78a24f16b87e528924abe07f2c7c1b6ba1c875437e2e1bb09f3efb4,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm1__r0__H336/prefix_metrics.csv,,
AMD,ETTm1,0,720,0.42269816994667053,0.41704830527305603,0.42194554330913,0.4169217236074283,0.42269816994667053,0.41704830527305603,official_unweighted_batch_mean,10801,7,fcc2b0f22e296c143457c9d3ba0f86679670f7f2e543803304ed089cb880be2e,fd51c37d2036abf3796a3400cc998a863d9534bf82fbcdf277e16ad2493500f8,2c8b00914335e50e8b8e33e30a5d610e52c58564b7deaa0ec7c1eca1e8868b96,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__ETTm1__r0__H720/prefix_metrics.csv,,
