dataset,horizon,qdf_l336_mse,qdf_l336_mae,iscf_mse,iscf_mae,timealign_mse,timealign_mae,qdf_l96_mse,qdf_l96_mae,qdf_vs_iscf_mse_pct,qdf_vs_iscf_mae_pct,qdf_vs_timealign_mse_pct,qdf_vs_timealign_mae_pct,qdf_l336_vs_l96_mse_pct,qdf_l336_vs_l96_mae_pct,qdf_beats_iscf_mse,qdf_beats_iscf_mae,qdf_beats_timealign_mse,qdf_beats_timealign_mae
ETTh1,96,0.37043389678001404,0.3935897648334503,0.351976402970048,0.39123289011502366,0.37956387192631763,0.40667750003437203,0.365,0.389,5.243957735296445,0.6024224389042931,-2.405385712809871,-3.21820980993921,1.4887388438394655,1.1798881319923682,False,False,True,True
ETTh1,192,0.42239654064178467,0.4272468686103821,0.3781118196471161,0.4064746981892506,0.4063262678682804,0.4192317770017932,0.427,0.421,11.712069999821374,5.110323105882508,3.955016951725554,1.9118521181552994,-1.0780935265141234,1.483816772062263,False,False,False,False
ETTh1,336,0.4636939764022827,0.4550248980522156,0.39353640120983735,0.41980139259626054,0.42711337261079324,0.4303608466649339,0.466,0.449,17.82746779631108,8.390516581690054,8.564612146860483,5.731016559339652,-0.49485484929555623,1.3418481185335285,False,False,False,False
ETTh1,720,0.4989432990550995,0.49280017614364624,0.45045415910275827,0.46662598434351565,0.4589570479260551,0.4613145207779275,0.466,0.467,10.764500443047265,5.6092443795118685,8.71241683938293,6.825203618698938,7.069377479635075,5.524662985791484,False,False,False,False
ETTh2,96,0.28264811635017395,0.3424420952796936,0.2405494467507989,0.3144207512151374,0.2704690615646541,0.33065875340253115,0.286,0.338,17.50104611256407,8.912053023301581,4.50293823443777,3.563595929613239,-1.171987290148957,1.314229372690412,False,False,False,False
ETTh2,192,0.3593428432941437,0.39125922322273254,0.28245514440266534,0.34509201304952075,0.3340287539564694,0.3737898941617459,0.361,0.388,27.221206770398897,13.378232015641235,7.578416240469288,4.6735691183313,-0.45904617890756283,0.8400059852403441,False,False,False,False
ETTh2,336,0.3611879348754883,0.40096795558929443,0.3122683312867567,0.3711865635745016,0.3761869398655281,0.4051917487578023,0.408,0.422,15.665886895142322,8.02329473567147,-3.9871147561373,-1.0424183566069,-11.473545373654826,-4.983896779788044,False,False,True,True
ETTh2,720,0.40693315863609314,0.43962332606315613,0.39405488596768706,0.42976343582293,0.4059744637666477,0.43642706974513,0.419,0.439,3.268141857137663,2.2942599156547505,0.23614659418491613,0.7323689430842828,-2.8799144066603444,0.14198771370299568,False,False,False,False
ETTm1,96,0.28283533453941345,0.3359886407852173,0.2659839500967137,0.32657150986453487,0.27954589719108,0.330663332870851,0.307,0.349,6.335489203981082,2.8836351721522657,1.1767074320840454,1.6104924208352633,-7.8712265343930055,-3.728183156098197,False,False,False,False
ETTm1,192,0.3363930583000183,0.3689405918121338,0.3050110151558611,0.35059004880365885,0.3225079004575188,0.3565682750195265,0.352,0.376,10.28882288992774,5.2341882124417705,4.305369829018635,3.4698310700607804,-4.433790255676606,-1.8775021776239909,False,False,False,False
ETTm1,336,0.36910462379455566,0.3897988200187683,0.34448984367496216,0.3727244693263644,0.35051997942805646,0.37516651825890657,0.383,0.398,7.14528470767295,4.580957811345976,5.3020214131085375,3.9002152504888032,-3.628035562779197,-2.0605979852341028,False,False,False,False
ETTm1,720,0.4228467345237732,0.4241206645965576,0.4073109251765397,0.4056298297188275,0.40624309921533697,0.40543912779539826,0.441,0.434,3.8142383095910892,4.558549081695373,4.0871181173308235,4.607729131310401,-4.116386729303134,-2.2763445630051615,False,False,False,False
ETTm2,96,0.1644393503665924,0.2531222701072693,0.1608811102009066,0.24576577725389895,0.15499722522993883,0.2411568321598073,0.17,0.253,2.211720295342512,2.993294239567934,6.09180269043279,4.961683167049102,-3.2709703725927075,0.04832810564003864,False,False,False,False
ETTm2,192,0.21754667162895203,0.290833443403244,0.2184282369628787,0.28477006837910346,0.21022817205327252,0.28047390716771287,0.234,0.294,-0.4035949500780345,2.1292178137445994,3.481217338380782,3.693582886245639,-7.031336910704267,-1.0770600669237962,True,False,False,False
ETTm2,336,0.2821751534938812,0.3304235637187958,0.271552440553906,0.3203940888540244,0.26339305747699526,0.3170770688558973,0.29,0.331,3.911845873418507,3.130355775490279,7.1308242505694786,4.209227400472804,-2.6982229331444008,-0.1741499338985597,False,False,False,False
ETTm2,720,0.3638134300708771,0.38532817363739014,0.3440692155815435,0.3718412308467188,0.3429375028444661,0.37138505656686094,0.387,0.389,5.738442614217032,3.6270702847987835,6.0873853262642275,3.75435597743794,-5.991361738791456,-0.9439142320333826,False,False,False,False
Weather,96,0.1523500680923462,0.20202350616455078,0.1410607618772622,0.18159428257633217,0.14042058404690275,0.17825754665924856,0.158,0.201,8.003151312132362,11.249926648781639,8.495537977152123,13.332372149568773,-3.575906270666973,0.5092070470401833,False,False,False,False
Weather,192,0.20498406887054443,0.25052669644355774,0.18213667199495437,0.22313626947867732,0.18236330883034194,0.22042006071812162,0.207,0.245,12.544094841165766,12.275201619563614,12.404227684444603,13.658754846246591,-0.9738797726838389,2.255794466758254,False,False,False,False
Weather,336,0.2480396181344986,0.2822582721710205,0.23218611821442647,0.26377962898612267,0.2331089600144575,0.2626470230475423,0.263,0.286,6.8279275445017,7.005333677935366,6.4050125396789115,7.466770000255574,-5.688358123764791,-1.3082964436991196,False,False,False,False
Weather,720,0.3410804271697998,0.35111936926841736,0.30416474674338456,0.3147720183854933,0.30730863438608746,0.317576495397629,0.342,0.339,12.136738666022984,11.547198848663353,10.9895359273515,10.562139943256899,-0.2688809445029916,3.575035182423991,False,False,False,False
ECL,96,0.1268039494752884,0.22215135395526886,0.11683624645800295,0.21495666344707656,0.12579857546370476,0.21577556912476817,0.135,0.229,8.53134478337454,3.3470423260285154,0.799193478843252,2.954822390858358,-6.071148536823423,-2.990675128703557,False,False,False,False
ECL,192,0.15052081644535065,0.24377918243408203,0.136800277881022,0.23298019228555047,0.1442888457289276,0.23319974852104983,0.153,0.245,10.029613080363543,4.635153762469146,4.319093887639047,4.53664036094672,-1.620381408267546,-0.498292884048146,False,False,False,False
ECL,336,0.16678288578987122,0.26032811403274536,0.1562018226091565,0.2509450912429564,0.15860418977570676,0.24854475836313905,0.169,0.262,6.773969089458287,3.739074051344815,5.156670845663358,4.740939115839282,-1.311901899484491,-0.6381244149826881,False,False,False,False
ECL,720,0.22251302003860474,0.31353291869163513,0.19666098558669823,0.28365932758789697,0.19012547761408818,0.27789375096973445,0.202,0.29,13.145481995212327,10.531503179454326,17.034825017116304,12.824746003655974,10.15496041515085,8.114799548839713,False,False,False,False
Solar,96,0.1931203454732895,0.23155607283115387,0.1715133846977597,0.1973041698281769,0.18178433862825236,0.20470493147149682,0.19026154279708862,0.22462943196296692,12.59782775181395,17.359948871230337,6.235964511892944,13.116997801001107,1.502564645578297,3.083585622621743,False,False,False,False
Solar,192,0.20689527690410614,0.2605019509792328,0.18678586578246154,0.2087816075478677,0.197916757131073,0.21698482090141624,0.21826083958148956,0.24937455356121063,10.766023990843522,24.77246153950945,4.5365131801785585,20.055379863455002,-5.207330228902551,4.462122241069344,False,False,False,False
