run_start dataset=ECL mode=fixed pred_len=192 target_horizons=[192] encoder_mode=timealign-token-mlp readout_mode=official pcc_objective_mode=off output_dir=/home/yingch/exp_outputs/r-2026-fatst/timealign_official_reproduction/main_i_8dataset_20260806/runs/TimeAlign__ECL__H192__seed2021
train 17501
val 2441
	iters: 100, epoch: 1 | loss: 0.5316266
	iters: 200, epoch: 1 | loss: 0.4792984
	iters: 300, epoch: 1 | loss: 0.4288569
	iters: 400, epoch: 1 | loss: 0.4181143
	iters: 500, epoch: 1 | loss: 0.4286403
	iters: 600, epoch: 1 | loss: 0.3973081
	iters: 700, epoch: 1 | loss: 0.4311848
	iters: 800, epoch: 1 | loss: 0.3735147
	iters: 900, epoch: 1 | loss: 0.4071585
	iters: 1000, epoch: 1 | loss: 0.3626082
Epoch: 1, Steps: 1094 | Train Loss: 0.4417161 Vali Loss: 0.1273305
Updating learning rate to 0.0004877641290737884
	iters: 100, epoch: 2 | loss: 0.3850343
	iters: 200, epoch: 2 | loss: 0.3734989
	iters: 300, epoch: 2 | loss: 0.3611456
	iters: 400, epoch: 2 | loss: 0.3532445
	iters: 500, epoch: 2 | loss: 0.3681179
	iters: 600, epoch: 2 | loss: 0.3674142
	iters: 700, epoch: 2 | loss: 0.3859993
	iters: 800, epoch: 2 | loss: 0.3504665
	iters: 900, epoch: 2 | loss: 0.3465205
	iters: 1000, epoch: 2 | loss: 0.3481104
Epoch: 2, Steps: 1094 | Train Loss: 0.3718949 Vali Loss: 0.1245033
Updating learning rate to 0.0004522542485937369
	iters: 100, epoch: 3 | loss: 0.3391632
	iters: 200, epoch: 3 | loss: 0.3767569
	iters: 300, epoch: 3 | loss: 0.3737679
	iters: 400, epoch: 3 | loss: 0.3709867
	iters: 500, epoch: 3 | loss: 0.3603262
	iters: 600, epoch: 3 | loss: 0.3584415
	iters: 700, epoch: 3 | loss: 0.3399590
	iters: 800, epoch: 3 | loss: 0.3423595
	iters: 900, epoch: 3 | loss: 0.3516253
	iters: 1000, epoch: 3 | loss: 0.3452328
Epoch: 3, Steps: 1094 | Train Loss: 0.3622303 Vali Loss: 0.1236614
Updating learning rate to 0.0003969463130731183
	iters: 100, epoch: 4 | loss: 0.3543763
	iters: 200, epoch: 4 | loss: 0.3358294
	iters: 300, epoch: 4 | loss: 0.3680614
