run_start dataset=ETTm1 mode=fixed pred_len=336 target_horizons=[336] encoder_mode=timealign-token-mlp readout_mode=official pcc_objective_mode=off output_dir=/home/yingch/exp_outputs/r-2026-fatst/timealign_official_reproduction/main_i_8dataset_20260806/runs/TimeAlign__ETTm1__H336__seed2021
train 33505
val 11185
	iters: 100, epoch: 1 | loss: 0.8743193
	iters: 200, epoch: 1 | loss: 0.7416500
	iters: 300, epoch: 1 | loss: 0.6925060
	iters: 400, epoch: 1 | loss: 0.6675619
	iters: 500, epoch: 1 | loss: 0.6105856
	iters: 600, epoch: 1 | loss: 0.6104704
	iters: 700, epoch: 1 | loss: 0.5801808
	iters: 800, epoch: 1 | loss: 0.6003943
	iters: 900, epoch: 1 | loss: 0.5888833
	iters: 1000, epoch: 1 | loss: 0.5721411
Epoch: 1, Steps: 1048 | Train Loss: 0.6847749 Vali Loss: 0.6752769
Updating learning rate to 9.755282581475769e-05
	iters: 100, epoch: 2 | loss: 0.5417461
	iters: 200, epoch: 2 | loss: 0.5559162
	iters: 300, epoch: 2 | loss: 0.5724351
	iters: 400, epoch: 2 | loss: 0.5528228
	iters: 500, epoch: 2 | loss: 0.5839831
	iters: 600, epoch: 2 | loss: 0.5574768
	iters: 700, epoch: 2 | loss: 0.5311260
	iters: 800, epoch: 2 | loss: 0.5550624
	iters: 900, epoch: 2 | loss: 0.5579396
	iters: 1000, epoch: 2 | loss: 0.5629105
Epoch: 2, Steps: 1048 | Train Loss: 0.5652569 Vali Loss: 0.6504819
Updating learning rate to 9.045084971874738e-05
	iters: 100, epoch: 3 | loss: 0.5687950
	iters: 200, epoch: 3 | loss: 0.5569758
	iters: 300, epoch: 3 | loss: 0.5527340
	iters: 400, epoch: 3 | loss: 0.5500600
	iters: 500, epoch: 3 | loss: 0.5349413
	iters: 600, epoch: 3 | loss: 0.5378474
	iters: 700, epoch: 3 | loss: 0.5347238
	iters: 800, epoch: 3 | loss: 0.5625802
	iters: 900, epoch: 3 | loss: 0.5113827
	iters: 1000, epoch: 3 | loss: 0.5256811
Epoch: 3, Steps: 1048 | Train Loss: 0.5403265 Vali Loss: 0.6374420
