epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h720_l1
1,121,0.862184925512834,0.6792195153630469,0.6792195153630469,0.13260023788479733,0.5036517546689214,0.13260023788479733,0.05036517546689215,full,off,1,32,720,1.8265418100481232,0.0005,2.4238202571868896,0,3,0.0,1,0,0,0.6792195153630469
2,121,0.7165377588311502,0.6065084165778042,0.6065084165778042,0.06675235650017242,0.4327699017426199,0.06675235650017242,0.043276990174261995,full,off,1,32,720,2.2250471144500708,0.0004877641290737884,1.8753936290740967,0,3,0.0,1,1,0,0.6065084165778042
3,121,0.6812806262457667,0.5860117750226959,0.5860117750226959,0.05307631767239453,0.421925336368813,0.05307631767239453,0.0421925336368813,full,off,1,32,720,1.8093391820167501,0.0004522542485937369,2.1040761470794678,0,3,0.0,3,0,0,0.5860117750226959
4,121,0.6595964825842991,0.571732385345727,0.571732385345727,0.04590991102466899,0.419541880857846,0.04590991102466899,0.041954188085784605,full,off,1,32,720,1.7113383170941638,0.0003969463130731183,1.8796422481536865,0,3,0.0,4,0,0,0.571732385345727
5,121,0.6475123378856122,0.5636559577027628,0.5636559577027628,0.04198197306187685,0.4187440529835126,0.04198197306187685,0.041874405298351264,full,off,1,32,720,1.6365528997861676,0.00032725424859373687,1.8563380241394043,0,3,0.0,5,0,0,0.5636559577027628
6,121,0.6381278210435032,0.5567432238050729,0.5567432238050729,0.039503514766693115,0.41881083112117673,0.039503514766693115,0.041881083112117676,full,off,1,32,720,1.6148997804615646,0.00025,1.9527359008789062,0,3,0.0,6,0,0,0.5567432238050729
7,121,0.6311062042378197,0.5515892195307519,0.5515892195307519,0.037611490654304996,0.4190549099248303,0.037611490654304996,0.04190549099248303,full,off,1,32,720,1.5515010026283562,0.00017274575140626317,1.866943120956421,0,3,0.0,7,0,0,0.5515892195307519
8,121,0.6268097718885123,0.5485491080225007,0.5485491080225007,0.03636053182985172,0.4190013145119691,0.03636053182985172,0.04190013145119691,full,off,1,32,720,1.4995187117925122,0.00010305368692688174,1.8128199577331543,0,3,0.0,8,0,0,0.5485491080225007
9,121,0.6235577853257991,0.5460939865466977,0.5460939865466977,0.03557312556288459,0.4189067569153368,0.03557312556288459,0.04189067569153368,full,off,1,32,720,1.5274618779981717,4.7745751406263163e-05,2.0765397548675537,0,3,0.0,8,1,0,0.5460939865466977
10,121,0.6225337208795153,0.5454773429996711,0.5454773429996711,0.035174658660553706,0.4188171807399466,0.035174658660553706,0.04188171807399466,full,off,1,32,720,1.5228507642065072,1.2235870926211617e-05,1.8570489883422852,0,3,0.0,8,2,0,0.5454773429996711
