epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h336_l1
1,1117,0.5364821488396228,0.2561581424681758,0.2561581424681758,0.10820958567924978,0.8605720867722186,0.10820958567924978,0.17211441735444374,full,off,1,32,336,0.19008395505980366,0.0005,62.090781688690186,0,3,0.0,1,0,0,0.2561581424681758
2,1117,0.45211677796198196,0.2287563296200019,0.2287563296200019,0.05023293992239338,0.8656375261428854,0.05023293992239338,0.1731275052285771,full,off,1,32,336,0.1783155044540763,0.0004877641290737884,56.87183880805969,0,3,0.0,2,0,0,0.2287563296200019
3,1117,0.43497372252554795,0.22248621056841864,0.22248621056841864,0.039284267952213785,0.8660162048032483,0.039284267952213785,0.17320324096064965,full,off,1,32,336,0.17845088939204634,0.0004522542485937369,56.02603888511658,0,3,0.0,2,1,0,0.22248621056841864
4,1117,0.42524430379871825,0.21838481393421774,0.21838481393421774,0.033695965401674875,0.8658176033008067,0.033695965401674875,0.17316352066016136,full,off,1,32,336,0.17767601410326148,0.0003969463130731183,65.31300091743469,0,3,0.0,4,0,0,0.21838481393421774
5,1117,0.4187567151595998,0.2153077193051443,0.2153077193051443,0.030370157900714085,0.8653941749459201,0.030370157900714085,0.17307883498918403,full,off,1,32,336,0.17436398722098342,0.00032725424859373687,60.460686922073364,0,3,0.0,5,0,0,0.2153077193051443
6,1117,0.41320989907268124,0.2122814072064235,0.2122814072064235,0.02792375420212692,0.8650236748752577,0.02792375420212692,0.17300473497505153,full,off,1,32,336,0.17762357950033175,0.00025,65.98671579360962,0,3,0.0,5,1,0,0.2122814072064235
7,1117,0.40872142159095703,0.2096100737980251,0.2096100737980251,0.02618339764839747,0.8646397364918633,0.02618339764839747,0.1729279472983727,full,off,1,32,336,0.17928673089703634,0.00017274575140626317,66.00723528862,0,3,0.0,5,2,0,0.2096100737980251
8,1117,0.4054719592805622,0.2076286694490173,0.2076286694490173,0.02497564545009642,0.8643382089204199,0.02497564545009642,0.17286764178408398,full,off,1,32,336,0.17996447918648345,0.00010305368692688174,48.61848568916321,0,3,0.0,5,3,0,0.2076286694490173
9,1117,0.40326189426513476,0.20618915564531498,0.20618915564531498,0.024256761608546933,0.8640798705971017,0.024256761608546933,0.17281597411942035,full,off,1,32,336,0.1750350327097944,4.7745751406263163e-05,57.710678577423096,0,3,0.0,5,4,0,0.20618915564531498
10,1117,0.402121532064735,0.2054199476325309,0.2054199476325309,0.02391829472051845,0.8639164336472617,0.02391829472051845,0.17278328672945234,full,off,1,32,336,0.17467742417162904,1.2235870926211617e-05,46.692585945129395,0,3,0.0,5,5,0,0.2054199476325309
