dataset,future_region,scope,validation_rows,mean_mse,excess_mse_percent,regional_best,split
ETTm1,1–48,1,75607,0.305243285445,1.72004339,0,validation
ETTm1,1–48,48,75607,0.303787727493,1.23498958,0,validation
ETTm1,1–48,144,75607,0.301056946114,0.32497710,0,validation
ETTm1,1–48,360,75607,0.300081749161,0.00000000,1,validation
ETTm1,1–48,720,75607,0.303268490345,1.06195768,0,validation
ETTm1,49–96,1,75607,0.450547468347,0.78795959,0,validation
ETTm1,49–96,48,75607,0.447025091289,0.00000000,1,validation
ETTm1,49–96,144,75607,0.453643541741,1.48055458,0,validation
ETTm1,49–96,360,75607,0.455133179238,1.81378811,0,validation
ETTm1,49–96,720,75607,0.459159778699,2.71454280,0,validation
ETTm1,97–144,1,75607,0.582791023747,1.31516998,0,validation
ETTm1,97–144,48,75607,0.575225826365,0.00000000,1,validation
ETTm1,97–144,144,75607,0.585335572681,1.75752650,0,validation
ETTm1,97–144,360,75607,0.580814435772,0.97155050,0,validation
ETTm1,97–144,720,75607,0.583457413787,1.43101840,0,validation
ETTm1,145–192,1,75607,0.665926882591,0.53651401,0,validation
ETTm1,145–192,48,75607,0.662373157816,0.00000000,1,validation
ETTm1,145–192,144,75607,0.672555794054,1.53729603,0,validation
ETTm1,145–192,360,75607,0.665153453721,0.41974767,0,validation
ETTm1,145–192,720,75607,0.672087645038,1.46661849,0,validation
ETTm1,193–288,1,75607,0.831209316958,1.94807100,0,validation
ETTm1,193–288,48,75607,0.826884133552,1.41758597,0,validation
ETTm1,193–288,144,75607,0.824982054271,1.18429537,0,validation
ETTm1,193–288,360,75607,0.815326183984,0.00000000,1,validation
ETTm1,193–288,720,75607,0.820855798605,0.67820888,0,validation
ETTm1,289–336,1,75607,0.962466612211,2.39865144,0,validation
ETTm1,289–336,48,75607,0.953049025548,1.39669651,0,validation
ETTm1,289–336,144,75607,0.961526083774,2.29858684,0,validation
ETTm1,289–336,360,75607,0.939921179271,0.00000000,1,validation
ETTm1,289–336,720,75607,0.946484667915,0.69830203,0,validation
ETTm1,337–512,1,75607,1.12525693234,2.70753442,0,validation
