dataset,probe_row,future_step,target,mean_pairwise_scope_disagreement,split,scope_1_forecast,scope_48_forecast,scope_144_forecast,scope_360_forecast,scope_720_forecast
ETTh1,107,1,-0.9655680060,0.336374620191,validation,-0.2090141773,-0.0234798789,-0.4266701043,-0.9046505690,-0.9768370390
ETTh1,107,2,-0.1349516958,0.336374620191,validation,-0.4651446342,-0.4941447377,-0.6422398090,-0.9153100252,-0.9296258688
ETTh1,107,3,0.2321575284,0.336374620191,validation,0.1942070723,0.1052087545,-0.0875992179,-0.0394067168,-0.1838605404
ETTh1,107,4,0.1547855288,0.336374620191,validation,0.3481369615,0.9976158142,0.7148536444,-0.0530353785,-0.1410848796
ETTh1,107,5,0.2578877509,0.336374620191,validation,1.0029007196,0.6683261395,0.8304620981,0.3923163414,0.3423889279
ETTh1,107,6,0.4124505222,0.336374620191,validation,0.5360774994,0.5975526571,-0.0233569145,0.2038922310,0.2331396937
ETTh1,107,7,0.3093483448,0.336374620191,validation,0.7709223032,0.8401240110,0.5945245028,0.5128141642,0.4205952883
ETTh1,107,8,0.2642297745,0.336374620191,validation,0.7503089905,0.3268906474,0.5219510794,0.3361569047,0.3329630494
ETTh1,107,9,0.3673319519,0.336374620191,validation,0.4808608294,0.8301604986,0.6224691868,0.4612280130,0.4143244028
ETTh1,107,10,0.6893225908,0.336374620191,validation,0.9920805693,1.0456228256,1.1699776649,0.7861474752,0.7787665129
ETTh1,107,11,0.9919250011,0.336374620191,validation,1.1282277107,0.9988698959,0.7555931807,0.6701970100,0.7360426188
ETTh1,107,12,0.9210762382,0.336374620191,validation,0.7166895866,0.6092197895,0.8111660480,0.5560873747,0.7325634956
ETTh1,107,13,0.9919250011,0.336374620191,validation,1.3207803965,1.3422973156,1.0063287020,0.4980599880,0.3732087016
ETTh1,107,14,0.8116319776,0.336374620191,validation,0.7674000263,0.7297247648,0.9316055775,0.9875771999,0.6792422533
ETTh1,107,15,0.9596716762,0.336374620191,validation,1.0309238434,0.8975126743,1.1264002323,0.5829652548,0.4913381338
ETTh1,107,16,0.7922436595,0.336374620191,validation,0.4385672808,-0.0057187080,0.3639358878,0.3832669258,0.4044722915
ETTh1,107,17,0.1484435946,0.336374620191,validation,0.5821157694,0.3460404277,0.4720295668,0.2933139801,0.2279242873
ETTh1,107,18,-0.8432586789,0.336374620191,validation,-0.6010789871,-0.6613854170,-0.5243754387,-0.3241135478,-0.3421489596
ETTh1,107,19,-1.0235517025,0.336374620191,validation,-0.9538701773,-0.8725556135,-1.1478183270,-1.2290946245,-1.0052251816
ETTh1,107,20,-2.2082309723,0.336374620191,validation,-1.5266017914,-1.4834098816,-1.2447910309,-1.5606977940,-1.5696566105
ETTh1,107,21,-2.7554519176,0.336374620191,validation,-1.7895863056,-1.5019735098,-1.8142609596,-2.0292122364,-2.1075196266
ETTh1,107,22,-3.6505751610,0.336374620191,validation,-1.0559400320,-1.2024644613,-1.7439111471,-1.8854807615,-1.9367748499
ETTh1,107,23,-3.3608379364,0.336374620191,validation,-1.9795737267,-2.0144639015,-1.9793008566,-2.2961237431,-2.1226716042
ETTh1,107,24,-3.0968308449,0.336374620191,validation,-1.4027127028,-1.1531641483,-1.4618594646,-1.7452863455,-1.6070001125
ETTh1,107,25,-2.6331424713,0.336374620191,validation,-1.3544383049,-1.5096631050,-1.3014334440,-1.3198819160,-1.1593554020
ETTh1,107,26,-1.7961844206,0.336374620191,validation,-0.0531740785,-0.6243952513,-0.7176506519,-0.6900812387,-0.9167222977
ETTh1,107,27,-0.7466796041,0.336374620191,validation,0.4130868912,0.3581517339,-0.2625428736,-0.0710900426,-0.0481278896
ETTh1,107,28,-0.3667052686,0.336374620191,validation,0.1752960682,0.5517770052,0.2305969596,0.2802070975,0.1022943854
ETTh1,107,29,-0.1220865473,0.336374620191,validation,-0.3174812496,-0.1317383051,-0.1024062932,0.0484547615,0.3249605298
ETTh1,107,30,0.1290552318,0.336374620191,validation,-0.0736256838,0.1154465675,-0.2870687246,0.4530975819,0.3068547845
ETTh1,107,31,0.0775947273,0.336374620191,validation,-0.2856906950,-0.3643355072,0.2138579488,0.4096369743,0.4459009171
ETTh1,107,32,-0.0318494961,0.336374620191,validation,0.5170226097,0.6677801609,0.2761590481,0.5341702700,0.6532170773
ETTh1,107,33,0.3673319519,0.336374620191,validation,0.8391770124,1.2483307123,0.6349121332,0.5663080215,0.6403834820
ETTh1,107,34,0.4316576123,0.336374620191,validation,0.7552251816,1.0382999182,1.0330985785,0.7740850449,0.5889388323
ETTh1,107,35,0.4124505222,0.336374620191,validation,0.9405748844,0.7374016047,0.8121801615,0.7671115398,0.5608241558
ETTh1,107,36,0.3479436934,0.336374620191,validation,0.7738435268,1.3218581676,1.1193504333,0.8246718645,0.6361677647
ETTh1,107,37,0.3738551736,0.336374620191,validation,0.9544874430,1.0305522680,1.0102657080,0.2744596004,0.5903952122
ETTh1,107,38,0.3801971078,0.336374620191,validation,0.8845124245,1.1211748123,0.9854317904,0.7721003294,0.9262300730
ETTh1,107,39,0.5282366872,0.336374620191,validation,0.7449440956,0.6517884731,0.7606698275,0.7686942816,0.8022075891
ETTh1,107,40,0.4253156781,0.336374620191,validation,0.8128511906,0.8621536493,0.4915968180,0.2026959658,-0.0197275281
ETTh1,107,41,-0.1349516958,0.336374620191,validation,-0.2388035953,0.2113418579,0.1082204580,-0.3271493614,-0.1873925030
ETTh1,107,42,-0.8818540573,0.336374620191,validation,-0.1286402643,0.1757576466,-0.4085263014,-0.7377885580,-0.6302809715
ETTh1,107,43,-1.5256541967,0.336374620191,validation,-1.0882211924,-1.5472742319,-1.2776131630,-1.0515440702,-1.1018788815
ETTh1,107,44,-1.3004237413,0.336374620191,validation,-1.6313440800,-1.8834508657,-1.9633443356,-1.4870324135,-1.5238659382
ETTh1,107,45,-1.7575889826,0.336374620191,validation,-1.8938441277,-1.6495341063,-2.1436743736,-2.3141016960,-2.1799614429
ETTh1,107,46,-2.0473260880,0.336374620191,validation,-1.6489495039,-2.1169381142,-1.9540408850,-2.3040096760,-2.1589045525
ETTh1,107,47,-2.1116518974,0.336374620191,validation,-1.6413003206,-1.5367453098,-1.9826151133,-1.9985464811,-2.4130988121
ETTh1,107,48,-2.1310400963,0.336374620191,validation,-1.4138746262,-1.4018462896,-1.4428277016,-1.5616812706,-1.6513599157
ETTh1,107,49,-2.6782612801,0.336374620191,validation,-1.3510026932,-1.3505396843,-1.5538393259,-1.4647221565,-1.7636411190
ETTh1,107,50,-1.2101867199,0.336374620191,validation,-0.9753079414,-1.1728556156,-1.2052242756,-1.0441545248,-1.0950952768
ETTh1,107,51,-0.7144261599,0.336374620191,validation,-0.3795295358,-0.0815906525,-0.1719250083,-0.5843451619,-0.8088736534
ETTh1,107,52,-0.5984588265,0.336374620191,validation,-0.6089021564,-0.0893819630,-0.2396290600,-0.2800914347,-0.3603129983
ETTh1,107,53,-0.0447145589,0.336374620191,validation,0.4460966587,0.5660755634,0.1765339375,0.2702286243,-0.1228523850
ETTh1,107,54,0.1805158257,0.336374620191,validation,0.1848952770,0.1790281534,0.1743828654,0.0401607156,0.2411350608
ETTh1,107,55,0.5670132637,0.336374620191,validation,0.5342255831,0.3872709274,0.2834100723,0.5683355331,0.4268381596
ETTh1,107,56,0.5153715611,0.336374620191,validation,0.5019353628,-0.1516741216,0.5716882944,0.3194853067,0.3276069164
ETTh1,107,57,0.5733553767,0.336374620191,validation,1.0658475161,1.0160750151,1.0947285891,0.5038647652,0.4297491312
ETTh1,107,58,0.5153715611,0.336374620191,validation,1.1800608635,0.6187380552,1.2019135952,0.4371666908,0.4954161644
ETTh1,107,59,0.6184738278,0.336374620191,validation,0.6980894804,0.7316727638,0.5483393669,0.5569795370,0.3570929170
ETTh1,107,60,0.7150529027,0.336374620191,validation,0.8081889153,0.5156303644,0.8787097931,0.9141230583,0.9211217165
ETTh1,107,61,0.6442041397,0.336374620191,validation,0.7109559774,0.9911341667,0.8868248463,1.2814601660,0.9222474098
ETTh1,107,62,0.4896413386,0.336374620191,validation,0.9438364506,0.8476502895,0.8884826899,0.2498502731,0.5952022076
ETTh1,107,63,0.7987668514,0.336374620191,validation,0.6029465199,0.7504580021,0.3601326942,0.8061177731,0.8912428617
ETTh1,107,64,0.4059274197,0.336374620191,validation,0.4675345421,0.3648089170,0.5288488865,0.4717186689,0.1933384538
ETTh1,107,65,-0.1864122003,0.336374620191,validation,-0.0165390968,0.0003048778,0.1079429388,-0.1688171029,-0.3839776218
ETTh1,107,66,-1.1264727116,0.336374620191,validation,-1.2184216976,-1.3322649002,-0.9732536077,-0.7153021097,-0.5982033014
ETTh1,107,67,-2.3756587505,0.336374620191,validation,-0.9745922089,-1.6054474115,-0.9857978821,-1.3032288551,-1.4234490395
ETTh1,107,68,-2.3048100471,0.336374620191,validation,-1.5353584290,-1.2928760052,-1.3447973728,-1.2339667082,-1.4705570936
ETTh1,107,69,-2.3241982460,0.336374620191,validation,-2.4008750916,-2.5457239151,-2.7498524189,-2.3523354530,-1.8630815744
ETTh1,107,70,-2.8005704880,0.336374620191,validation,-2.4233274460,-2.2933292389,-2.2287509441,-2.2334487438,-2.0291028023
ETTh1,107,71,-2.5688169003,0.336374620191,validation,-2.0915682316,-2.0071005821,-2.3409638405,-1.5311007500,-1.6930308342
ETTh1,107,72,-2.4851031303,0.336374620191,validation,-1.4302871227,-1.4590766430,-1.4138731956,-1.5309228897,-1.3391437531
ETTh1,107,73,-2.3562705517,0.336374620191,validation,-0.8458642960,-0.9517481327,-1.0128293037,-1.3420920372,-1.4067189693
ETTh1,107,74,-1.3004237413,0.336374620191,validation,-0.9574052691,-0.9393994212,-0.8698036075,-1.1887726784,-0.9421796799
ETTh1,107,75,-0.8303935528,0.336374620191,validation,-0.1416908801,-0.1075466871,0.1203638315,-0.0731642246,-0.4169035554
ETTh1,107,76,-0.5147448182,0.336374620191,validation,-0.3384118974,-0.2572431266,-0.3194630742,-0.1883855760,-0.1294447780
ETTh1,107,77,-0.0318494961,0.336374620191,validation,0.5271332264,0.7119808197,0.9337935448,0.4679151773,0.1346204877
ETTh1,107,78,0.2256343216,0.336374620191,validation,0.1597096920,0.1294202209,0.1372626424,0.0072095394,-0.1299545765
ETTh1,107,79,0.1676506847,0.336374620191,validation,-0.3966722488,-0.2364519536,-0.2084996700,-0.1334545016,-0.0386772156
ETTh1,107,80,0.0839367509,0.336374620191,validation,0.0364910960,0.0286434293,0.5774654150,0.6773812771,0.7601273060
ETTh1,107,81,0.2192923725,0.336374620191,validation,0.4724533558,0.4115666151,0.6531753540,0.5823502541,0.7249952555
ETTh1,107,82,0.3350785375,0.336374620191,validation,1.0888891220,1.1299816370,0.9077100754,0.6617919207,0.7489713430
ETTh1,107,83,0.2256343216,0.336374620191,validation,-0.0002621412,0.2559581995,0.4491169453,0.5264449120,0.6650166512
ETTh1,107,84,0.1547855288,0.336374620191,validation,0.2239428759,-0.1225145757,0.3674083352,0.1382552385,0.3620957136
ETTh1,107,85,0.1355784535,0.336374620191,validation,0.6680964231,0.2814187407,0.7876025438,0.8930321932,0.5621560812
ETTh1,107,86,0.0324761607,0.336374620191,validation,0.5926944017,0.9390778542,0.9680346251,0.6911404133,0.3596042395
ETTh1,107,87,0.1999040991,0.336374620191,validation,0.1522767544,0.1294746995,-0.0407346487,0.2503771782,0.1435698867
ETTh1,107,88,0.5153715611,0.336374620191,validation,0.5999288559,0.3337417245,0.2944333553,-0.1676465273,-0.3139277399
ETTh1,107,89,0.1676506847,0.336374620191,validation,-0.1012925506,-0.4224520922,-0.1506862044,0.4475723505,0.2331382036
ETTh1,107,90,-0.2572610378,0.336374620191,validation,-0.6474604011,-0.6815215349,-0.8648375273,-0.9012674093,-0.6439174414
ETTh1,107,91,-0.3924355209,0.336374620191,validation,-0.8955376148,-1.2984104156,-1.0814714432,-1.1176278591,-0.9364001751
ETTh1,107,92,-0.3924355209,0.336374620191,validation,-1.8836334944,-1.9770644903,-1.8394623995,-2.0535106659,-1.5307033062
ETTh1,107,93,-0.4955377579,0.336374620191,validation,-1.7997906208,-1.8411604166,-2.1350324154,-1.9046505690,-1.5592395067
ETTh1,107,94,0.0261342227,0.336374620191,validation,-2.6624691486,-2.5717127323,-2.5951840878,-2.0856018066,-1.8825281858
ETTh1,107,95,0.0775947273,0.336374620191,validation,-1.7990531921,-1.8894209862,-2.0935688019,-2.0166573524,-2.0657901764
ETTh1,107,96,-0.8881960511,0.336374620191,validation,-1.9232614040,-2.0468521118,-1.7888882160,-1.7303477526,-1.8065789938
ETTh1,107,97,-0.7724098563,0.336374620191,validation,-1.4641135931,-1.6443976164,-1.6970854998,-1.2429277897,-1.5645862818
ETTh1,107,98,-0.5727285147,0.336374620191,validation,-1.0379732847,-1.1399254799,-0.8712013960,-1.3895751238,-1.3685749769
ETTh1,107,99,-0.6178470850,0.336374620191,validation,-0.5448650718,-0.3926770091,-0.4137769341,-0.9402790666,-0.9528383017
ETTh1,107,100,-0.2701261640,0.336374620191,validation,0.1868077517,0.1839228868,0.2026468515,0.0623981953,0.1409282088
ETTh1,107,101,-0.1929354221,0.336374620191,validation,-0.0145924687,0.0312601924,-0.1591392756,0.0909196138,0.0855399370
ETTh1,107,102,-0.1992773563,0.336374620191,validation,0.0084401965,-0.2243217826,-0.4093647301,0.0002548695,0.2274076343
ETTh1,107,103,-0.2507378757,0.336374620191,validation,0.3254778981,0.3064073920,0.2656812668,0.2603665590,0.4078894258
ETTh1,107,104,-0.1929354221,0.336374620191,validation,0.5470987558,0.2676787972,0.6818257570,0.4398671389,0.3270682096
ETTh1,107,105,0.1419203877,0.336374620191,validation,0.5878361464,0.6680350304,0.4380537271,0.6229095459,0.8488135338
ETTh1,107,106,0.3030062914,0.336374620191,validation,0.5333813429,0.3731309175,0.7141366005,0.5282427073,0.6644777060
ETTh1,107,107,0.4510459006,0.336374620191,validation,0.6534525156,0.8152244091,0.6304334402,0.8265326023,0.3911619186
