model,dataset,prefix_horizon,max_horizon,seed,n_aligned,fixed_mse,fixed_mae,max_prefix_mse,max_prefix_mae,max_minus_fixed_mse,max_minus_fixed_mae,relative_mse_change,relative_mae_change,fixed_vs_max_pred_mse,fixed_vs_max_pred_mae,truth_alignment_mse
PatchEncoderFixedHead,ETTh2,96,720,2021,2161,0.2594051659107208,0.3316665291786194,0.2543378472328186,0.3262273371219635,-0.005067318677902222,-0.005439192056655884,-0.01953437843117679,-0.01639958083839868,0.019679659977555275,0.09171658754348755,0.0
PatchEncoderFixedHead,ETTh2,192,720,2021,2161,0.3039677143096924,0.3625302314758301,0.29775410890579224,0.35817569494247437,-0.0062136054039001465,-0.004354536533355713,-0.020441662424613687,-0.012011512848538896,0.016568757593631744,0.07949572801589966,0.0
PatchEncoderFixedHead,ETTh2,336,720,2021,2161,0.3267299234867096,0.3890772759914398,0.3223787248134613,0.3821985721588135,-0.004351198673248291,-0.006878703832626343,-0.013317417109563535,-0.017679531180787033,0.024159274995326996,0.09665162116289139,0.0
PatchEncoderFixedHead,ETTh2,720,720,2021,2161,0.4074031412601471,0.4438471794128418,0.4074031412601471,0.4438471794128418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderFixedHead,ETTm1,96,720,2021,10801,0.2789854407310486,0.3428983986377716,0.29211053252220154,0.35281580686569214,0.013125091791152954,0.009917408227920532,0.04704579477968525,0.028922293796994392,0.03844686597585678,0.12524400651454926,0.0
PatchEncoderFixedHead,ETTm1,192,720,2021,10801,0.32511863112449646,0.3716948628425598,0.3252318203449249,0.3729446828365326,0.0001131892204284668,0.0012498199939727783,0.0003481474440175152,0.0033624892860092317,0.04474210739135742,0.12906694412231445,0.0
PatchEncoderFixedHead,ETTm1,336,720,2021,10801,0.3585997223854065,0.3911007344722748,0.3618141710758209,0.3932553827762604,0.0032144486904144287,0.0021546483039855957,0.008963890627220528,0.005509190124362549,0.009066241793334484,0.05991987884044647,0.0
PatchEncoderFixedHead,ETTm1,720,720,2021,10801,0.412788063287735,0.42070141434669495,0.412788063287735,0.42070141434669495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderFixedHead,Weather,96,720,2021,9820,0.14665089547634125,0.19563829898834229,0.15367551147937775,0.20635920763015747,0.007024616003036499,0.010720908641815186,0.047900259866942026,0.05479964146720589,0.013326965272426605,0.07258538156747818,0.0
PatchEncoderFixedHead,Weather,192,720,2021,9820,0.1928607076406479,0.24213193356990814,0.19544166326522827,0.2459518164396286,0.0025809556245803833,0.003819882869720459,0.013382485505494503,0.01577603917583876,0.013206773437559605,0.07203598320484161,0.0
PatchEncoderFixedHead,Weather,336,720,2021,9820,0.2481522262096405,0.28726640343666077,0.24744020402431488,0.2844696044921875,-0.0007120221853256226,-0.0027967989444732666,-0.002869295980943979,-0.009735906848187805,0.01352004799991846,0.07064815610647202,0.0
PatchEncoderFixedHead,Weather,720,720,2021,9820,0.32312721014022827,0.33546921610832214,0.32312721014022827,0.33546921610832214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
