segment_a,segment_b,cosine
0,1,0.9903406500816345
0,2,0.9662585258483887
0,3,0.9308709502220154
0,4,0.8973026871681213
0,5,0.860824704170227
0,6,0.8330281972885132
0,7,0.8171969652175903
0,8,0.8009437322616577
0,9,0.7993563413619995
0,10,0.8131431341171265
0,11,0.8233430981636047
0,12,0.8489706516265869
0,13,0.858601987361908
0,14,0.8650649785995483
1,2,0.9919208288192749
1,3,0.9704921245574951
1,4,0.9461296796798706
1,5,0.9174623489379883
1,6,0.8941841125488281
1,7,0.8797225952148438
1,8,0.8647184371948242
1,9,0.8618535399436951
1,10,0.872954249382019
1,11,0.880254328250885
1,12,0.9015424847602844
1,13,0.90994793176651
1,14,0.9163821935653687
2,3,0.9926838278770447
2,4,0.9782581925392151
2,5,0.9581242799758911
2,6,0.9399951100349426
2,7,0.9275228977203369
2,8,0.9140383005142212
2,9,0.9100639224052429
2,10,0.9181236624717712
2,11,0.9225125908851624
2,12,0.9387431144714355
2,13,0.9455243945121765
2,14,0.951426088809967
3,4,0.9956120252609253
3,5,0.9846315383911133
3,6,0.9723354578018188
3,7,0.9625082015991211
3,8,0.9512813687324524
3,9,0.9464492797851562
3,10,0.9511886835098267
3,11,0.9527692794799805
3,12,0.963240385055542
3,13,0.9680368304252625
3,14,0.9727446436882019
4,5,0.9961845278739929
4,6,0.9889642000198364
4,7,0.9818492531776428
4,8,0.9730984568595886
4,9,0.9683111906051636
4,10,0.9705496430397034
4,11,0.9704594016075134
4,12,0.9765578508377075
4,13,0.979472815990448
4,14,0.9830443263053894
5,6,0.9975855350494385
5,7,0.993472695350647
5,8,0.9871995449066162
5,9,0.9827502965927124
5,10,0.982801616191864
5,11,0.9808580875396729
5,12,0.9825522899627686
5,13,0.9835782051086426
5,14,0.985770583152771
6,7,0.9985566139221191
6,8,0.995088517665863
6,9,0.9915496706962585
6,10,0.9903380274772644
6,11,0.9875975251197815
6,12,0.9860432147979736
6,13,0.9853891730308533
6,14,0.9857265949249268
7,8,0.9984174370765686
7,9,0.9961134195327759
7,10,0.9944271445274353
7,11,0.9913969039916992
7,12,0.9880977869033813
7,13,0.9861520528793335
7,14,0.985018789768219
8,9,0.9989539384841919
8,10,0.9972606897354126
8,11,0.9945459365844727
8,12,0.9894675612449646
8,13,0.9865473508834839
8,14,0.9837594628334045
9,10,0.9989768862724304
9,11,0.9970996379852295
9,12,0.9922016263008118
9,13,0.9888458847999573
9,14,0.9851674437522888
10,11,0.9989814758300781
10,12,0.9959477782249451
10,13,0.9932913184165955
10,14,0.9898437261581421
11,12,0.9979727268218994
11,13,0.9957808256149292
11,14,0.9923912882804871
12,13,0.9990231990814209
12,14,0.9969671964645386
13,14,0.9989362955093384
