dataset,horizon,fixed_mse,adapter_mse,delta_mse,relative_mse_change,fixed_mae,adapter_mae,delta_mae,relative_mae_change,fixed_epochs,adapter_epochs,fixed_parameter_count,adapter_parameter_count,parameter_ratio,adapter_passes_mse
ETTh2,96,0.3074484169483185,0.30123046040534973,-0.00621795654296875,-0.020224389524223757,0.36609065532684326,0.36003977060317993,-0.00605088472366333,-0.016528377973103796,13,12,921184,1066816,1.1580921943933025,True
ETTh2,192,0.37734004855155945,0.3914529085159302,0.014112859964370728,0.03740090673795087,0.4069473147392273,0.4186992049217224,0.011751890182495117,0.02887816126769568,12,14,1437376,1583264,1.101496059486175,False
ETTh2,336,0.3841150403022766,0.3844643831253052,0.00034934282302856445,0.000909474470860739,0.4212876260280609,0.4182983636856079,-0.002989262342453003,-0.0070955379597450975,13,11,2211664,2357936,1.06613662834861,False
ETTh2,720,0.4074031412601471,0.40226325392723083,-0.00513988733291626,-0.01261621920002376,0.4438471794128418,0.4394509792327881,-0.004396200180053711,-0.009904760881593012,11,11,4276432,4423728,1.0344436670570232,True
ETTm1,96,0.29047533869743347,0.2897811233997345,-0.0006942152976989746,-0.0023899285247829145,0.3442326486110687,0.3464817702770233,0.00224912166595459,0.006533725592355884,14,15,921184,1066816,1.1580921943933025,True
ETTm1,192,0.3377011716365814,0.3337422311306,-0.003958940505981445,-0.011723206309280669,0.3733891248703003,0.37124085426330566,-0.002148270606994629,-0.005753436465887559,14,11,1437376,1583264,1.101496059486175,True
ETTm1,336,0.361540287733078,0.36799493432044983,0.006454646587371826,0.017853187615254746,0.3907651901245117,0.39499378204345703,0.0042285919189453125,0.010821311687455919,11,12,2211664,2357936,1.06613662834861,False
ETTm1,720,0.412788063287735,0.4106070399284363,-0.002181023359298706,-0.005283639604128809,0.42070141434669495,0.42123308777809143,0.0005316734313964844,0.001263778568993207,11,11,4276432,4423728,1.0344436670570232,True
Weather,96,0.14708691835403442,0.1495135873556137,0.0024266690015792847,0.016498197315809926,0.1950538456439972,0.20226888358592987,0.007215037941932678,0.036989980474936214,16,12,921184,1066816,1.1580921943933025,False
Weather,192,0.19520847499370575,0.19495533406734467,-0.000253140926361084,-0.0012967722142660364,0.24188493192195892,0.24255649745464325,0.0006715655326843262,0.002776384321868376,15,15,1437376,1583264,1.101496059486175,True
Weather,336,0.25078684091567993,0.24921225011348724,-0.001574590802192688,-0.006278602164465639,0.28711846470832825,0.28483790159225464,-0.0022805631160736084,-0.007942934350775168,16,14,2211664,2357936,1.06613662834861,True
Weather,720,0.32312721014022827,0.32664790749549866,0.0035206973552703857,0.010895700655300742,0.33546921610832214,0.34054994583129883,0.005080729722976685,0.015145144409721726,12,12,4276432,4423728,1.0344436670570232,False
