dataset,horizon,delta_mse_to_base,delta_mae_to_base,mean_abs_gamma,mean_abs_beta,delta_to_base_mae_ratio
ETTh2,96,0.04286876320838928,0.1406230926513672,0.3545561134815216,0.058646656572818756,0.10703415423631668
ETTh2,192,0.037985410541296005,0.13508741557598114,0.41886186599731445,0.056592218577861786,0.1020757406949997
ETTh2,336,0.03899313509464264,0.1407291144132614,0.46177488565444946,0.04894411191344261,0.10627826303243637
ETTh2,720,0.05162082612514496,0.16131292283535004,0.5218024253845215,0.06601585447788239,0.11923082917928696
ETTm1,96,0.46889686584472656,0.41924846172332764,0.4995739161968231,0.014383773319423199,0.39743202924728394
ETTm1,192,0.7043769359588623,0.534253716468811,0.5706034302711487,0.022032588720321655,0.4722301959991455
ETTm1,336,0.47519785165786743,0.43216559290885925,0.5294046401977539,0.01799919269979,0.42043671011924744
ETTm1,720,0.5335367321968079,0.46763208508491516,0.5790985822677612,0.03521205112338066,0.45308011770248413
Weather,96,0.15921317040920258,0.22923867404460907,0.5386804342269897,0.0156392902135849,0.3221382796764374
Weather,192,0.10016634315252304,0.1940613090991974,0.55169677734375,0.010389741510152817,0.29509237408638
Weather,336,0.2596433758735657,0.3207232356071472,0.6884551644325256,0.0317717008292675,0.44451287388801575
Weather,720,0.13255617022514343,0.22428320348262787,0.620819628238678,0.01205851323902607,0.3521823287010193
