horizon,mse,mae
1,0.06289368867874146,0.16413338482379913
2,0.07973384112119675,0.1859765201807022
3,0.09814028441905975,0.20604005455970764
4,0.11529141664505005,0.22342459857463837
5,0.1305496096611023,0.23747575283050537
6,0.1448819637298584,0.24887076020240784
7,0.16102352738380432,0.2622373104095459
8,0.1786491870880127,0.2753315269947052
9,0.19081254303455353,0.28481388092041016
10,0.20406800508499146,0.2949172556400299
11,0.21885773539543152,0.3051162362098694
12,0.22825787961483002,0.3108266592025757
13,0.2371225655078888,0.3164842426776886
14,0.2514325976371765,0.32559797167778015
15,0.2593975067138672,0.33094897866249084
16,0.26778995990753174,0.3367999792098999
17,0.276303768157959,0.34141433238983154
18,0.2839243710041046,0.34564319252967834
19,0.2945270240306854,0.3506696820259094
20,0.29920893907546997,0.3552575707435608
21,0.30330783128738403,0.35661906003952026
22,0.30730611085891724,0.3592261075973511
23,0.31407544016838074,0.3641100823879242
24,0.3171190917491913,0.3659958243370056
25,0.3153552711009979,0.3639150559902191
26,0.31988105177879333,0.3670279085636139
27,0.32198426127433777,0.36792629957199097
28,0.3246487081050873,0.37086525559425354
29,0.32673919200897217,0.3703959286212921
30,0.3287575840950012,0.37199029326438904
31,0.3307093679904938,0.37268492579460144
32,0.3278193175792694,0.37231454253196716
33,0.3288768529891968,0.3733765482902527
34,0.33239030838012695,0.37540316581726074
35,0.332381010055542,0.3752077519893646
36,0.3332335650920868,0.37516385316848755
37,0.3321671187877655,0.37576717138290405
38,0.33469828963279724,0.3771267831325531
39,0.3361469805240631,0.37821558117866516
40,0.3341243267059326,0.3766690790653229
41,0.3346554636955261,0.37764909863471985
42,0.3365395963191986,0.37786611914634705
43,0.33413931727409363,0.377327024936676
44,0.33832624554634094,0.37932318449020386
45,0.33746781945228577,0.37888291478157043
46,0.33569610118865967,0.37776681780815125
47,0.3356647789478302,0.3780007064342499
48,0.3346374034881592,0.3771460950374603
49,0.33188530802726746,0.3772324323654175
50,0.3311275839805603,0.3768478333950043
51,0.32948076725006104,0.3742055892944336
52,0.331960529088974,0.3757079243659973
53,0.3323379456996918,0.3754858672618866
54,0.33031752705574036,0.3751508891582489
55,0.33113986253738403,0.3749498724937439
56,0.3334677815437317,0.37726178765296936
57,0.32834571599960327,0.3743080198764801
58,0.3312968313694,0.3750985264778137
59,0.33049261569976807,0.37474602460861206
60,0.3298734128475189,0.37555861473083496
61,0.32847315073013306,0.3736496567726135
62,0.32767367362976074,0.37347057461738586
63,0.3283127546310425,0.3745189607143402
64,0.32912927865982056,0.37485188245773315
65,0.3291546702384949,0.3741420805454254
66,0.3285589814186096,0.37401914596557617
67,0.32938677072525024,0.3744378983974457
68,0.3291464149951935,0.3733246624469757
69,0.32857465744018555,0.37359681725502014
70,0.3290736973285675,0.37445923686027527
71,0.32611823081970215,0.37262457609176636
72,0.32758647203445435,0.37406930327415466
73,0.32608556747436523,0.3728080689907074
74,0.32497817277908325,0.3715347349643707
75,0.32527586817741394,0.37210673093795776
76,0.32520851492881775,0.37210333347320557
77,0.32461023330688477,0.3715508282184601
78,0.32332009077072144,0.37146639823913574
79,0.3220611810684204,0.3702844977378845
80,0.32056209444999695,0.3693716824054718
81,0.32067686319351196,0.3694940507411957
82,0.31941476464271545,0.3690374195575714
83,0.32082056999206543,0.3705350160598755
84,0.3193958103656769,0.369857519865036
85,0.32043522596359253,0.3702053427696228
86,0.32070261240005493,0.36924901604652405
87,0.31852009892463684,0.3685784339904785
88,0.3180072605609894,0.36801666021347046
89,0.3183310329914093,0.3689727783203125
90,0.3162880837917328,0.3678086996078491
91,0.3169437646865845,0.3682369291782379
92,0.317168653011322,0.3683629035949707
93,0.31771475076675415,0.3689683973789215
94,0.3190949559211731,0.3702092170715332
95,0.31920158863067627,0.3690086603164673
96,0.32157009840011597,0.3716113567352295
97,0.32518908381462097,0.37409666180610657
98,0.3275343179702759,0.3756669759750366
99,0.33202412724494934,0.37758833169937134
100,0.3352505564689636,0.3793041706085205
101,0.3403300642967224,0.3818870186805725
102,0.3432360887527466,0.3836234509944916
103,0.34676095843315125,0.385308176279068
104,0.3495948612689972,0.38627657294273376
105,0.3511081039905548,0.3875279426574707
106,0.3560492992401123,0.3901527225971222
107,0.360355943441391,0.3927444517612457
108,0.3623717725276947,0.3934879004955292
109,0.36670640110969543,0.3941954970359802
110,0.36546391248703003,0.3946648836135864
111,0.36824849247932434,0.3957461416721344
112,0.37139812111854553,0.3977266252040863
113,0.3717433512210846,0.39848071336746216
114,0.3754429221153259,0.398992657661438
115,0.37458086013793945,0.3985181450843811
116,0.376990407705307,0.3994767963886261
117,0.37886813282966614,0.4002755582332611
118,0.38004520535469055,0.4002954959869385
119,0.38040441274642944,0.40068888664245605
120,0.38297924399375916,0.4027450680732727
121,0.38234829902648926,0.40138980746269226
122,0.383149653673172,0.40354135632514954
123,0.3842372000217438,0.4033080041408539
124,0.3862808346748352,0.40405309200286865
125,0.38618984818458557,0.4045547544956207
126,0.3873838484287262,0.4051568806171417
127,0.38795727491378784,0.4056861698627472
128,0.38686200976371765,0.40509095788002014
129,0.3862159252166748,0.4042850434780121
130,0.3866969347000122,0.4041532874107361
131,0.387429416179657,0.4053724408149719
132,0.3867051899433136,0.40474212169647217
133,0.3909470736980438,0.40606534481048584
134,0.3892787992954254,0.40539270639419556
135,0.39034706354141235,0.4053546190261841
136,0.38686811923980713,0.40428662300109863
137,0.3869364857673645,0.40467947721481323
138,0.39007291197776794,0.40601685643196106
139,0.387588769197464,0.40498214960098267
140,0.3862707018852234,0.40339311957359314
141,0.38688433170318604,0.40446576476097107
142,0.38614794611930847,0.403531938791275
143,0.3858632743358612,0.40321722626686096
144,0.387038916349411,0.4041629135608673
145,0.3795137107372284,0.4012017846107483
146,0.37876275181770325,0.4013212323188782
147,0.3773072361946106,0.39984646439552307
148,0.3791526257991791,0.40079060196876526
149,0.37623026967048645,0.39948341250419617
150,0.374288946390152,0.39845010638237
151,0.3741486072540283,0.3978399932384491
152,0.3758835196495056,0.39880940318107605
153,0.3740469515323639,0.397918164730072
154,0.37365904450416565,0.39824730157852173
155,0.3756175935268402,0.398639976978302
156,0.3751877546310425,0.39830559492111206
157,0.37715259194374084,0.39909905195236206
158,0.3772965967655182,0.39965909719467163
159,0.3747674822807312,0.3985537588596344
160,0.37557780742645264,0.3986049294471741
161,0.37340056896209717,0.39810967445373535
162,0.37212568521499634,0.39775681495666504
163,0.3730899393558502,0.3973001539707184
164,0.372171550989151,0.39743077754974365
165,0.3743506968021393,0.3973293602466583
166,0.37350526452064514,0.3977819085121155
167,0.3730052709579468,0.3981044590473175
168,0.3706439435482025,0.39737579226493835
169,0.371184766292572,0.3960939347743988
170,0.37095433473587036,0.39706218242645264
171,0.37221387028694153,0.39758798480033875
172,0.3716150224208832,0.39683741331100464
173,0.3726937472820282,0.3976215422153473
174,0.37111896276474,0.39625105261802673
175,0.3694154918193817,0.39682766795158386
176,0.36940380930900574,0.39553409814834595
177,0.3672063946723938,0.3947913348674774
178,0.3682003319263458,0.39490556716918945
179,0.3663434386253357,0.39409205317497253
180,0.36361396312713623,0.3921155631542206
181,0.36508235335350037,0.39341920614242554
182,0.3653826117515564,0.3939000368118286
183,0.3622715175151825,0.39224928617477417
184,0.3631230294704437,0.39242035150527954
185,0.3630969524383545,0.39312317967414856
186,0.36084556579589844,0.3918749988079071
187,0.36212703585624695,0.39221203327178955
188,0.3625124394893646,0.3927319347858429
189,0.3643348813056946,0.3930582106113434
190,0.3638385832309723,0.39337077736854553
191,0.36397531628608704,0.39267948269844055
192,0.3665490746498108,0.39411461353302
193,0.3645172417163849,0.39329755306243896
194,0.3661563992500305,0.39494889974594116
195,0.3711806535720825,0.397747665643692
196,0.37380966544151306,0.4006609320640564
197,0.37878426909446716,0.4022875428199768
198,0.3805578649044037,0.40403440594673157
199,0.3830924928188324,0.40577733516693115
200,0.3876288831233978,0.40808942914009094
201,0.3863300085067749,0.4079798460006714
202,0.3901419937610626,0.41000279784202576
203,0.39261484146118164,0.4119598865509033
204,0.3910275399684906,0.41120967268943787
205,0.39472609758377075,0.41311609745025635
206,0.3942493498325348,0.41283124685287476
207,0.39756038784980774,0.4142839014530182
208,0.4022667109966278,0.41710948944091797
209,0.4015357792377472,0.4167512059211731
210,0.40150827169418335,0.4162210524082184
211,0.4042547643184662,0.41739556193351746
212,0.4059537947177887,0.41890087723731995
213,0.4062414765357971,0.4185822010040283
214,0.40732717514038086,0.41898083686828613
215,0.4080573320388794,0.41949203610420227
216,0.40835845470428467,0.41941142082214355
217,0.40919652581214905,0.41972142457962036
218,0.4108279347419739,0.4213988780975342
219,0.41132476925849915,0.42174333333969116
220,0.4110936224460602,0.42088696360588074
221,0.413465291261673,0.42280083894729614
222,0.41338467597961426,0.4227176606655121
223,0.4149530529975891,0.42272600531578064
224,0.41260695457458496,0.42190662026405334
225,0.41398611664772034,0.4216596782207489
226,0.41861557960510254,0.42546263337135315
227,0.418215274810791,0.4250333309173584
228,0.41768771409988403,0.4248957335948944
229,0.4188181161880493,0.4248878061771393
230,0.4191693365573883,0.42514973878860474
231,0.42047345638275146,0.42591068148612976
232,0.4196864664554596,0.4251161515712738
233,0.41784700751304626,0.4246087372303009
234,0.41873976588249207,0.42468518018722534
235,0.41961637139320374,0.42454245686531067
236,0.4205161929130554,0.4260946810245514
237,0.4197762608528137,0.4258485436439514
238,0.4182065725326538,0.42417165637016296
239,0.4188461899757385,0.424568235874176
240,0.41947272419929504,0.42503538727760315
241,0.41521990299224854,0.4225742816925049
242,0.41649678349494934,0.4228516221046448
243,0.4155898690223694,0.4230611324310303
244,0.4161801040172577,0.42252597212791443
245,0.4148857295513153,0.4217653274536133
246,0.41294652223587036,0.4210478365421295
247,0.4150705933570862,0.4217457175254822
248,0.41384029388427734,0.42183613777160645
249,0.41437458992004395,0.42179208993911743
250,0.411813884973526,0.42088669538497925
251,0.41227754950523376,0.4204554855823517
252,0.41045916080474854,0.4196087718009949
253,0.41078123450279236,0.4198693633079529
254,0.4114048182964325,0.42027798295021057
255,0.4122339189052582,0.42020153999328613
256,0.41160520911216736,0.4203959107398987
257,0.4102315902709961,0.4202233552932739
258,0.41096776723861694,0.42069101333618164
259,0.41080600023269653,0.4202975928783417
260,0.40916481614112854,0.4187118411064148
261,0.40874403715133667,0.41884565353393555
262,0.4069627821445465,0.41814422607421875
263,0.4067453444004059,0.4185975193977356
264,0.4074568748474121,0.4179070293903351
265,0.40625813603401184,0.4167605936527252
266,0.40870046615600586,0.41898083686828613
267,0.4074317514896393,0.4188394546508789
268,0.4073103666305542,0.4186461865901947
269,0.4062194526195526,0.418494313955307
270,0.4059222340583801,0.4184612035751343
271,0.4013189375400543,0.4152211844921112
272,0.40404579043388367,0.41738414764404297
273,0.4021703600883484,0.416349858045578
274,0.4027324914932251,0.4165736734867096
275,0.39981377124786377,0.4150955379009247
276,0.3991750478744507,0.41464686393737793
277,0.3989034593105316,0.41501256823539734
278,0.39855390787124634,0.4149031639099121
279,0.3978331983089447,0.41395390033721924
280,0.3973717987537384,0.41507428884506226
281,0.39829424023628235,0.41518041491508484
282,0.39509233832359314,0.41266492009162903
283,0.3959820866584778,0.41434189677238464
284,0.39357709884643555,0.41286060214042664
285,0.3953542411327362,0.41319137811660767
286,0.39659199118614197,0.41426077485084534
287,0.39733773469924927,0.4154171645641327
288,0.39788007736206055,0.4156177043914795
289,0.3944714665412903,0.41309571266174316
290,0.39492735266685486,0.41275906562805176
291,0.3985779583454132,0.4154023230075836
292,0.40108364820480347,0.4172016382217407
293,0.40154120326042175,0.41745495796203613
294,0.40545010566711426,0.419709712266922
295,0.40502458810806274,0.4199441373348236
296,0.41050490736961365,0.4223751127719879
297,0.4112139344215393,0.42228060960769653
298,0.4138031601905823,0.4243261218070984
299,0.4135206341743469,0.4238240718841553
300,0.4142560362815857,0.4238448143005371
301,0.4157654643058777,0.42420539259910583
302,0.41878262162208557,0.42630091309547424
303,0.4199937582015991,0.4257795512676239
304,0.4220750629901886,0.42759206891059875
305,0.42097771167755127,0.42679738998413086
306,0.4225432872772217,0.4271300137042999
307,0.42228880524635315,0.4267366826534271
308,0.42506057024002075,0.4285892844200134
309,0.42347651720046997,0.4269596338272095
310,0.4241434633731842,0.42732036113739014
311,0.42669734358787537,0.42823565006256104
312,0.4244963824748993,0.4270026981830597
313,0.42410269379615784,0.4270378053188324
314,0.4254831075668335,0.42752504348754883
315,0.4269973933696747,0.4284498989582062
316,0.4265446960926056,0.4281889498233795
317,0.4301842749118805,0.42998141050338745
318,0.42919251322746277,0.42976129055023193
319,0.4291931688785553,0.42950618267059326
320,0.4316173493862152,0.430785596370697
321,0.4284811317920685,0.42919087409973145
322,0.43238911032676697,0.4309104382991791
323,0.43257027864456177,0.4315739870071411
324,0.4310493767261505,0.4304686486721039
325,0.431934118270874,0.4311774969100952
326,0.4314689636230469,0.4309060573577881
327,0.4320559501647949,0.43075892329216003
328,0.43557754158973694,0.43331190943717957
329,0.43317270278930664,0.43240687251091003
330,0.4335818886756897,0.4331539571285248
331,0.4318971037864685,0.4311888813972473
332,0.43120551109313965,0.4305140972137451
