segment_a,segment_b,cosine
0,1,0.08038520812988281
0,2,0.07954542338848114
0,3,0.0761544331908226
0,4,0.06827213615179062
0,5,0.09837191551923752
0,6,0.195034459233284
0,7,-0.06854172050952911
0,8,0.02315896935760975
0,9,0.16552789509296417
0,10,0.1131058856844902
0,11,0.012287742458283901
0,12,0.1255946159362793
0,13,-0.06856676191091537
0,14,0.12778636813163757
1,2,0.13923244178295135
1,3,-0.08143753558397293
1,4,0.024452874436974525
1,5,0.058191459625959396
1,6,0.010914948768913746
1,7,-0.03848830610513687
1,8,0.13543693721294403
1,9,0.03059072606265545
1,10,0.0031804132740944624
1,11,0.04377031698822975
1,12,0.018804723396897316
1,13,-0.07148819416761398
1,14,-0.30692651867866516
2,3,0.024739693850278854
2,4,-0.0002578994317445904
2,5,0.24330274760723114
2,6,0.023424828425049782
2,7,-0.05950268730521202
2,8,-0.03688540682196617
2,9,-0.05893947556614876
2,10,0.11987655609846115
2,11,0.004025128670036793
2,12,0.004979992751032114
2,13,0.09607750177383423
2,14,-0.07082893699407578
3,4,0.1646706759929657
3,5,0.09691208600997925
3,6,0.14337971806526184
3,7,0.08595982193946838
3,8,0.15345583856105804
3,9,0.10571791231632233
3,10,0.01442137360572815
3,11,0.051745254546403885
3,12,0.04228273406624794
3,13,0.11648736894130707
3,14,0.10319532454013824
4,5,0.03348414972424507
4,6,-0.006457585841417313
4,7,0.1569032371044159
4,8,0.13302096724510193
4,9,0.09529586881399155
4,10,0.12511973083019257
4,11,-0.01234937272965908
4,12,0.023723062127828598
4,13,-0.013523518107831478
4,14,0.07403656840324402
5,6,-0.02380130998790264
5,7,0.15929222106933594
5,8,0.06180034205317497
5,9,0.06028828024864197
5,10,0.2234669178724289
5,11,0.05275164544582367
5,12,0.05679170787334442
5,13,-0.0007098248461261392
5,14,-0.04253877326846123
6,7,0.10173696279525757
6,8,0.04505043849349022
6,9,0.10273650288581848
6,10,0.14526814222335815
6,11,0.14308030903339386
6,12,0.21953502297401428
6,13,0.15613561868667603
6,14,0.002142451237887144
7,8,0.1344328373670578
7,9,0.03889435529708862
7,10,0.06444942951202393
7,11,0.23780457675457
7,12,-0.08660104870796204
7,13,-0.07783591002225876
7,14,0.024762993678450584
8,9,0.0962057039141655
8,10,0.16262413561344147
8,11,0.20751707255840302
8,12,-0.05271923914551735
8,13,0.06218298524618149
8,14,0.009733824990689754
9,10,0.15644977986812592
9,11,0.03983196243643761
9,12,0.062123846262693405
9,13,0.01333074364811182
9,14,0.10880919545888901
10,11,0.07657589018344879
10,12,0.09466695040464401
10,13,0.2621603012084961
10,14,-0.0017323765205219388
11,12,0.019598472863435745
11,13,0.023510601371526718
11,14,0.025491682812571526
12,13,0.08680088818073273
12,14,-0.010468482971191406
13,14,0.16284960508346558
