segment_a,segment_b,cosine
0,1,-0.03273274749517441
0,2,-0.027267660945653915
0,3,-0.044703397899866104
0,4,0.024040093645453453
0,5,0.09131135791540146
0,6,0.1544782519340515
0,7,-0.07372251152992249
0,8,-0.008310426957905293
0,9,0.17520317435264587
0,10,0.1889793574810028
0,11,0.06540942192077637
0,12,0.14445242285728455
0,13,-0.060832105576992035
0,14,0.14590789377689362
1,2,0.09140755981206894
1,3,-0.1252879500389099
1,4,0.0018147812224924564
1,5,0.03049280308187008
1,6,-0.06618933379650116
1,7,-0.049445152282714844
1,8,0.121506467461586
1,9,0.04118889570236206
1,10,0.012120642699301243
1,11,0.03303562104701996
1,12,0.006979191675782204
1,13,-0.07067593932151794
1,14,-0.26611852645874023
2,3,0.03046615794301033
2,4,-0.017255093902349472
2,5,0.2335214912891388
2,6,-0.013808288611471653
2,7,-0.08640126138925552
2,8,-0.05704180523753166
2,9,-0.09061018377542496
2,10,0.10725348442792892
2,11,-0.01358703337609768
2,12,-0.030960654839873314
2,13,0.08048421144485474
2,14,-0.058529067784547806
3,4,0.1775839924812317
3,5,0.14588963985443115
3,6,0.12767833471298218
3,7,0.09350055456161499
3,8,0.16602881252765656
3,9,0.10452628135681152
3,10,0.022488093003630638
3,11,0.07275635749101639
3,12,0.045092400163412094
3,13,0.11963103711605072
3,14,0.12651857733726501
4,5,0.06141072139143944
4,6,0.013066938146948814
4,7,0.1479364037513733
4,8,0.16584773361682892
4,9,0.08908159285783768
4,10,0.12294752150774002
4,11,-0.005454943981021643
4,12,0.0020831236615777016
4,13,-0.031733930110931396
4,14,0.09538246691226959
5,6,0.025183185935020447
5,7,0.15867197513580322
5,8,0.09966308623552322
5,9,0.08497994393110275
5,10,0.22854283452033997
5,11,0.06455281376838684
5,12,0.08033876121044159
5,13,0.01845879666507244
5,14,-0.015566010028123856
6,7,0.1170780137181282
6,8,0.07538820058107376
6,9,0.12535138428211212
6,10,0.16913996636867523
6,11,0.19756484031677246
6,12,0.20647509396076202
6,13,0.14414730668067932
6,14,0.041956692934036255
7,8,0.18421758711338043
7,9,0.04514871910214424
7,10,0.07829581201076508
7,11,0.24851424992084503
7,12,-0.08133316040039062
7,13,-0.05831800028681755
7,14,0.03785180673003197
8,9,0.1404772400856018
8,10,0.19978973269462585
8,11,0.23326759040355682
8,12,-0.012023688293993473
8,13,0.09695442020893097
8,14,0.05838173255324364
9,10,0.17079947888851166
9,11,0.0726456269621849
9,12,0.09940344095230103
9,13,0.03549524024128914
9,14,0.1479720175266266
10,11,0.13041920959949493
10,12,0.15018942952156067
10,13,0.29302486777305603
10,14,0.039255864918231964
11,12,0.06982025504112244
11,13,0.07795731723308563
11,14,0.08921090513467789
12,13,0.13354937732219696
12,14,0.06199425831437111
13,14,0.21853767335414886
