segment_a,segment_b,cosine
0,1,0.023005783557891846
0,2,0.007750805467367172
0,3,-0.06265215575695038
0,4,0.031047498807311058
0,5,-0.00028061307966709137
0,6,-0.029694318771362305
1,2,0.10382752865552902
1,3,0.11193804442882538
1,4,0.10279545933008194
1,5,0.10247094929218292
1,6,-0.0645684003829956
2,3,0.04252433031797409
2,4,-0.016772711649537086
2,5,0.03383844718337059
2,6,-0.05384506657719612
3,4,0.09775827825069427
3,5,-0.02467973344027996
3,6,-0.26122525334358215
4,5,0.050193384289741516
4,6,0.10719070583581924
5,6,0.09483294188976288
