segment_a,segment_b,cosine
0,1,0.7482454180717468
0,2,0.6367416381835938
0,3,0.5693274736404419
0,4,0.5356813669204712
0,5,0.49051767587661743
0,6,0.4823167324066162
1,2,0.9814023971557617
1,3,0.9582278728485107
1,4,0.9415264129638672
1,5,0.917023241519928
1,6,0.9069790840148926
2,3,0.9928838014602661
2,4,0.9837862849235535
2,5,0.9690495133399963
2,6,0.9588967561721802
3,4,0.9962947964668274
3,5,0.9882981181144714
3,6,0.9804786443710327
4,5,0.9953079223632812
4,6,0.9901268482208252
5,6,0.9973835945129395
