baseline,dataset,horizon,segment,baseline_mse,candidate_mse,delta_mse,relative_mse_change,candidate_passes_mse
PatchEncoderFixedHead,ETTh2,96,1-96,0.3074484169483185,0.32162752747535706,0.014179110527038574,0.046118664938262006,False
PatchEncoderFixedHead,ETTh2,192,1-96,0.3041790723800659,0.3248440623283386,0.020664989948272705,0.06793692211163099,False
PatchEncoderFixedHead,ETTh2,192,97-192,0.45050108432769775,0.491850882768631,0.04134979844093323,0.09178623510449774,False
PatchEncoderFixedHead,ETTh2,336,1-96,0.28333091735839844,0.27831006050109863,-0.005020856857299805,-0.017720822365985177,True
PatchEncoderFixedHead,ETTh2,336,97-192,0.39427974820137024,0.3854296803474426,-0.008850067853927612,-0.022446163908493782,True
PatchEncoderFixedHead,ETTh2,336,193-336,0.4445280134677887,0.4338912069797516,-0.01063680648803711,-0.02392831534970939,True
PatchEncoderFixedHead,ETTh2,720,1-96,0.2543378472328186,0.25473055243492126,0.00039270520210266113,0.001544029747736216,False
PatchEncoderFixedHead,ETTh2,720,97-192,0.3411703407764435,0.33789119124412537,-0.0032791495323181152,-0.009611473039700197,True
PatchEncoderFixedHead,ETTh2,720,193-336,0.35521161556243896,0.348388671875,-0.006822943687438965,-0.01920810972534098,True
PatchEncoderFixedHead,ETTh2,720,337-720,0.48179948329925537,0.4765813648700714,-0.00521811842918396,-0.010830477429015592,True
PatchEncoderFixedHead,ETTm1,96,1-96,0.29047533869743347,0.28876325488090515,-0.0017120838165283203,-0.0058940763240203,True
PatchEncoderFixedHead,ETTm1,192,1-96,0.2987188696861267,0.2908068299293518,-0.007912039756774902,-0.026486575036549685,True
PatchEncoderFixedHead,ETTm1,192,97-192,0.37668347358703613,0.3633090853691101,-0.013374388217926025,-0.03550564109055809,True
PatchEncoderFixedHead,ETTm1,336,1-96,0.29374390840530396,0.2974063754081726,0.0036624670028686523,0.012468231333720898,False
PatchEncoderFixedHead,ETTm1,336,97-192,0.35962292551994324,0.36550846695899963,0.0058855414390563965,0.016365868306496518,False
PatchEncoderFixedHead,ETTm1,336,193-336,0.4080162048339844,0.4034995436668396,-0.004516661167144775,-0.011069808291027402,True
PatchEncoderFixedHead,ETTm1,720,1-96,0.29211053252220154,0.3006395995616913,0.008529067039489746,0.029198081171008458,False
PatchEncoderFixedHead,ETTm1,720,97-192,0.3583531081676483,0.367371141910553,0.009018033742904663,0.025165217036950484,False
PatchEncoderFixedHead,ETTm1,720,193-336,0.41059064865112305,0.40825438499450684,-0.002336263656616211,-0.005690006979679957,True
PatchEncoderFixedHead,ETTm1,720,337-720,0.4573901295661926,0.44260549545288086,-0.014784634113311768,-0.032323902851454436,True
PatchEncoderFixedHead,Weather,96,1-96,0.14708691835403442,0.14853712916374207,0.0014502108097076416,0.009859549890201803,False
PatchEncoderFixedHead,Weather,192,1-96,0.15198560059070587,0.1502218097448349,-0.0017637908458709717,-0.011604986518563851,True
PatchEncoderFixedHead,Weather,192,97-192,0.23843136429786682,0.2374907284975052,-0.0009406358003616333,-0.00394510094396188,True
PatchEncoderFixedHead,Weather,336,1-96,0.15354138612747192,0.15261195600032806,-0.0009294301271438599,-0.0060532873291389705,True
PatchEncoderFixedHead,Weather,336,97-192,0.2438506931066513,0.2376072257757187,-0.006243467330932617,-0.025603648082320418,True
PatchEncoderFixedHead,Weather,336,193-336,0.32024121284484863,0.3149985074996948,-0.005242705345153809,-0.016371113819425263,True
PatchEncoderFixedHead,Weather,720,1-96,0.15367551147937775,0.15025337040424347,-0.0034221410751342773,-0.02226861678995294,True
PatchEncoderFixedHead,Weather,720,97-192,0.23720782995224,0.23453916609287262,-0.0026686638593673706,-0.011250319434669108,True
PatchEncoderFixedHead,Weather,720,193-336,0.31677156686782837,0.3189389705657959,0.0021674036979675293,0.006842166168505488,False
PatchEncoderFixedHead,Weather,720,337-720,0.38935336470603943,0.39931556582450867,0.009962201118469238,0.02558652890027204,False
