horizon,mse,mae
1,0.05515569821000099,0.1552995890378952
2,0.07586318999528885,0.1832842081785202
3,0.09438788145780563,0.20232436060905457
4,0.10865846276283264,0.21688377857208252
5,0.12872615456581116,0.23556070029735565
6,0.14267772436141968,0.24749399721622467
7,0.15858441591262817,0.25954097509384155
8,0.1781591922044754,0.27488425374031067
9,0.1889030933380127,0.2821938693523407
10,0.20179839432239532,0.293246865272522
11,0.22038719058036804,0.3057330548763275
12,0.22753919661045074,0.3091966509819031
13,0.23800651729106903,0.31608492136001587
14,0.2515851855278015,0.3271232843399048
15,0.2604405879974365,0.3323774039745331
16,0.2674430310726166,0.3372219204902649
17,0.2794087827205658,0.34447044134140015
18,0.28175416588783264,0.34398871660232544
19,0.2931753695011139,0.3516419231891632
20,0.3002929389476776,0.3577554225921631
21,0.3019695281982422,0.3578801155090332
22,0.30585572123527527,0.36097222566604614
23,0.310139924287796,0.3629245162010193
24,0.314715713262558,0.366007536649704
25,0.3172180950641632,0.3672301471233368
26,0.31889960169792175,0.36851567029953003
27,0.32029619812965393,0.37019890546798706
28,0.32333433628082275,0.3737860321998596
29,0.3267238140106201,0.3741184175014496
30,0.3208678364753723,0.3701114356517792
31,0.3275519013404846,0.37451738119125366
32,0.3237878084182739,0.3712770640850067
33,0.32459816336631775,0.3723953068256378
34,0.325941264629364,0.3737264573574066
35,0.32854780554771423,0.3750123679637909
36,0.32536667585372925,0.3735103905200958
37,0.325329065322876,0.37369999289512634
38,0.32455167174339294,0.3734998404979706
39,0.3272089660167694,0.3738690912723541
40,0.32629773020744324,0.37326064705848694
41,0.325777143239975,0.3734820783138275
42,0.3270195424556732,0.3747013807296753
43,0.3252792954444885,0.37247133255004883
44,0.3276027739048004,0.37479734420776367
45,0.3245389759540558,0.372187077999115
46,0.3261810541152954,0.37303823232650757
47,0.3274208903312683,0.3740958273410797
48,0.3245092034339905,0.3718201220035553
49,0.3258383572101593,0.3738998770713806
50,0.3243449926376343,0.37319883704185486
51,0.3268090784549713,0.3744087219238281
52,0.3258483111858368,0.37306302785873413
53,0.3249906599521637,0.3719450831413269
54,0.3221304714679718,0.3719765543937683
55,0.32131630182266235,0.3699563145637512
56,0.32442107796669006,0.37240830063819885
57,0.3215748965740204,0.3720993399620056
58,0.3250385522842407,0.3723123371601105
59,0.3203938603401184,0.37034159898757935
60,0.32102152705192566,0.3703044652938843
61,0.32122567296028137,0.3708292543888092
62,0.3216139078140259,0.3706134557723999
63,0.3191366195678711,0.3695230782032013
64,0.3192715346813202,0.36889469623565674
65,0.31670767068862915,0.3673851191997528
66,0.31701502203941345,0.3672405481338501
67,0.31759515404701233,0.3682016432285309
68,0.31903254985809326,0.3682190775871277
69,0.3201599419116974,0.3698978126049042
70,0.3160344958305359,0.36584746837615967
71,0.3162796199321747,0.3660893142223358
72,0.31967124342918396,0.36773431301116943
73,0.3187684714794159,0.36708852648735046
74,0.3162023723125458,0.3672952651977539
75,0.3160812556743622,0.36672964692115784
76,0.3165959119796753,0.3668878376483917
77,0.3126979470252991,0.3650907874107361
78,0.3147340714931488,0.36587703227996826
79,0.3127261698246002,0.3647369146347046
80,0.3121778964996338,0.36439049243927
81,0.3125688135623932,0.36557915806770325
82,0.31208136677742004,0.36529403924942017
83,0.31268295645713806,0.36527448892593384
84,0.3106488883495331,0.3647257089614868
85,0.31023940443992615,0.36541080474853516
86,0.3121814727783203,0.3655044734477997
87,0.30886733531951904,0.3617984354496002
88,0.3098442256450653,0.36280357837677
89,0.31171295046806335,0.3656107187271118
90,0.3111846446990967,0.3640888035297394
91,0.31081756949424744,0.36505505442619324
92,0.3122116029262543,0.36495891213417053
93,0.31145429611206055,0.36457422375679016
94,0.3125460147857666,0.36650410294532776
95,0.31425145268440247,0.36556217074394226
96,0.3181779086589813,0.3693356215953827
97,0.31981414556503296,0.3702329695224762
98,0.322353720664978,0.3712071180343628
99,0.3282083570957184,0.37625014781951904
100,0.3325810432434082,0.3782411515712738
101,0.33506232500076294,0.3791022300720215
102,0.3383253812789917,0.3811207711696625
103,0.3394162654876709,0.381023645401001
104,0.3416820168495178,0.3818671703338623
105,0.34439101815223694,0.38340651988983154
106,0.34814438223838806,0.3848133087158203
107,0.3523304760456085,0.3875013589859009
108,0.3581763207912445,0.3924366533756256
109,0.3574695289134979,0.3897373080253601
110,0.3555808663368225,0.3901214897632599
111,0.359708309173584,0.39250296354293823
112,0.36032629013061523,0.39198386669158936
