segment_a,segment_b,cosine
0,1,0.9185786843299866
0,2,0.8919712901115417
0,3,0.8330145478248596
0,4,0.8419147729873657
0,5,0.8355464339256287
0,6,0.8334887027740479
1,2,0.9604661464691162
1,3,0.9448749423027039
1,4,0.930854856967926
1,5,0.9413167238235474
1,6,0.9088098406791687
2,3,0.9784089922904968
2,4,0.9828600883483887
2,5,0.9770515561103821
2,6,0.9743346571922302
3,4,0.9836277961730957
3,5,0.9827872514724731
3,6,0.9713344573974609
4,5,0.9846448302268982
4,6,0.983705461025238
5,6,0.9766673445701599
