horizon,mse,mae
1,0.10604658722877502,0.21915572881698608
2,0.12906363606452942,0.2409600466489792
3,0.13878433406352997,0.25233036279678345
4,0.15249775350093842,0.2635887563228607
5,0.16342349350452423,0.2728337347507477
6,0.1781662553548813,0.2851506173610687
7,0.17888996005058289,0.2836768627166748
8,0.18216176331043243,0.2881105840206146
9,0.18772979080677032,0.29328852891921997
10,0.19778376817703247,0.2966941297054291
11,0.2072228044271469,0.3015781044960022
12,0.20729488134384155,0.30222028493881226
13,0.21099640429019928,0.305603951215744
14,0.22567087411880493,0.3126008212566376
15,0.21779535710811615,0.3096941113471985
16,0.2271377146244049,0.3133507966995239
17,0.23217591643333435,0.31719017028808594
18,0.23998422920703888,0.31866928935050964
19,0.24220600724220276,0.3225165903568268
20,0.23330529034137726,0.31525230407714844
21,0.23586176335811615,0.31556424498558044
22,0.2392548769712448,0.31661760807037354
23,0.24792717397212982,0.323677659034729
24,0.2427721619606018,0.32105013728141785
25,0.2586148977279663,0.32834306359291077
26,0.26193317770957947,0.3320753574371338
27,0.27628093957901,0.34203222393989563
28,0.2818179428577423,0.3464615046977997
29,0.27284640073776245,0.3382802903652191
30,0.2817162871360779,0.34605807065963745
31,0.28121158480644226,0.34509578347206116
32,0.28691044449806213,0.3472372591495514
33,0.29048335552215576,0.3540596663951874
34,0.2925935387611389,0.3545311987400055
35,0.29452216625213623,0.35711607336997986
36,0.3123190999031067,0.3662168085575104
37,0.3100249171257019,0.36323249340057373
38,0.31295716762542725,0.3650128245353699
39,0.3006148636341095,0.3628922998905182
40,0.3050300180912018,0.3626313805580139
41,0.3175532817840576,0.3667452931404114
42,0.3043152987957001,0.3647941052913666
43,0.3071191906929016,0.3609987795352936
44,0.3230465352535248,0.3755430579185486
45,0.31975507736206055,0.3733486235141754
46,0.3281882405281067,0.37336134910583496
47,0.32647398114204407,0.375847190618515
48,0.325742244720459,0.3728224039077759
49,0.3249993920326233,0.3717603385448456
50,0.32314011454582214,0.3741379380226135
51,0.3256485164165497,0.37641191482543945
52,0.3342609107494354,0.38012760877609253
53,0.3344760835170746,0.3839624226093292
54,0.3389156758785248,0.38670840859413147
55,0.3446059823036194,0.3861837685108185
56,0.33416634798049927,0.3843136131763458
57,0.34306207299232483,0.39107444882392883
58,0.33789724111557007,0.3850007951259613
59,0.3475055396556854,0.38873693346977234
60,0.3644673526287079,0.39731037616729736
61,0.35071930289268494,0.3939085304737091
62,0.36335447430610657,0.397371768951416
63,0.3406715989112854,0.3870590031147003
64,0.3694002628326416,0.39955025911331177
65,0.354248583316803,0.3944789171218872
66,0.362897664308548,0.3992602527141571
67,0.3570922315120697,0.3982812166213989
68,0.3581293523311615,0.3967469036579132
69,0.3610319197177887,0.39414235949516296
70,0.35548436641693115,0.39613014459609985
71,0.3576837480068207,0.39704278111457825
72,0.3641188144683838,0.3970224857330322
73,0.3628624975681305,0.3987227976322174
74,0.370451420545578,0.4029560089111328
75,0.3728747069835663,0.4067532420158386
76,0.37776124477386475,0.4083114564418793
77,0.38260337710380554,0.4102150797843933
78,0.382305383682251,0.4121626615524292
79,0.37308046221733093,0.405856192111969
80,0.38478606939315796,0.4113243520259857
81,0.3794650733470917,0.41347262263298035
82,0.3746170699596405,0.41072165966033936
83,0.3783542215824127,0.4111723303794861
84,0.41079938411712646,0.42597365379333496
85,0.40064120292663574,0.4220404624938965
86,0.39582812786102295,0.42144691944122314
87,0.3899495303630829,0.4192412197589874
88,0.3830447196960449,0.4145589768886566
89,0.3944089114665985,0.4198525846004486
90,0.39244791865348816,0.42026546597480774
91,0.3903249204158783,0.41494622826576233
92,0.4060090184211731,0.4288441240787506
93,0.4031420946121216,0.427701473236084
94,0.4087470471858978,0.42442137002944946
95,0.3961753845214844,0.4221291244029999
96,0.40045708417892456,0.42113709449768066
