epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.5249403982008316,0.5289276242256165,286,277,295,271,0.4131946265697479,0.2830130457878113,0.4765233099460602,0.3309248685836792,0.5572731494903564,0.3843006193637848,0.6687194108963013,0.44855669140815735
2,0.47299525104760065,0.5548236295580864,283,252,273,321,0.436311811208725,0.29574117064476013,0.501014232635498,0.3435305058956146,0.5865162014961243,0.3973119854927063,0.6954522728919983,0.4607163667678833
3,0.43111797820106873,0.5659948214888573,269,308,274,278,0.4351803958415985,0.29858872294425964,0.5125369429588318,0.3528032898902893,0.6063698530197144,0.4091857373714447,0.7098920941352844,0.46996426582336426
4,0.4034023780649589,0.5900325700640678,261,307,286,275,0.4508821666240692,0.3059156537055969,0.5358200669288635,0.3627881705760956,0.6360069513320923,0.4216964542865753,0.7374210953712463,0.482115238904953
5,0.38178194804567483,0.5951000303030014,282,288,287,272,0.45485299825668335,0.31191304326057434,0.5387330651283264,0.3688679337501526,0.641942024230957,0.4288944900035858,0.7448720335960388,0.48981258273124695
6,0.3675740828178328,0.6071646511554718,260,302,282,285,0.46180564165115356,0.31308990716934204,0.5489016771316528,0.373114675283432,0.654948353767395,0.4336056411266327,0.7630029320716858,0.49678149819374084
7,0.35566976826152935,0.6159424185752869,267,287,289,286,0.46788710355758667,0.3147861957550049,0.555508553981781,0.37642693519592285,0.6665154695510864,0.4394755959510803,0.7738585472106934,0.5039703249931335
8,0.34683717692236227,0.6252813041210175,287,284,269,289,0.47264987230300903,0.315217524766922,0.5678625106811523,0.3790494501590729,0.6792423725128174,0.44027701020240784,0.7813704609870911,0.5017543435096741
9,0.33828276449911776,0.6209253296256065,276,303,279,271,0.47450539469718933,0.31366071105003357,0.5639776587486267,0.37648484110832214,0.6713710427284241,0.43762218952178955,0.773847222328186,0.5009803175926208
10,0.328327246069697,0.6227602511644363,311,285,277,256,0.47961246967315674,0.31564831733703613,0.5661353468894958,0.3769109845161438,0.6711902618408203,0.4379042983055115,0.7741029262542725,0.4993824362754822
11,0.32482136628921315,0.6324765011668205,294,282,281,272,0.4844560921192169,0.3185584843158722,0.5738834142684937,0.3814240097999573,0.6828915476799011,0.443550169467926,0.7886749505996704,0.5069736242294312
