dataset,prefix_horizon,target_h720_prefix_mse,target_h720_prefix_mae,fixed_h720_prefix_mse,fixed_h720_prefix_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.26122350866595906,0.3262980142608285,0.2543378472328186,0.3262273371219635,2.707289342917729,0.021664995793591046,False,False
ETTh2,192,0.3082965621724725,0.36156755421931547,0.29775410890579224,0.35817569494247437,3.5406575262461937,0.9469819769277965,False,False
ETTh2,336,0.3326130029523656,0.3861539484489532,0.3223787248134613,0.3821985721588135,3.174613382079161,1.0349008547567706,False,False
ETTh2,720,0.41406546065376865,0.44487690586182804,0.4074031412601471,0.4438471794128418,1.635313702543928,0.2320002236689822,False,False
ETTm1,96,0.2914312233527501,0.3524391748942435,0.29211053252220154,0.35281580686569214,-0.2325520971756756,-0.10675031110271016,True,True
ETTm1,192,0.32931093328321975,0.3758817775330196,0.3252318203449249,0.3729446828365326,1.254217048617412,0.7875416466989416,False,False
ETTm1,336,0.36086054190638517,0.39505839680454563,0.3618141710758209,0.3932553827762604,-0.2635687725000446,0.4584842591489835,True,False
ETTm1,720,0.4097267225384712,0.42332417871803046,0.412788063287735,0.42070141434669495,-0.7416253088524671,0.6234265638037861,True,False
Weather,96,0.15262953180354089,0.20745092009504637,0.15367551147937775,0.20635920763015747,-0.6806417403577125,0.5290350149267375,True,False
Weather,192,0.19664314429974183,0.24920372276877364,0.19544166326522827,0.2459518164396286,0.6147517445566741,1.3221721133103603,False,False
Weather,336,0.25059047568633797,0.2910882802236648,0.24744020402431488,0.2844696044921875,1.2731446267775892,2.3266723850136506,False,False
Weather,720,0.3289909737650305,0.34415644109249116,0.32312721014022827,0.33546921610832214,1.8146919976988363,2.5895744131002374,False,False
