segment_a,segment_b,cosine
0,1,0.9852343201637268
0,2,0.9931827187538147
0,3,0.9722517728805542
0,4,0.7557789087295532
0,5,0.44228559732437134
0,6,0.7001660466194153
1,2,0.9815748929977417
1,3,0.990814208984375
1,4,0.6752186417579651
1,5,0.571336030960083
1,6,0.6152345538139343
2,3,0.9815661907196045
2,4,0.7930917143821716
2,5,0.44763416051864624
2,6,0.7399279475212097
3,4,0.7071269154548645
3,5,0.5896233916282654
3,6,0.6536254286766052
4,5,-0.02942265197634697
4,6,0.9875345230102539
5,6,-0.057330623269081116
