baseline,dataset,horizon,baseline_mse,candidate_mse,delta_mse,relative_mse_change,baseline_mae,candidate_mae,delta_mae,relative_mae_change,baseline_epochs,candidate_epochs,baseline_parameter_count,candidate_parameter_count,parameter_ratio,candidate_passes_mse
PatchEncoderFixedHead,ETTh2,96,0.3074484169483185,0.3272140324115753,0.019765615463256836,0.0642892087701964,0.36609065532684326,0.3768771290779114,0.010786473751068115,0.029463941769936806,13,15,921184,924240,1.00331746969118,False
PatchEncoderFixedHead,ETTh2,192,0.37734004855155945,0.3794071674346924,0.0020671188831329346,0.0054781327639822075,0.4069473147392273,0.41050970554351807,0.0035623908042907715,0.008753936136852406,12,12,1437376,1440528,1.0021928848123247,False
PatchEncoderFixedHead,ETTh2,336,0.3841150403022766,0.38207828998565674,-0.002036750316619873,-0.0053024487534179,0.4212876260280609,0.4135362505912781,-0.007751375436782837,-0.01839924782473088,13,11,2211664,2214960,1.0014902806212878,True
PatchEncoderFixedHead,ETTh2,720,0.4074031412601471,0.40683820843696594,-0.0005649328231811523,-0.0013866678136887872,0.4438471794128418,0.4421728849411011,-0.0016742944717407227,-0.0037722318613258275,11,11,4276432,4280112,1.0008605304609075,True
PatchEncoderFixedHead,ETTm1,96,0.29047533869743347,0.2868218719959259,-0.0036534667015075684,-0.012577545198469025,0.3442326486110687,0.34133297204971313,-0.002899676561355591,-0.00842359541738817,14,14,921184,924240,1.00331746969118,True
PatchEncoderFixedHead,ETTm1,192,0.3377011716365814,0.3246890604496002,-0.013012111186981201,-0.03853143631075181,0.3733891248703003,0.3691631257534027,-0.004225999116897583,-0.011317949119073882,14,14,1437376,1440528,1.0021928848123247,True
PatchEncoderFixedHead,ETTm1,336,0.361540287733078,0.3655322194099426,0.003991931676864624,0.011041457376423376,0.3907651901245117,0.3928556740283966,0.0020904839038848877,0.005349718850900678,11,11,2211664,2214960,1.0014902806212878,False
PatchEncoderFixedHead,ETTm1,720,0.412788063287735,0.4196692407131195,0.0068811774253845215,0.01667000099416145,0.42070141434669495,0.4243876338005066,0.0036862194538116455,0.008762080012343094,11,12,4276432,4280112,1.0008605304609075,False
PatchEncoderFixedHead,Weather,96,0.14708691835403442,0.14767061173915863,0.0005836933851242065,0.003968356884867705,0.1950538456439972,0.19663727283477783,0.0015834271907806396,0.008117897832533043,16,16,921184,924240,1.00331746969118,False
PatchEncoderFixedHead,Weather,192,0.19520847499370575,0.19767192006111145,0.0024634450674057007,0.012619560024149214,0.24188493192195892,0.2442619651556015,0.002377033233642578,0.009827124057522927,15,17,1437376,1440528,1.0021928848123247,False
PatchEncoderFixedHead,Weather,336,0.25078684091567993,0.2505727708339691,-0.00021407008171081543,-0.0008535937568701641,0.28711846470832825,0.286070853471756,-0.0010476112365722656,-0.003648707294518625,16,15,2211664,2214960,1.0014902806212878,True
PatchEncoderFixedHead,Weather,720,0.32312721014022827,0.33104705810546875,0.007919847965240479,0.02451000013834639,0.33546921610832214,0.34150660037994385,0.006037384271621704,0.017996835422515334,12,15,4276432,4280112,1.0008605304609075,False
