baseline,dataset,horizon,baseline_mse,candidate_mse,delta_mse,relative_mse_change,baseline_mae,candidate_mae,delta_mae,relative_mae_change,baseline_epochs,candidate_epochs,baseline_parameter_count,candidate_parameter_count,parameter_ratio,candidate_passes_mse
PatchEncoderFixedHeadAdapter,ETTh2,96,0.30123046040534973,0.3272140324115753,0.025983572006225586,0.08625811603269098,0.36003977060317993,0.3768771290779114,0.016837358474731445,0.046765273865505386,12,15,1066816,924240,0.8663537104805328,False
PatchEncoderFixedHeadAdapter,ETTh2,192,0.3914529085159302,0.3794071674346924,-0.012045741081237793,-0.03077187784069713,0.4186992049217224,0.41050970554351807,-0.008189499378204346,-0.019559386026862427,14,12,1583264,1440528,0.9098469996159831,True
PatchEncoderFixedHeadAdapter,ETTh2,336,0.3844643831253052,0.38207828998565674,-0.0023860931396484375,-0.006206278772176299,0.4182983636856079,0.4135362505912781,-0.004762113094329834,-0.011384488938400503,11,11,2357936,2214960,0.9393639182742873,True
PatchEncoderFixedHeadAdapter,ETTh2,720,0.40226325392723083,0.40683820843696594,0.004574954509735107,0.011373036102777396,0.4394509792327881,0.4421728849411011,0.0027219057083129883,0.006193877899794433,11,11,4423728,4280112,0.9675350744892091,False
PatchEncoderFixedHeadAdapter,ETTm1,96,0.2897811233997345,0.2868218719959259,-0.0029592514038085938,-0.010212022677979946,0.3464817702770233,0.34133297204971313,-0.005148798227310181,-0.01486022835542993,15,14,1066816,924240,0.8663537104805328,True
PatchEncoderFixedHeadAdapter,ETTm1,192,0.3337422311306,0.3246890604496002,-0.009053170680999756,-0.027126236467979594,0.37124085426330566,0.3691631257534027,-0.002077728509902954,-0.005596712985767746,11,14,1583264,1440528,0.9098469996159831,True
PatchEncoderFixedHeadAdapter,ETTm1,336,0.36799493432044983,0.3655322194099426,-0.002462714910507202,-0.0066922522046530975,0.39499378204345703,0.3928556740283966,-0.002138108015060425,-0.005413016893580343,12,11,2357936,2214960,0.9393639182742873,True
PatchEncoderFixedHeadAdapter,ETTm1,720,0.4106070399284363,0.4196692407131195,0.009062200784683228,0.022070251855064775,0.42123308777809143,0.4243876338005066,0.003154546022415161,0.007488837211375471,11,12,4423728,4280112,0.9675350744892091,False
PatchEncoderFixedHeadAdapter,Weather,96,0.1495135873556137,0.14767061173915863,-0.0018429756164550781,-0.012326475800969275,0.20226888358592987,0.19663727283477783,-0.005631610751152039,-0.02784220020060358,12,16,1066816,924240,0.8663537104805328,True
PatchEncoderFixedHeadAdapter,Weather,192,0.19495533406734467,0.19767192006111145,0.0027165859937667847,0.013934401983730166,0.24255649745464325,0.2442619651556015,0.001705467700958252,0.007031218371205105,15,17,1583264,1440528,0.9098469996159831,False
PatchEncoderFixedHeadAdapter,Weather,336,0.24921225011348724,0.2505727708339691,0.0013605207204818726,0.005459285086757627,0.28483790159225464,0.286070853471756,0.0012329518795013428,0.004328608912680143,14,15,2357936,2214960,0.9393639182742873,False
PatchEncoderFixedHeadAdapter,Weather,720,0.32664790749549866,0.33104705810546875,0.004399150609970093,0.0134675609701578,0.34054994583129883,0.34150660037994385,0.0009566545486450195,0.0028091460895986334,12,15,4423728,4280112,0.9675350744892091,False
