baseline,dataset,horizon,segment,baseline_mse,candidate_mse,delta_mse,relative_mse_change,candidate_passes_mse
PatchEncoderStepSpecificStateAdapter,ETTh2,96,1-96,0.32162752747535706,0.3272140324115753,0.005586504936218262,0.01736948631253678,False
PatchEncoderStepSpecificStateAdapter,ETTh2,192,1-96,0.3248440623283386,0.3111036419868469,-0.0137404203414917,-0.042298511608943816,True
PatchEncoderStepSpecificStateAdapter,ETTh2,192,97-192,0.491850882768631,0.44771072268486023,-0.04414016008377075,-0.0897429721693404,True
PatchEncoderStepSpecificStateAdapter,ETTh2,336,1-96,0.27831006050109863,0.2762647867202759,-0.002045273780822754,-0.007348903511214177,True
PatchEncoderStepSpecificStateAdapter,ETTh2,336,97-192,0.3854296803474426,0.39260122179985046,0.007171541452407837,0.018606614430790865,False
PatchEncoderStepSpecificStateAdapter,ETTh2,336,193-336,0.4338912069797516,0.44560539722442627,0.011714190244674683,0.02699798948730793,False
PatchEncoderStepSpecificStateAdapter,ETTh2,720,1-96,0.25473055243492126,0.25760042667388916,0.0028698742389678955,0.011266313410524609,False
PatchEncoderStepSpecificStateAdapter,ETTh2,720,97-192,0.33789119124412537,0.34198299050331116,0.004091799259185791,0.012109813351806139,False
PatchEncoderStepSpecificStateAdapter,ETTh2,720,193-336,0.348388671875,0.3573133945465088,0.008924722671508789,0.025617143701822005,False
PatchEncoderStepSpecificStateAdapter,ETTh2,720,337-720,0.4765813648700714,0.4789332151412964,0.0023518502712249756,0.004934834730405692,False
PatchEncoderStepSpecificStateAdapter,ETTm1,96,1-96,0.28876325488090515,0.2868218719959259,-0.001941382884979248,-0.0067230953113474705,True
PatchEncoderStepSpecificStateAdapter,ETTm1,192,1-96,0.2908068299293518,0.287821501493454,-0.002985328435897827,-0.01026567511025473,True
PatchEncoderStepSpecificStateAdapter,ETTm1,192,97-192,0.3633090853691101,0.36155661940574646,-0.0017524659633636475,-0.004823622733197546,True
PatchEncoderStepSpecificStateAdapter,ETTm1,336,1-96,0.2974063754081726,0.2975756824016571,0.00016930699348449707,0.0005692782922092146,False
PatchEncoderStepSpecificStateAdapter,ETTm1,336,97-192,0.36550846695899963,0.36398425698280334,-0.001524209976196289,-0.004170108530939353,True
PatchEncoderStepSpecificStateAdapter,ETTm1,336,193-336,0.4034995436668396,0.41186854243278503,0.008368998765945435,0.020741036507479986,False
PatchEncoderStepSpecificStateAdapter,ETTm1,720,1-96,0.3006395995616913,0.2871623635292053,-0.013477236032485962,-0.04482854571431942,True
PatchEncoderStepSpecificStateAdapter,ETTm1,720,97-192,0.367371141910553,0.35948535799980164,-0.007885783910751343,-0.021465441922684722,True
PatchEncoderStepSpecificStateAdapter,ETTm1,720,193-336,0.40825438499450684,0.4197574853897095,0.011503100395202637,0.028176305798546204,False
PatchEncoderStepSpecificStateAdapter,ETTm1,720,337-720,0.44260549545288086,0.46780890226364136,0.025203406810760498,0.05694327582844849,False
PatchEncoderStepSpecificStateAdapter,Weather,96,1-96,0.14853712916374207,0.14767061173915863,-0.0008665174245834351,-0.005833675589813083,True
PatchEncoderStepSpecificStateAdapter,Weather,192,1-96,0.1502218097448349,0.15278290212154388,0.0025610923767089844,0.017048738668900526,False
PatchEncoderStepSpecificStateAdapter,Weather,192,97-192,0.2374907284975052,0.2425609678030014,0.005070239305496216,0.021349209451557508,False
PatchEncoderStepSpecificStateAdapter,Weather,336,1-96,0.15261195600032806,0.1547032743692398,0.002091318368911743,0.013703502816694437,False
PatchEncoderStepSpecificStateAdapter,Weather,336,97-192,0.2376072257757187,0.24317562580108643,0.005568400025367737,0.02343531433940414,False
PatchEncoderStepSpecificStateAdapter,Weather,336,193-336,0.3149985074996948,0.319417268037796,0.004418760538101196,0.0140278776975014,False
PatchEncoderStepSpecificStateAdapter,Weather,720,1-96,0.15025337040424347,0.15093621611595154,0.0006828457117080688,0.004544628249409198,False
PatchEncoderStepSpecificStateAdapter,Weather,720,97-192,0.23453916609287262,0.23968032002449036,0.005141153931617737,0.021920236254195376,False
PatchEncoderStepSpecificStateAdapter,Weather,720,193-336,0.3189389705657959,0.3233604431152344,0.0044214725494384766,0.013863067726075649,False
PatchEncoderStepSpecificStateAdapter,Weather,720,337-720,0.39931556582450867,0.40179893374443054,0.002483367919921875,0.006219061144772068,False
