epoch,train_loss,train_mse_loss,train_residual_loss,train_smoothness_loss,mse,mae
1,0.6333605387518483,0.6333605387518483,6.027807830655263e-07,9.621052775254577e-08,0.37027764320373535,0.41873177886009216
2,0.5639524959748791,0.5639524959748791,4.173561926050283e-06,4.587526271118423e-07,0.3708510398864746,0.417632520198822
3,0.5335349142551422,0.5335349142551422,6.443684960979754e-06,6.385424244986244e-07,0.3926985263824463,0.4256662428379059
4,0.5173530799727286,0.5173530799727286,6.838742071903976e-06,6.401258974069752e-07,0.37400081753730774,0.41644272208213806
5,0.5037782139355137,0.5037782139355137,6.925087371846237e-06,6.283818132788515e-07,0.3874737024307251,0.4220099449157715
6,0.4897492974996567,0.4897492974996567,8.70994857347884e-06,8.009015963976238e-07,0.38875913619995117,0.4221426844596863
7,0.4794695199497284,0.4794695199497284,1.1430623016490098e-05,1.004239473170474e-06,0.384590208530426,0.417963445186615
8,0.4687531436643293,0.4687531436643293,1.3776962811290662e-05,1.1644465376453046e-06,0.40776127576828003,0.4299493432044983
9,0.45824743230496684,0.45824743230496684,1.9715796468282803e-05,1.5166281026458526e-06,0.4034312665462494,0.42579036951065063
10,0.4492298085843363,0.4492298085843363,2.436708508602967e-05,1.8518222337925474e-06,0.4071190655231476,0.4314318001270294
11,0.4392933225439441,0.4392933225439441,3.483373650176931e-05,2.5168679921842986e-06,0.41784411668777466,0.4369405210018158
