dataset,segment,region_balanced_vs_r3_mse_pct,region_balanced_wins_mse_vs_r3,novelty_score,novelty_share,novelty_minus_region_balanced_share,prefix_minus_novelty_share,prefix_pressure_share,region_balanced_share
ETTh2,1-96,0.6541483580720486,False,0.8671658921867,0.4763297151843164,0.22632971518431638,0.24537359208630455,0.7217033072706209,0.25
ETTh2,97-192,-1.5366675201700764,True,0.2982686865935042,0.16383743850351476,-0.08616256149648524,-0.009861933311256593,0.15397550519225817,0.25
ETTh2,193-336,-0.7089113348903497,True,0.3081083364955538,0.16924230702704243,-0.08075769297295757,-0.09178281213471585,0.07745949489232658,0.25
ETTh2,337-720,1.4302848206479535,False,0.3469731359874917,0.19059053928512645,-0.059409460714873547,-0.14372884664033214,0.046861692644794305,0.25
ETTm1,1-96,6.294246795720526,False,0.8090119097876565,0.6152471820939163,0.36524718209391627,0.10645612517670466,0.7217033072706209,0.25
ETTm1,97-192,2.9817660472988727,False,0.1689709983303047,0.12850111267904843,-0.12149888732095157,0.025474392513209737,0.15397550519225817,0.25
ETTm1,193-336,1.1659135961613387,False,0.16616325366318793,0.1263658449857258,-0.12363415501427419,-0.048906350093399234,0.07745949489232658,0.25
ETTm1,337-720,-0.15081105765621938,True,0.17079185554432066,0.12988586024130958,-0.12011413975869042,-0.08302416759651526,0.046861692644794305,0.25
Weather,1-96,2.0849840345341875,False,0.7649429752320326,0.48150456734464026,0.23150456734464026,0.24019873992598068,0.7217033072706209,0.25
Weather,97-192,0.8381351157467742,False,0.3118311806257347,0.1962867070793321,-0.0537132929206679,-0.042311201887073935,0.15397550519225817,0.25
Weather,193-336,0.8744434187533789,False,0.2540012896431608,0.15988483460157576,-0.09011516539842424,-0.08242533970924919,0.07745949489232658,0.25
Weather,337-720,1.0837685909905526,False,0.25787610032027536,0.1623238909744518,-0.0876761090255482,-0.11546219832965748,0.046861692644794305,0.25
