dataset,horizon,candidate_mse,candidate_mae,fixed_mse,fixed_mae,relative_mse_vs_fixed_pct,relative_mae_vs_fixed_pct,candidate_wins_mse_vs_fixed,candidate_wins_mae_vs_fixed
ETTh2,96,0.31762751936912537,0.3633808493614197,0.3074484169483185,0.36609065532684326,3.3108326013979728,-0.7402008016304862,False,True
ETTh2,192,0.3943183422088623,0.4089395999908447,0.37734004855155945,0.4069473147392273,4.499467714194383,0.4895683493805869,False,False
ETTh2,336,0.3926992416381836,0.4185689389705658,0.3841150403022766,0.4212876260280609,2.2347995874235194,-0.6453280109665616,False,True
ETTh2,720,0.4226839244365692,0.44564658403396606,0.4074031412601471,0.4438471794128418,3.7507769648404743,0.405410849631771,False,False
ETTm1,96,0.29757294058799744,0.35027390718460083,0.29047533869743347,0.3442326486110687,2.4434438814638915,1.754992908984021,False,False
ETTm1,192,0.3258083760738373,0.3699788451194763,0.3377011716365814,0.3733891248703003,-3.5216921235744603,-0.9133313006929655,True,True
ETTm1,336,0.3556285500526428,0.38859373331069946,0.361540287733078,0.3907651901245117,-1.6351532266301039,-0.5556935133143148,True,True
ETTm1,720,0.4089679419994354,0.4190102219581604,0.412788063287735,0.42070141434669495,-0.9254437393061754,-0.40199351151714025,True,True
Weather,96,0.14918281137943268,0.19883133471012115,0.14708691835403442,0.1950538456439972,1.4249350308322306,1.936639112985472,False,False
Weather,192,0.19328615069389343,0.24121513962745667,0.19520847499370575,0.24188493192195892,-0.9847545296761795,-0.276905340560174,True,True
Weather,336,0.24555152654647827,0.2820034325122833,0.25078684091567993,0.28711846470832825,-2.0875554515086714,-1.7815058328767064,True,True
Weather,720,0.3215521275997162,0.3350255787372589,0.32312721014022827,0.33546921610832214,-0.487449676500018,-0.13224383930356964,True,True
