horizon,mse,mae
1,0.0719422772526741,0.174449622631073
2,0.0932961106300354,0.20144888758659363
3,0.1068141981959343,0.2154873013496399
4,0.1199270561337471,0.229105144739151
5,0.13356913626194,0.24334435164928436
6,0.14357702434062958,0.25287485122680664
7,0.1498788744211197,0.25828292965888977
8,0.1604701280593872,0.266657292842865
9,0.17432202398777008,0.2789435386657715
10,0.1746780276298523,0.2781740128993988
11,0.17877669632434845,0.2826845943927765
12,0.19116076827049255,0.2879781424999237
13,0.20136159658432007,0.2956351637840271
14,0.2033507525920868,0.2963702380657196
15,0.20524320006370544,0.2951784133911133
16,0.22275160253047943,0.3082893490791321
17,0.22499221563339233,0.30766093730926514
18,0.2276092916727066,0.3074919879436493
19,0.2323991060256958,0.31172701716423035
20,0.23519620299339294,0.3125791847705841
21,0.24070675671100616,0.31443116068840027
22,0.24256214499473572,0.31853634119033813
23,0.24742364883422852,0.3188450038433075
24,0.260173499584198,0.32866862416267395
25,0.2628077268600464,0.32907891273498535
26,0.26533210277557373,0.3344264626502991
27,0.2724408507347107,0.3346383571624756
28,0.2909928262233734,0.34568583965301514
29,0.2815602123737335,0.34153735637664795
30,0.2880139946937561,0.34157299995422363
31,0.29327911138534546,0.3504564166069031
32,0.2962492108345032,0.35116496682167053
33,0.29498857259750366,0.35152941942214966
34,0.30867308378219604,0.3584887683391571
35,0.30611324310302734,0.3591321110725403
36,0.3197462856769562,0.3665393590927124
37,0.31326809525489807,0.364257276058197
38,0.31744030117988586,0.36403802037239075
39,0.31265687942504883,0.361489862203598
40,0.3264251947402954,0.3734073042869568
41,0.3336033523082733,0.37584447860717773
42,0.33013221621513367,0.3729114234447479
43,0.3261212408542633,0.3709229826927185
44,0.33191242814064026,0.3755534887313843
45,0.3378620445728302,0.38157030940055847
46,0.33769655227661133,0.37893146276474
47,0.3285698890686035,0.37401342391967773
48,0.3396843373775482,0.3814653158187866
49,0.3206792175769806,0.3637803792953491
50,0.32108625769615173,0.36939507722854614
51,0.32568129897117615,0.36999276280403137
52,0.33077022433280945,0.37441354990005493
53,0.3414330780506134,0.3814433217048645
54,0.34333983063697815,0.3824909031391144
55,0.34560543298721313,0.3814316987991333
56,0.34078100323677063,0.38014158606529236
57,0.3618678152561188,0.3961605131626129
58,0.34790629148483276,0.3874646723270416
59,0.35196906328201294,0.38682040572166443
60,0.3612629175186157,0.39489516615867615
61,0.37096449732780457,0.39861929416656494
62,0.3675646483898163,0.39555180072784424
63,0.3673517405986786,0.3967333734035492
64,0.3739597201347351,0.3997289836406708
65,0.3774617314338684,0.4002015292644501
66,0.37152183055877686,0.3992559313774109
67,0.37036022543907166,0.3985671401023865
68,0.38035959005355835,0.4027302861213684
69,0.3924728333950043,0.40485212206840515
70,0.36548981070518494,0.3989429175853729
71,0.3931964635848999,0.4075525999069214
72,0.3857984244823456,0.40481996536254883
73,0.38022205233573914,0.4079322814941406
74,0.39049410820007324,0.41112199425697327
75,0.39275696873664856,0.4106331467628479
76,0.40813344717025757,0.4194856286048889
77,0.4049154222011566,0.4190000593662262
78,0.39128512144088745,0.4083111882209778
79,0.41249963641166687,0.4199284017086029
80,0.4122565686702728,0.4195995628833771
81,0.40132567286491394,0.4145488440990448
82,0.4299202263355255,0.42671698331832886
83,0.4260062575340271,0.42511487007141113
84,0.44367560744285583,0.43778982758522034
85,0.42101746797561646,0.42707476019859314
86,0.4261234998703003,0.43032950162887573
87,0.42338794469833374,0.4252232611179352
88,0.4302978813648224,0.4310290515422821
89,0.4404181241989136,0.4334171712398529
90,0.42031851410865784,0.42615634202957153
91,0.4242199957370758,0.42753294110298157
92,0.4170907437801361,0.4275975227355957
93,0.43448296189308167,0.43494635820388794
94,0.44291070103645325,0.43761852383613586
95,0.41344109177589417,0.42683228850364685
96,0.43840622901916504,0.4371296763420105
