dataset,horizon,mean_target_state_cosine,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
ETTh2,96,0.7745858430862427,0.4722249507904053,0.4172763526439667,8.252907752990723,1.3313454389572144,10.373183250427246
ETTh2,192,0.7420772860447565,0.4954254627227783,0.4262521266937256,8.252307891845703,1.2476598024368286,10.41822338104248
ETTh2,336,0.7924597192378271,0.5204351544380188,0.4298837184906006,8.360630989074707,1.1844321489334106,10.29638957977295
ETTh2,720,0.8859252583412897,0.5161686539649963,0.4324295222759247,8.308881759643555,1.1550687551498413,10.501009941101074
ETTm1,96,-0.34737226366996765,0.877068817615509,0.42288342118263245,10.863382339477539,1.2937188148498535,10.776959419250488
ETTm1,192,0.09562040368715923,0.8591883182525635,0.421642005443573,9.835726737976074,1.730756163597107,10.774218559265137
ETTm1,336,0.24839294985646293,0.8275089263916016,0.4175308346748352,9.360359191894531,1.6398245096206665,10.767526626586914
ETTm1,720,0.3209929729501406,0.8353871703147888,0.4176560640335083,8.845019340515137,1.5407668352127075,10.774240493774414
Weather,96,0.00021307704446371645,0.6943118572235107,0.3897877335548401,10.417622566223145,2.361854314804077,11.307882308959961
Weather,192,0.210921743195892,0.7021228671073914,0.40034568309783936,9.487791061401367,2.03299880027771,11.319271087646484
Weather,336,0.2756088330809559,0.7188085913658142,0.40608590841293335,9.09575080871582,1.7423535585403442,11.341734886169434
Weather,720,0.36296690367439405,0.7339151501655579,0.4092264771461487,8.567989349365234,1.4855923652648926,11.325276374816895
