dataset,horizon,phase2_mse,phase2_mae,r3_mse,r3_mae,relative_mse_vs_r3_pct,relative_mae_vs_r3_pct,phase2_wins_mse_vs_r3,phase2_wins_mae_vs_r3
ETTh2,96,0.32807284593582153,0.36667782068252563,0.30479592084884644,0.35886070132255554,7.636888650658329,2.1783158008555006,False,False
ETTh2,192,0.39477860927581787,0.4088149070739746,0.3690433204174042,0.4003613591194153,6.9735143368279795,2.1114794827234804,False,False
ETTh2,336,0.3933616280555725,0.41891714930534363,0.3829101622104645,0.41559359431266785,2.7294824939546634,0.7997127574048546,False,False
ETTh2,720,0.4254184067249298,0.4466906487941742,0.41047340631484985,0.43929871916770935,3.6409180668373264,1.6826658726593862,False,False
ETTm1,96,0.295073926448822,0.34965282678604126,0.2986849546432495,0.35228273272514343,-1.2089755905986348,-0.746532740551342,True,True
ETTm1,192,0.32602500915527344,0.37100911140441895,0.32966214418411255,0.3730504512786865,-1.1032916860504955,-0.5472020921756237,True,True
ETTm1,336,0.3557837903499603,0.38998278975486755,0.36072883009910583,0.3924419581890106,-1.3708468346671705,-0.6266323931037631,True,True
ETTm1,720,0.4111669957637787,0.4216448962688446,0.41729286313056946,0.4242476224899292,-1.4680019497179873,-0.6134922349850949,True,True
Weather,96,0.1486344188451767,0.1978558599948883,0.14802636206150055,0.19702932238578796,0.41077600989985685,0.4194997978432683,False,False
Weather,192,0.1920538991689682,0.23978452384471893,0.19240911304950714,0.23990498483181,-0.18461385477492606,-0.05021195669423707,True,True
Weather,336,0.2442137897014618,0.2801674008369446,0.24479345977306366,0.28043317794799805,-0.2367996563875735,-0.09477377569880516,True,True
Weather,720,0.319922536611557,0.3331310749053955,0.3208470046520233,0.3337559103965759,-0.28813360482169575,-0.18721331120038504,True,True
