horizon,mse,mae
1,0.036362744867801666,0.06293348968029022
2,0.050672732293605804,0.07716991007328033
3,0.058819644153118134,0.08179312199354172
4,0.06591153889894485,0.08965551108121872
5,0.07077304273843765,0.093434639275074
6,0.07516708225011826,0.09880127757787704
7,0.07884985208511353,0.10345496982336044
8,0.08272693306207657,0.10717204958200455
9,0.08670520782470703,0.11470770835876465
10,0.0899258702993393,0.11917313933372498
11,0.09166144579648972,0.12034310400485992
12,0.09573433548212051,0.12478641420602798
13,0.0978427529335022,0.1280512809753418
14,0.1010374128818512,0.13321690261363983
15,0.10304547101259232,0.13609324395656586
16,0.10628168284893036,0.1411602795124054
17,0.10738148540258408,0.1426258087158203
18,0.10894112288951874,0.145330548286438
19,0.11190160363912582,0.15027274191379547
20,0.11517786234617233,0.15417836606502533
21,0.11653456836938858,0.1559125930070877
22,0.11975113302469254,0.1617516428232193
23,0.12014003098011017,0.16227750480175018
24,0.123102568089962,0.16617077589035034
25,0.12451966851949692,0.1666247546672821
26,0.1273215413093567,0.17397552728652954
27,0.12894268333911896,0.17456912994384766
28,0.1307307630777359,0.17612184584140778
29,0.132345050573349,0.1803572028875351
30,0.13421671092510223,0.18207021057605743
31,0.1355469673871994,0.18423150479793549
32,0.1367134004831314,0.1867942363023758
33,0.13977719843387604,0.1909807026386261
34,0.14070412516593933,0.1886039823293686
35,0.14231333136558533,0.192174032330513
36,0.1430768370628357,0.19410592317581177
37,0.14491572976112366,0.19599182903766632
38,0.14553891122341156,0.19850951433181763
39,0.1466495841741562,0.19870522618293762
40,0.14958974719047546,0.2039666771888733
41,0.15052029490470886,0.2049928456544876
42,0.152848020195961,0.207390695810318
43,0.15400296449661255,0.20921871066093445
44,0.1545228809118271,0.2102642059326172
45,0.1563151478767395,0.2122650146484375
46,0.15708577632904053,0.21154721081256866
47,0.15942716598510742,0.21563272178173065
48,0.1586650013923645,0.21484577655792236
49,0.16164948046207428,0.2145162969827652
50,0.16216300427913666,0.21871376037597656
51,0.16308905184268951,0.21620285511016846
52,0.16589824855327606,0.21966737508773804
53,0.16710896790027618,0.2227044701576233
54,0.16718390583992004,0.22283701598644257
55,0.16980098187923431,0.22684350609779358
56,0.1701979637145996,0.22628413140773773
57,0.16911298036575317,0.22531741857528687
58,0.17139367759227753,0.2251417189836502
59,0.17205198109149933,0.22769379615783691
60,0.17415305972099304,0.22984157502651215
61,0.17562371492385864,0.23289377987384796
62,0.1752736121416092,0.22991952300071716
63,0.17557963728904724,0.23161056637763977
64,0.17726455628871918,0.23484522104263306
65,0.1774953007698059,0.235590398311615
66,0.17767921090126038,0.23315563797950745
67,0.18027539551258087,0.23730824887752533
68,0.181034117937088,0.2374832183122635
69,0.18169188499450684,0.2376684546470642
70,0.183028444647789,0.2386716902256012
71,0.1822672337293625,0.23734956979751587
72,0.1851203888654709,0.2421351820230484
73,0.1847713440656662,0.2397996485233307
74,0.18538105487823486,0.24200859665870667
75,0.18550258874893188,0.24156604707241058
76,0.1871539056301117,0.24264633655548096
77,0.18712164461612701,0.24312028288841248
78,0.18925487995147705,0.2449215203523636
79,0.19085301458835602,0.24811843037605286
80,0.1901916116476059,0.24625298380851746
81,0.19157235324382782,0.24636171758174896
82,0.19247601926326752,0.2483569234609604
83,0.19305063784122467,0.24883930385112762
84,0.19335252046585083,0.24922136962413788
85,0.1948591023683548,0.2502181828022003
86,0.19459885358810425,0.2511845827102661
87,0.19550740718841553,0.2514079511165619
88,0.19440922141075134,0.24919605255126953
89,0.1971086710691452,0.25477519631385803
90,0.19753828644752502,0.25277918577194214
91,0.1980045884847641,0.25261425971984863
92,0.1981680691242218,0.2519698739051819
93,0.20000867545604706,0.25505560636520386
94,0.20141085982322693,0.25567102432250977
95,0.2011965960264206,0.2559787631034851
96,0.20277760922908783,0.255807101726532
97,0.20155349373817444,0.25622671842575073
98,0.20254144072532654,0.25919604301452637
99,0.20385296642780304,0.2585873305797577
100,0.20657964050769806,0.2615019381046295
101,0.20614472031593323,0.25969696044921875
102,0.20477809011936188,0.2613498568534851
103,0.2058355212211609,0.2605138421058655
104,0.20490719377994537,0.25809866189956665
105,0.20468451082706451,0.2579841911792755
106,0.20698872208595276,0.25929033756256104
107,0.20732606947422028,0.261842280626297
108,0.20826958119869232,0.26203399896621704
109,0.20860785245895386,0.2625340521335602
110,0.20882506668567657,0.2617463767528534
111,0.21028439700603485,0.26197969913482666
112,0.21063567698001862,0.26335036754608154
113,0.21167124807834625,0.26225900650024414
114,0.21158817410469055,0.2629019320011139
115,0.2132139652967453,0.26633214950561523
116,0.21495531499385834,0.2671339213848114
117,0.2150741070508957,0.26644423604011536
118,0.21510092914104462,0.26578837633132935
119,0.21708855032920837,0.2681896984577179
120,0.21447522938251495,0.2654397487640381
121,0.216893270611763,0.26881885528564453
122,0.21650689840316772,0.26567956805229187
123,0.21724560856819153,0.2679867744445801
124,0.2182493358850479,0.2688789963722229
125,0.21915844082832336,0.27066323161125183
126,0.2190098762512207,0.26856347918510437
127,0.2195182740688324,0.26853349804878235
128,0.21911779046058655,0.26805251836776733
129,0.22049963474273682,0.27168673276901245
130,0.223109632730484,0.27284786105155945
