segment_a,segment_b,cosine
0,1,0.7822136878967285
0,2,0.5388780832290649
0,3,0.40866294503211975
0,4,0.35920482873916626
0,5,0.31593257188796997
0,6,0.30197873711586
1,2,0.9150412082672119
1,3,0.8324069380760193
1,4,0.7949538826942444
1,5,0.7597312331199646
1,6,0.7455354928970337
2,3,0.9786811470985413
2,4,0.9586745500564575
2,5,0.9355183839797974
2,6,0.9213347434997559
3,4,0.9947044849395752
3,5,0.9842647314071655
3,6,0.9739792943000793
4,5,0.9955019354820251
4,6,0.9888875484466553
5,6,0.996900200843811
