horizon,mse,mae
1,0.03650316223502159,0.06326623260974884
2,0.050786200910806656,0.07818116992712021
3,0.05890408903360367,0.08225807547569275
4,0.06609436869621277,0.0902242586016655
5,0.07076691091060638,0.09356358647346497
6,0.07543319463729858,0.09922818839550018
7,0.07903354614973068,0.10346187651157379
8,0.0829881802201271,0.10719697922468185
9,0.08691945672035217,0.1149006113409996
10,0.09004885703325272,0.11911281943321228
11,0.09158988296985626,0.12024100869894028
12,0.09607035666704178,0.12535151839256287
13,0.09794130176305771,0.12847557663917542
14,0.10111196339130402,0.13325217366218567
15,0.10339392721652985,0.13641464710235596
16,0.10679236054420471,0.14211319386959076
17,0.10766616463661194,0.14311693608760834
18,0.10896119475364685,0.14548158645629883
19,0.11238596588373184,0.15162773430347443
20,0.11544089764356613,0.15469731390476227
21,0.1168702244758606,0.15589049458503723
22,0.12001357227563858,0.16212862730026245
23,0.12023252993822098,0.16260187327861786
24,0.12357281893491745,0.1668272316455841
25,0.12491367757320404,0.16748343408107758
26,0.12761780619621277,0.174265056848526
27,0.12922443449497223,0.1753048151731491
28,0.13080258667469025,0.17656709253787994
29,0.13258986175060272,0.18093852698802948
30,0.1344626247882843,0.18274933099746704
31,0.13583895564079285,0.18340878188610077
32,0.13692504167556763,0.18701982498168945
33,0.139902263879776,0.1906619668006897
34,0.1408238708972931,0.1888105422258377
35,0.1426006406545639,0.19217737019062042
36,0.14331352710723877,0.19370456039905548
37,0.1453014463186264,0.19576990604400635
38,0.1456577479839325,0.1987648457288742
39,0.14689582586288452,0.19870580732822418
40,0.1494044065475464,0.20308375358581543
41,0.15066291391849518,0.20453307032585144
42,0.152676522731781,0.20717740058898926
43,0.1542537659406662,0.20923060178756714
44,0.1547195464372635,0.21022167801856995
45,0.15664692223072052,0.21239596605300903
46,0.15705837309360504,0.21045519411563873
47,0.1595507264137268,0.21555033326148987
48,0.1590598076581955,0.21490579843521118
49,0.16182826459407806,0.21458527445793152
50,0.1623951941728592,0.21919459104537964
51,0.16342447698116302,0.2166532576084137
52,0.16633203625679016,0.21977514028549194
53,0.1671522706747055,0.22276806831359863
54,0.16729038953781128,0.22260937094688416
55,0.16985732316970825,0.22698093950748444
56,0.17064909636974335,0.2264387011528015
57,0.16944335401058197,0.22583448886871338
58,0.17185722291469574,0.2260810136795044
59,0.17209921777248383,0.2281205654144287
60,0.17452506721019745,0.23017330467700958
61,0.17621800303459167,0.23363801836967468
62,0.17571361362934113,0.23029109835624695
63,0.17616622149944305,0.23226013779640198
64,0.1772901564836502,0.23462624847888947
65,0.1777021437883377,0.23567666113376617
66,0.1777336448431015,0.23305822908878326
67,0.18087320029735565,0.23757386207580566
68,0.18126408755779266,0.23796144127845764
69,0.18185929954051971,0.2378959208726883
70,0.1833990216255188,0.23896050453186035
71,0.18269440531730652,0.2378035932779312
72,0.18540705740451813,0.24226854741573334
73,0.18503731489181519,0.24008232355117798
74,0.18600565195083618,0.24238939583301544
75,0.1861317753791809,0.24201592803001404
76,0.18781113624572754,0.2435632050037384
77,0.1874678134918213,0.24299117922782898
78,0.18978895246982574,0.24499861896038055
79,0.19103260338306427,0.24801024794578552
