segment_a,segment_b,cosine
0,1,-0.037523847073316574
0,2,-0.05879420414566994
0,3,0.8426397442817688
0,4,-0.1655232310295105
0,5,-0.18618905544281006
0,6,0.690182626247406
1,2,0.20351114869117737
1,3,0.04122823849320412
1,4,0.9431419968605042
1,5,0.14686651527881622
1,6,-0.010722119361162186
2,3,0.07715492695569992
2,4,0.1948096603155136
2,5,0.9507865905761719
2,6,0.05821426212787628
3,4,0.05395550653338432
3,5,0.06658682972192764
3,6,0.9541804194450378
4,5,0.23367543518543243
4,6,0.0894637480378151
5,6,0.13221746683120728
