dataset,horizon,segment,uniform_mse,r3_mse,fixed_mse,r3_vs_uniform_mse_pct,uniform_vs_fixed_mse_pct,r3_vs_fixed_mse_pct,r3_improves_uniform,r3_improves_fixed
ETTh2,96,1-96,0.3089098036289215,0.30479592084884644,0.3074484169483185,-1.3317423829697805,0.47532743707334735,-0.8627450828338268,True,True
ETTh2,192,1-96,0.30742982029914856,0.30273088812828064,0.3041790723800659,-1.5284568576644841,1.0686954541767157,-0.4760959524446884,True,True
ETTh2,192,97-192,0.43090277910232544,0.4353557229042053,0.45050108432769775,1.033398719580414,-4.350334751051643,-3.3618923350860586,False,True
ETTh2,336,1-96,0.28088927268981934,0.27497684955596924,0.28333091735839844,-2.104894600364138,-0.8617642900900058,-2.948519660444171,True,True
ETTh2,336,97-192,0.38066166639328003,0.3836177885532379,0.39427974820137024,0.7765746911073901,-3.453913590594837,-2.704161118284709,False,True
ETTh2,336,193-336,0.4475020170211792,0.4543939232826233,0.4445280134677887,1.5400838430450925,0.6690250025392475,2.219412391554365,False,False
ETTh2,720,1-96,0.25483042001724243,0.2497519701719284,0.2543378472328186,-1.9928742592703053,0.19366869295427414,-1.8030651398461828,True,True
ETTh2,720,97-192,0.33678752183914185,0.33811911940574646,0.3411703407764435,0.39538209709581995,-1.2846424244637222,-0.8943395735259374,False,True
ETTh2,720,193-336,0.3662429451942444,0.36967068910598755,0.35521161556243896,0.9359208024949606,3.105565569509472,4.070552006204586,False,False
ETTh2,720,337-720,0.4898923635482788,0.4840433597564697,0.48179948329925537,-1.1939365107561328,1.6797195782787488,0.46572828219921814,True,False
ETTm1,96,1-96,0.30681994557380676,0.2986849546432495,0.29047533869743347,-2.6513892098323,5.626848375379034,2.826269514868307,True,False
ETTm1,192,1-96,0.30640020966529846,0.2984122335910797,0.2987188696861267,-2.607040015718187,2.571427773291579,-0.10265039345160876,True,True
ETTm1,192,97-192,0.3667851388454437,0.3609120845794678,0.37668347358703613,-1.6012247073212915,-2.627759229077331,-4.186907606373724,True,True
ETTm1,336,1-96,0.3031449317932129,0.2952735424041748,0.29374390840530396,-2.5965762787046875,3.200414755473857,0.5207372664083554,True,False
ETTm1,336,97-192,0.3628458082675934,0.35754311084747314,0.35962292551994324,-1.4614189551859447,0.8961838967831426,-0.5783320597437136,True,True
ETTm1,336,193-336,0.40833014249801636,0.4064895808696747,0.4080162048339844,-0.45075330884998266,0.07694244991072186,-0.3741576795781576,True,True
ETTm1,720,1-96,0.29260921478271484,0.2841739356517792,0.29211053252220154,-2.882779729681284,0.17071697353994164,-2.716984150449675,True,True
ETTm1,720,97-192,0.3572949469089508,0.3520488142967224,0.3583531081676483,-1.4682918573615478,-0.2952845209319266,-1.7592407397165832,True,True
ETTm1,720,193-336,0.4075154662132263,0.40565091371536255,0.41059064865112305,-0.4575415296969809,-0.7489655324590005,-1.2030802338018565,True,True
ETTm1,720,337-720,0.4712163805961609,0.4712492525577545,0.4573901295661926,0.006975980239065649,3.022857323808381,3.0300441779770093,False,False
Weather,96,1-96,0.15020199120044708,0.14802636206150055,0.14708691835403442,-1.4484689061432743,2.1178449322833526,0.6386997008156259,True,False
Weather,192,1-96,0.1511474996805191,0.14898328483104706,0.15198560059070587,-1.4318562027466952,-0.5514344167667273,-1.9753948716128678,True,True
Weather,192,97-192,0.23790328204631805,0.23583491146564484,0.23843136429786682,-0.8694165809240539,-0.2214818730345569,-1.0889728538307164,True,True
Weather,336,1-96,0.15239015221595764,0.15019100904464722,0.15354138612747192,-1.4431005805374708,-0.7497873638828034,-2.1820677586192883,True,True
Weather,336,97-192,0.23912915587425232,0.23710891604423523,0.2438506931066513,-0.8448320835789058,-1.9362410548219966,-2.764715152754338,True,True
Weather,336,193-336,0.3158990442752838,0.31298476457595825,0.32024121284484863,-0.9225351428369555,-1.355905609709429,-2.2659320467931177,True,True
Weather,720,1-96,0.14931601285934448,0.14746259152889252,0.15367551147937775,-1.2412743248092828,-2.836820634638515,-4.042882233269129,True,True
Weather,720,97-192,0.2341366857290268,0.2326873242855072,0.23720782995224,-0.6190236438201713,-1.2947060912076758,-1.9057151982052822,True,True
Weather,720,193-336,0.3154842257499695,0.3130928874015808,0.31677156686782837,-0.7579898306179889,-0.40639415039293025,-1.1613035546787165,True,True
Weather,720,337-720,0.3926902711391449,0.3891408443450928,0.38935336470603943,-0.9038743903065583,0.8570380368036146,-0.05458290083280026,True,True
