meta_type,dataset,horizon,matrix_dim,precision_trace,covariance_trace,source
diag,ETTh2,96,96,72.93154907226562,126.50456237792969,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTh2/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_96_TQNet_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,ETTh2,96,96,113.94819641113281,96.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_96_TQNet_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,ETTh2,96,96,69.74291229248047,150.2120819091797,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_96_TQNet_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,ETTh2,192,192,191.3192901611328,192.6831817626953,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTh2/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_192_TQNet_ETTh2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,ETTh2,192,192,192.1698760986328,192.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_192_TQNet_ETTh2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,ETTh2,192,192,189.68844604492188,194.5084686279297,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_192_TQNet_ETTh2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,ETTh2,336,336,292.6464538574219,386.0445556640625,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTh2/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_336_TQNet_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
off_diag,ETTh2,336,336,363.846923828125,336.0,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_336_TQNet_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
all,ETTh2,336,336,290.5997619628906,415.9952697753906,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTh2/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_336_TQNet_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
diag,ETTh2,720,720,670.8478393554688,772.810302734375,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTh2/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_720_TQNet_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth
