dataset,matrix,row_segment,col_segment,row_index,col_index,value,abs_value,is_offdiag
ETTh2,correlation,1-96,1-96,0,0,1.0000000000000238,1.0000000000000238,False
ETTh2,correlation,1-96,97-192,0,1,0.8126696906345469,0.8126696906345469,True
ETTh2,correlation,1-96,193-336,0,2,0.6931121665411539,0.6931121665411539,True
ETTh2,correlation,1-96,337-720,0,3,0.572807313890919,0.572807313890919,True
ETTh2,correlation,97-192,1-96,1,0,0.8126696906345469,0.8126696906345469,True
ETTh2,correlation,97-192,97-192,1,1,0.9999999999999912,0.9999999999999912,False
ETTh2,correlation,97-192,193-336,1,2,0.8000915193380899,0.8000915193380899,True
ETTh2,correlation,97-192,337-720,1,3,0.6360948378483088,0.6360948378483088,True
ETTh2,correlation,193-336,1-96,2,0,0.6931121665411539,0.6931121665411539,True
ETTh2,correlation,193-336,97-192,2,1,0.8000915193380899,0.8000915193380899,True
ETTh2,correlation,193-336,193-336,2,2,0.9999999999999973,0.9999999999999973,False
ETTh2,correlation,193-336,337-720,2,3,0.7472807383347229,0.7472807383347229,True
ETTh2,correlation,337-720,1-96,3,0,0.572807313890919,0.572807313890919,True
ETTh2,correlation,337-720,97-192,3,1,0.6360948378483088,0.6360948378483088,True
ETTh2,correlation,337-720,193-336,3,2,0.7472807383347229,0.7472807383347229,True
ETTh2,correlation,337-720,337-720,3,3,1.0000000000000202,1.0000000000000202,False
ETTh2,covariance,1-96,1-96,0,0,0.7584420910182776,0.7584420910182776,False
ETTh2,covariance,1-96,97-192,0,1,0.623776050314925,0.623776050314925,True
ETTh2,covariance,1-96,193-336,0,2,0.5183326718110426,0.5183326718110426,True
ETTh2,covariance,1-96,337-720,0,3,0.3930865221051769,0.3930865221051769,True
ETTh2,covariance,97-192,1-96,1,0,0.623776050314925,0.623776050314925,True
ETTh2,covariance,97-192,97-192,1,1,0.7767957489411454,0.7767957489411454,False
ETTh2,covariance,97-192,193-336,1,2,0.6055317726681293,0.6055317726681293,True
ETTh2,covariance,97-192,337-720,1,3,0.4417674124546512,0.4417674124546512,True
ETTh2,covariance,193-336,1-96,2,0,0.5183326718110426,0.5183326718110426,True
ETTh2,covariance,193-336,97-192,2,1,0.6055317726681293,0.6055317726681293,True
ETTh2,covariance,193-336,193-336,2,2,0.7373737912402022,0.7373737912402022,False
ETTh2,covariance,193-336,337-720,2,3,0.5056453549313281,0.5056453549313281,True
ETTh2,covariance,337-720,1-96,3,0,0.3930865221051769,0.3930865221051769,True
ETTh2,covariance,337-720,97-192,3,1,0.4417674124546512,0.4417674124546512,True
ETTh2,covariance,337-720,193-336,3,2,0.5056453549313281,0.5056453549313281,True
ETTh2,covariance,337-720,337-720,3,3,0.6209216035399956,0.6209216035399956,False
ETTm1,correlation,1-96,1-96,0,0,1.0000000000000098,1.0000000000000098,False
ETTm1,correlation,1-96,97-192,0,1,0.8892602450051033,0.8892602450051033,True
ETTm1,correlation,1-96,193-336,0,2,0.8458037198361636,0.8458037198361636,True
ETTm1,correlation,1-96,337-720,0,3,0.8126605150245662,0.8126605150245662,True
ETTm1,correlation,97-192,1-96,1,0,0.8892602450051033,0.8892602450051033,True
ETTm1,correlation,97-192,97-192,1,1,0.9999999999999889,0.9999999999999889,False
ETTm1,correlation,97-192,193-336,1,2,0.8896814721665911,0.8896814721665911,True
ETTm1,correlation,97-192,337-720,1,3,0.8328372869751267,0.8328372869751267,True
ETTm1,correlation,193-336,1-96,2,0,0.8458037198361636,0.8458037198361636,True
ETTm1,correlation,193-336,97-192,2,1,0.8896814721665911,0.8896814721665911,True
ETTm1,correlation,193-336,193-336,2,2,1.0000000000000218,1.0000000000000218,False
ETTm1,correlation,193-336,337-720,2,3,0.8809024176256638,0.8809024176256638,True
ETTm1,correlation,337-720,1-96,3,0,0.8126605150245662,0.8126605150245662,True
ETTm1,correlation,337-720,97-192,3,1,0.8328372869751267,0.8328372869751267,True
ETTm1,correlation,337-720,193-336,3,2,0.8809024176256638,0.8809024176256638,True
ETTm1,correlation,337-720,337-720,3,3,0.9999999999999947,0.9999999999999947,False
ETTm1,covariance,1-96,1-96,0,0,0.6547209106883756,0.6547209106883756,False
ETTm1,covariance,1-96,97-192,0,1,0.5812054298483488,0.5812054298483488,True
