horizon,mse,mae
1,0.11387421935796738,0.22399327158927917
2,0.12833908200263977,0.2378792017698288
3,0.1361655592918396,0.2447759360074997
4,0.14412854611873627,0.24928490817546844
5,0.15435980260372162,0.2642952799797058
6,0.16830122470855713,0.2719458341598511
7,0.18410320580005646,0.2833559513092041
8,0.19023531675338745,0.2889013886451721
9,0.21141953766345978,0.30623868107795715
10,0.22169186174869537,0.3124510943889618
11,0.23057787120342255,0.32077398896217346
12,0.24536141753196716,0.32789915800094604
13,0.24144978821277618,0.32124197483062744
14,0.25029614567756653,0.32832756638526917
15,0.27001962065696716,0.34241241216659546
16,0.26940178871154785,0.3402497470378876
17,0.2762641906738281,0.34432753920555115
18,0.27755963802337646,0.343904584646225
19,0.2888083755970001,0.3527394235134125
20,0.30045434832572937,0.35838818550109863
21,0.3052031397819519,0.36410239338874817
22,0.3000246286392212,0.3579830527305603
23,0.3125840127468109,0.3651255667209625
24,0.3045822083950043,0.35738474130630493
25,0.3103841543197632,0.36330100893974304
26,0.3127443492412567,0.3627585768699646
27,0.3209373950958252,0.368560791015625
28,0.32145535945892334,0.37048760056495667
29,0.3226710259914398,0.37188830971717834
30,0.3203379809856415,0.36997678875923157
31,0.323568195104599,0.3687651455402374
32,0.32855579257011414,0.372947633266449
33,0.3276121914386749,0.37300679087638855
34,0.33839109539985657,0.3824710547924042
35,0.33209484815597534,0.3744297921657562
36,0.32807406783103943,0.3722400665283203
37,0.33147844672203064,0.37635114789009094
38,0.33376696705818176,0.37825191020965576
39,0.34015801548957825,0.3802341818809509
40,0.3396649956703186,0.3816430866718292
41,0.33341681957244873,0.3774292767047882
42,0.33612459897994995,0.37802770733833313
43,0.3395114541053772,0.3803739547729492
44,0.34616994857788086,0.38579297065734863
45,0.3411853015422821,0.3805047273635864
46,0.34401601552963257,0.3866572380065918
47,0.34338876605033875,0.3785519003868103
48,0.34202566742897034,0.381467342376709
49,0.33904221653938293,0.3788837790489197
50,0.33539512753486633,0.3750021457672119
51,0.3495219647884369,0.38782721757888794
52,0.34758850932121277,0.38704952597618103
53,0.3441230058670044,0.3840717673301697
54,0.3421703279018402,0.38228997588157654
55,0.33812397718429565,0.3788917362689972
56,0.3486950695514679,0.38593631982803345
57,0.3438373804092407,0.3833387792110443
58,0.345194011926651,0.3824252188205719
59,0.33858782052993774,0.37952950596809387
60,0.34125882387161255,0.38242849707603455
61,0.3456118106842041,0.38155466318130493
62,0.3435644805431366,0.3825877010822296
63,0.34735333919525146,0.38363614678382874
64,0.35058093070983887,0.38452237844467163
65,0.35067883133888245,0.384846031665802
66,0.34761694073677063,0.38248535990715027
67,0.34906044602394104,0.38364875316619873
68,0.35055112838745117,0.384770005941391
69,0.35567882657051086,0.384421706199646
70,0.34182602167129517,0.37831148505210876
71,0.35434257984161377,0.38555267453193665
72,0.35445693135261536,0.3845910131931305
73,0.35958707332611084,0.3862834870815277
74,0.3474021553993225,0.3844417333602905
75,0.3520272970199585,0.38258951902389526
76,0.35443150997161865,0.3852212727069855
77,0.3571861684322357,0.388311505317688
78,0.3461838960647583,0.3837980031967163
79,0.35947972536087036,0.38856399059295654
80,0.35948795080184937,0.3910951316356659
81,0.35354965925216675,0.387380987405777
82,0.3624248206615448,0.3916545808315277
83,0.36016881465911865,0.3899398744106293
84,0.3546907901763916,0.38843977451324463
85,0.3434198796749115,0.3837789297103882
86,0.3515438437461853,0.38800162076950073
87,0.3565276265144348,0.3874126374721527
88,0.3502311706542969,0.3841637670993805
89,0.3470136821269989,0.38380712270736694
90,0.34931129217147827,0.3866814374923706
91,0.34215670824050903,0.3851076364517212
92,0.34161248803138733,0.38154780864715576
93,0.34863805770874023,0.38689976930618286
94,0.34483030438423157,0.3856825828552246
95,0.34014737606048584,0.3816649317741394
96,0.34124723076820374,0.3839748501777649
