horizon,mse,mae
1,0.05879507586359978,0.09309445321559906
2,0.06497831642627716,0.09825950860977173
3,0.07033690810203552,0.10424788296222687
4,0.0748419240117073,0.10902255028486252
5,0.07851635664701462,0.10816284269094467
6,0.08073935657739639,0.11079458892345428
7,0.0833369791507721,0.11509726196527481
8,0.0863073393702507,0.12150365114212036
9,0.09132256358861923,0.12864165008068085
10,0.09364913403987885,0.13158735632896423
11,0.09565865248441696,0.13250960409641266
12,0.09780338406562805,0.1371031403541565
13,0.10104341804981232,0.1413108855485916
14,0.10239081084728241,0.141615092754364
15,0.10430670529603958,0.14726164937019348
16,0.10771165043115616,0.1482800841331482
17,0.10906291753053665,0.15125001966953278
18,0.11122690141201019,0.15714724361896515
19,0.11241114139556885,0.15525592863559723
20,0.11391088366508484,0.16083122789859772
21,0.11779872328042984,0.16436196863651276
22,0.11885318160057068,0.16524986922740936
23,0.12074709683656693,0.16854120790958405
24,0.12299161404371262,0.17241834104061127
25,0.12498396635055542,0.17410562932491302
26,0.12855365872383118,0.17833653092384338
27,0.1281501054763794,0.17887158691883087
28,0.1282770335674286,0.17885571718215942
29,0.13179782032966614,0.18492282927036285
30,0.13389195501804352,0.1877250373363495
31,0.1355312019586563,0.19025671482086182
32,0.13673806190490723,0.19217458367347717
33,0.13812637329101562,0.1904674619436264
34,0.13879026472568512,0.19273193180561066
35,0.14254434406757355,0.19765466451644897
36,0.14198046922683716,0.19546949863433838
37,0.1415541172027588,0.19787175953388214
38,0.14451514184474945,0.19886168837547302
39,0.14729760587215424,0.20543408393859863
40,0.14848312735557556,0.20100563764572144
41,0.14991572499275208,0.20626433193683624
42,0.1501595377922058,0.20736128091812134
43,0.15311965346336365,0.21041209995746613
44,0.15360234677791595,0.21113663911819458
45,0.1549128144979477,0.21345637738704681
46,0.15637518465518951,0.21129955351352692
47,0.15821166336536407,0.21376420557498932
48,0.15881910920143127,0.21221962571144104
49,0.15859155356884003,0.2155572474002838
50,0.16039037704467773,0.21780705451965332
51,0.16232939064502716,0.21894963085651398
52,0.16232791543006897,0.21928450465202332
53,0.164896622300148,0.2237265706062317
54,0.16588006913661957,0.22293293476104736
55,0.16536301374435425,0.22048412263393402
56,0.16820679605007172,0.22523923218250275
57,0.169231116771698,0.22691714763641357
58,0.16937243938446045,0.2275608330965042
59,0.16917581856250763,0.22816121578216553
60,0.17007999122142792,0.22718703746795654
61,0.17183734476566315,0.22912345826625824
62,0.17127491533756256,0.23046937584877014
63,0.17456208169460297,0.23435215651988983
64,0.175342857837677,0.23375362157821655
65,0.17346985638141632,0.2313133180141449
66,0.1757652312517166,0.23406492173671722
67,0.17724913358688354,0.2374248206615448
68,0.17717668414115906,0.23546339571475983
69,0.17948682606220245,0.23811988532543182
70,0.17933864891529083,0.2371547371149063
71,0.18016253411769867,0.23725543916225433
72,0.18189027905464172,0.2428467571735382
73,0.1831212043762207,0.24171245098114014
74,0.18291348218917847,0.241531640291214
75,0.18314021825790405,0.24096213281154633
76,0.18400824069976807,0.24308396875858307
77,0.1863342672586441,0.2449185848236084
78,0.1866816282272339,0.24645771086215973
79,0.18893016874790192,0.24931293725967407
80,0.18704688549041748,0.24570301175117493
81,0.18957103788852692,0.24894079566001892
82,0.18943531811237335,0.2493002563714981
83,0.1923414170742035,0.25152772665023804
84,0.19308246672153473,0.2520844340324402
85,0.19151319563388824,0.2516403794288635
86,0.1934475302696228,0.2523116171360016
87,0.1943371295928955,0.25325509905815125
88,0.19447512924671173,0.25275054574012756
89,0.19489456713199615,0.25321707129478455
90,0.19741016626358032,0.25618091225624084
91,0.19704201817512512,0.254893034696579
92,0.19713905453681946,0.2529086172580719
93,0.19783683121204376,0.2560308277606964
94,0.19893546402454376,0.2569076120853424
