dataset,scope,mode,mean_step_weight,min_step_weight,max_step_weight,uniform_pressure_share,weighted_pressure_share,pressure_share_delta_pct
ETTh2,1-96,step_covariance_balanced,0.9135982990264893,0.9135982990264893,0.9135982990264893,0.4797619047619047,0.48066022290144017,0.1872424906227632
ETTh2,97-192,step_covariance_balanced,0.7742512226104736,0.7742512226104736,0.7742512226104736,0.22976190476190472,0.19508193914189148,-15.0938710470524
ETTh2,193-336,step_covariance_balanced,0.9515278339385986,0.9515278339385986,0.9515278339385986,0.15714285714285714,0.16397335510844885,4.346680523558355
ETTh2,337-720,step_covariance_balanced,1.0962146520614624,1.0962146520614624,1.0962146520614624,0.13333333333333333,0.16028448284821953,20.213362136164648
ETTh2,horizon_96,step_covariance_balanced,0.9135982990264893,0.9135982990264893,0.9135982990264893,1.0,0.9135982990264893,-8.640170097351074
ETTh2,horizon_192,step_covariance_balanced,0.8439247608184814,0.7742512226104736,0.9135982990264893,1.0,0.8439247608184814,-15.607523918151855
ETTh2,horizon_336,step_covariance_balanced,0.890040363584246,0.7742512226104736,0.9515278339385986,1.0,0.890040363584246,-10.9959636415754
ETTh2,horizon_720,step_covariance_balanced,0.999999984105428,0.7742512226104736,1.0962146520614624,1.0,0.999999984105428,-1.5894571991914574e-06
ETTm1,1-96,step_covariance_balanced,1.1839995384216309,1.1839995384216309,1.1839995384216309,0.4797619047619047,0.5500967814786369,14.660371325571987
ETTm1,97-192,step_covariance_balanced,0.7819050550460815,0.7819050550460815,0.7819050550460815,0.22976190476190472,0.17397780796013934,-24.279088763462653
ETTm1,193-336,step_covariance_balanced,0.9375774264335632,0.9375774264335632,0.9375774264335632,0.15714285714285714,0.1426801635474604,-9.203532287979744
ETTm1,337-720,step_covariance_balanced,1.0319322347640991,1.0319322347640991,1.0319322347640991,0.13333333333333333,0.13324524701376328,-0.06606473967754045
ETTm1,horizon_96,step_covariance_balanced,1.1839995384216309,1.1839995384216309,1.1839995384216309,1.0,1.1839995384216309,18.399953842163086
ETTm1,horizon_192,step_covariance_balanced,0.9829522967338562,0.7819050550460815,1.1839995384216309,1.0,0.9829522967338562,-1.7047703266143799
ETTm1,horizon_336,step_covariance_balanced,0.9635059237480164,0.7819050550460815,1.1839995384216309,1.0,0.9635059237480164,-3.6494076251983643
ETTm1,horizon_720,step_covariance_balanced,0.9999999562899272,0.7819050550460815,1.1839995384216309,1.0,0.9999999562899272,-4.371007278347605e-06
Weather,1-96,step_covariance_balanced,0.9568284153938293,0.9568284153938293,0.9568284153938293,0.4797619047619047,0.4812954946474432,0.31965645256881725
Weather,97-192,step_covariance_balanced,0.882781445980072,0.882781445980072,0.882781445980072,0.22976190476190472,0.21265871809028145,-7.443873991794591
Weather,193-336,step_covariance_balanced,0.9633921384811401,0.9633921384811401,0.9633921384811401,0.15714285714285714,0.15872660057704302,1.0078367308455682
Weather,337-720,step_covariance_balanced,1.0538252592086792,1.0538252592086792,1.0538252592086792,0.13333333333333333,0.14731918668523242,10.489390013924304
Weather,horizon_96,step_covariance_balanced,0.9568284153938293,0.9568284153938293,0.9568284153938293,1.0,0.9568284153938293,-4.317158460617065
Weather,horizon_192,step_covariance_balanced,0.9198049306869507,0.882781445980072,0.9568284153938293,1.0,0.9198049306869507,-8.019506931304932
Weather,horizon_336,step_covariance_balanced,0.9384851625987461,0.882781445980072,0.9633921384811401,1.0,0.9384851625987461,-6.151483740125386
Weather,horizon_720,step_covariance_balanced,0.9999998807907104,0.882781445980072,1.0538252592086792,1.0,0.9999998807907104,-1.1920928955078125e-05
