segment_a,segment_b,cosine
0,1,0.9038220643997192
0,2,0.7899281978607178
0,3,0.7217128276824951
0,4,0.6800516843795776
0,5,0.6278704404830933
0,6,0.6130740642547607
0,7,0.589780330657959
0,8,0.5966933369636536
0,9,0.6038861870765686
0,10,0.6323269605636597
0,11,0.6675085425376892
0,12,0.6679240465164185
0,13,0.6700295209884644
0,14,0.6647079586982727
1,2,0.9700964093208313
1,3,0.9368364810943604
1,4,0.9119459390640259
1,5,0.8776506185531616
1,6,0.8642006516456604
1,7,0.8448958396911621
1,8,0.8447777032852173
1,9,0.8453600406646729
1,10,0.8595689535140991
1,11,0.8766315579414368
1,12,0.8827396631240845
1,13,0.8888947367668152
1,14,0.8907346129417419
2,3,0.9908267259597778
2,4,0.9785628914833069
2,5,0.9585781097412109
2,6,0.9465146660804749
2,7,0.9316690564155579
2,8,0.9252016544342041
2,9,0.920523464679718
2,10,0.92237389087677
2,11,0.9271017909049988
2,12,0.9369964599609375
2,13,0.9439701437950134
2,14,0.9516280293464661
3,4,0.9954808354377747
3,5,0.9846189022064209
3,6,0.9753962159156799
3,7,0.9634283781051636
3,8,0.9554183483123779
3,9,0.9485843181610107
3,10,0.9449070692062378
3,11,0.9422399401664734
3,12,0.9512679576873779
3,13,0.9578697085380554
3,14,0.9664570689201355
4,5,0.9940102100372314
4,6,0.9877815842628479
4,7,0.9782711863517761
4,8,0.9694003462791443
4,9,0.9621579051017761
4,10,0.9551034569740295
4,11,0.9495410323143005
4,12,0.9564533233642578
4,13,0.9617780447006226
4,14,0.969714879989624
5,6,0.9972176551818848
5,7,0.9924942255020142
5,8,0.9858254790306091
5,9,0.9789702296257019
5,10,0.969273567199707
5,11,0.9595898389816284
5,12,0.9646561741828918
5,13,0.9676132202148438
5,14,0.9727093577384949
6,7,0.9972872734069824
6,8,0.9931135177612305
6,9,0.9877599477767944
6,10,0.97911137342453
6,11,0.9689666628837585
6,12,0.9714553356170654
6,13,0.9718074202537537
6,14,0.9743227362632751
7,8,0.9967660307884216
7,9,0.9923574924468994
7,10,0.9831846952438354
7,11,0.9716967940330505
7,12,0.9721142053604126
7,13,0.9701312780380249
7,14,0.9705280065536499
8,9,0.9975660443305969
8,10,0.9915456771850586
8,11,0.9819797873497009
8,12,0.9804211854934692
8,13,0.9764732718467712
8,14,0.9728659391403198
9,10,0.996117115020752
9,11,0.98881995677948
9,12,0.9865760207176208
9,13,0.9820513725280762
9,14,0.9759328961372375
10,11,0.9963518977165222
10,12,0.9935755729675293
10,13,0.9886692762374878
10,14,0.9796857833862305
11,12,0.9966195821762085
11,13,0.9917008280754089
11,14,0.9810934066772461
12,13,0.9973680377006531
12,14,0.9912257194519043
13,14,0.995739221572876
